name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.5192769382855529,0.5159769512833945,0.5181311810844607
Bakersbane Duo,G,"RG,WG,BG,UG",0.5667521927683963,0.5993096836049856,0.5924278746796726
Bandit's Talent,B,"UB,BR,WB,BG",0.53763890049294,0.4876604146100691,0.5261895241903238
Bark-Knuckle Boxer,G,"RG,WG,BG,UG",0.5607795129698253,0.5780559646539027,0.573072678543276
Bonebind Orator,B,"UB,BR,WB,BG",0.5584423127987255,0.5527109853842527,0.5598939118990169
Bonecache Overseer,B,"UB,BR,WB,BG",0.5591314822250363,0.5865367581930913,0.5725563209830572
Brambleguard Veteran,G,"RG,WG,BG,UG",0.555907215255799,0.5641797961075069,0.5600928972324366
Bushy Bodyguard,G,"RG,WG,BG,UG",0.5626988616276604,0.556142531593122,0.5755187252353968
Cache Grab,G,"RG,WG,BG,UG",0.5676540298193791,0.5788425109412764,0.5925155925155925
Clifftop Lookout,G,"RG,WG,BG,UG",0.5469091818238639,0.5341745531019979,0.541032976961301
Coiling Rebirth,B,"UB,BR,WB,BG",0.5437845148202411,0.5127627627627628,0.5536529680365296
Consumed by Greed,B,"UB,BR,WB,BG",0.5662136432276279,0.565400289207309,0.5954728583545378
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.5346497764530551,0.5044052863436124,0.5474060822898033
Curious Forager,G,"RG,WG,BG,UG",0.5597520029844913,0.5212608419716522,0.560386267920194
Daggerfang Duo,B,"UB,BR,WB,BG",0.5530882783423242,0.546409132508068,0.5624861845145992
Darkstar Augur,B,"UB,BR,WB,BG",0.5721160965496817,0.6018898931799507,0.6082402234636871
Diresight,B,"UB,BR,WB,BG",0.5370294036823303,0.5323712166766887,0.5470368835474513
Downwind Ambusher,B,"UB,BR,WB,BG",0.5753504672897196,0.5810276679841897,0.6048250084947333
Druid of the Spade,G,"RG,WG,BG,UG",0.5342569616763165,0.5095746825236848,0.5331779202397802
