name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate Assault,R,"BR,RG,UR,WR",0.5564961201709615,0.5490463215258855,0.5581053090591954
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.564768780712752,0.5787426575646928,0.5617716477356542
Alania's Pathmaker,R,"BR,RG,UR,WR",0.5579002182106725,0.5479993914498706,0.5579980372914622
Artist's Talent,R,"BR,RG,UR,WR",0.47966728280961185,0.4431137724550898,0.47317073170731705
Bandit's Talent,B,"UB,BR,WB,BG",0.5290097988653946,0.4944237918215613,0.5235235235235235
Blacksmith's Talent,R,"BR,RG,UR,WR",0.5629997838772423,0.568776628119294,0.5592178770949721
Blooming Blast,R,"BR,RG,UR,WR",0.5514491715609035,0.531610002809778,0.5488541928985142
Bonebind Orator,B,"UB,BR,WB,BG",0.5560632790583335,0.5528174798751437,0.5378978534418949
Bonecache Overseer,B,"UB,BR,WB,BG",0.508339376359681,0.4805194805194805,0.49105367793240556
Brambleguard Captain,R,"BR,RG,UR,WR",0.5409365336474746,0.5398351648351648,0.5369448698315467
Brazen Collector,R,"BR,RG,UR,WR",0.567130855975176,0.5934295877798703,0.564629160988904
Byway Barterer,R,"BR,RG,UR,WR",0.5721421166713787,0.6048858204992034,0.5865384615384616
Coiling Rebirth,B,"UB,BR,WB,BG",0.5230335318082106,0.5125523012552301,0.5158254918733961
Conduct Electricity,R,"BR,RG,UR,WR",0.5181843549437262,0.5098039215686274,0.5189905684425185
Consumed by Greed,B,"UB,BR,WB,BG",0.5749390108671546,0.5764997248211338,0.5897614083854529
Coruscation Mage,R,"BR,RG,UR,WR",0.5533217730573318,0.5442670537010159,0.5451102394156635
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.5163973384030418,0.5129310344827587,0.5115842204132749
Daggerfang Duo,B,"UB,BR,WB,BG",0.5441248171623598,0.5415562515056613,0.5392375491133057
Darkstar Augur,B,"UB,BR,WB,BG",0.5885899814471243,0.6350900600400267,0.6132270445822262
Diresight,B,"UB,BR,WB,BG",0.5394955049314829,0.5190005205622071,0.5240295748613678
Downwind Ambusher,B,"UB,BR,WB,BG",0.5815697631246751,0.5956098664856302,0.5966171698298751
"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR",0.5889798957557707,0.6227224008574491,0.6334117647058823
Early Winter,B,"UB,BR,WB,BG",0.533222781335773,0.5126115638339154,0.5282220131702728
Emberheart Challenger,R,"BR,RG,UR,WR",0.5745603751465416,0.6063091482649843,0.5874851720047449
Feed the Cycle,B,"UB,BR,WB,BG",0.5695912218374781,0.5746288798920378,0.5793176222300387
Fell,B,"UB,BR,WB,BG",0.5724500154477645,0.5853658536585366,0.5931662870159453
Festival of Embers,R,"BR,RG,UR,WR",0.4649350649350649,0.4918032786885246,0.48951048951048953
Flamecache Gecko,R,"BR,RG,UR,WR",0.5708530205872426,0.5847734703409622,0.5794611692844677
Frilled Sparkshooter,R,"BR,RG,UR,WR",0.5503614273998207,0.5306024673613606,0.5391653535302191
Glidedive Duo,B,"UB,BR,WB,BG",0.5688439849624061,0.5496842376594921,0.5696784073506891
Harnesser of Storms,R,"BR,RG,UR,WR",0.5219758848697005,0.4957678355501814,0.4896957801766438
Hazel's Nocturne,B,"UB,BR,WB,BG",0.5607522371364653,0.5379113018597997,0.5710460891183783
Heartfire Hero,R,"BR,RG,UR,WR",0.5615368810355456,0.6065830721003135,0.5625761531766754
Hearthborn Battler,R,"BR,RG,UR,WR",0.5503136547220074,0.541501976284585,0.5464098073555166
Hired Claw,R,"BR,RG,UR,WR",0.5853075297519742,0.6860973477120373,0.6247765708785921
Hoarder's Overflow,R,"BR,RG,UR,WR",0.5172011661807581,0.4401294498381877,0.46407185628742514
Huskburster Swarm,B,"UB,BR,WB,BG",0.5178486997635934,0.5048231511254019,0.5216422660725653
Iridescent Vinelasher,B,"UB,BR,WB,BG",0.5741869918699187,0.6119141480508103,0.6108669596484219
Kindlespark Duo,R,"BR,RG,UR,WR",0.5309011058786179,0.5159076731129133,0.5139184823699223
"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.6015108593012276,0.6461538461538462,0.6528436018957346
Manifold Mouse,R,"BR,RG,UR,WR",0.5658657829328915,0.5926966292134831,0.5959637561779242
Might of the Meek,R,"BR,RG,UR,WR",0.5238187639468322,0.5121359223300971,0.51343669250646
Moonstone Harbinger,B,"UB,BR,WB,BG",0.5382543103448276,0.5483625285605483,0.5294715447154471
Nocturnal Hunger,B,"UB,BR,WB,BG",0.562181371636959,0.5472141418661893,0.5607003891050584
Osteomancer Adept,B,"UB,BR,WB,BG",0.5725977141244533,0.5775225594749795,0.5884047533309327
Persistent Marshstalker,B,"UB,BR,WB,BG",0.5482805226009911,0.5490196078431373,0.5346534653465347
Playful Shove,R,"BR,RG,UR,WR",0.5555362116991643,0.5498953244940684,0.5498798076923077
Psychic Whorl,B,"UB,BR,WB,BG",0.5167398463227223,0.49093904448105435,0.5147058823529411
Quaketusk Boar,R,"BR,RG,UR,WR",0.5578148463817525,0.5604367039251364,0.5702417722867185
Rabid Gnaw,R,"BR,RG,UR,WR",0.5742420409785711,0.5858834040652222,0.5888398002305033
Raccoon Rallier,R,"BR,RG,UR,WR",0.5474989636589747,0.5442786069651742,0.5298642533936652
Ravine Raider,B,"UB,BR,WB,BG",0.56932568185561,0.5948505682615406,0.5673534589554672
Reptilian Recruiter,R,"BR,RG,UR,WR",0.5549469359808284,0.5360169491525424,0.5545023696682464
Rottenmouth Viper,B,"UB,BR,WB,BG",0.5700404858299595,0.5439739413680782,0.5881962864721485
Roughshod Duo,R,"BR,RG,UR,WR",0.5519641111175015,0.5502564102564103,0.5381502023684605
Ruthless Negotiation,B,"UB,BR,WB,BG",0.5705555555555556,0.5717092337917485,0.5658759645613032
Savor,B,"UB,BR,WB,BG",0.5705132819811388,0.575033752206875,0.5750845229151015
Sazacap's Brew,R,"BR,RG,UR,WR",0.5354501662256598,0.5089820359281437,0.5116651825467498
Scales of Shale,B,"UB,BR,WB,BG",0.577064696288242,0.5947594837700431,0.5992482194671591
Scavenger's Talent,B,"UB,BR,WB,BG",0.5037406483790524,0.45017182130584193,0.47303543913713403
Season of Loss,B,"UB,BR,WB,BG",0.5807618129218901,0.5710227272727273,0.6262437810945274
Season of the Bold,R,"BR,RG,UR,WR",0.5527855507504452,0.5402298850574713,0.5585464333781965
Sinister Monolith,B,"UB,BR,WB,BG",0.5276256251488449,0.5052083333333334,0.5138844557931694
Stargaze,B,"UB,BR,WB,BG",0.5307711019216735,0.5213549337260678,0.5371900826446281
