name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.5466231594593339,0.5608862021286858,0.5489388337360622
Bandit's Talent,B,"UB,BR,WB,BG",0.5252217420968842,0.4918954248366013,0.5244933347783678
Bonebind Orator,B,"UB,BR,WB,BG",0.5521863765595996,0.5487193146002575,0.5525235358145397
Bonecache Overseer,B,"UB,BR,WB,BG",0.5522092914501022,0.5756601607347877,0.5653185917951702
Coiling Rebirth,B,"UB,BR,WB,BG",0.5286169855656261,0.5004245683555052,0.5357447716602646
Consumed by Greed,B,"UB,BR,WB,BG",0.5627193054036852,0.5584691358024692,0.5875770224607434
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.519197827449342,0.5067365269461078,0.5296558704453441
Daggerfang Duo,B,"UB,BR,WB,BG",0.5455566498334137,0.539750575130161,0.5561191819746268
Darkstar Augur,B,"UB,BR,WB,BG",0.5668039521136979,0.6003603603603603,0.6006415805285401
Diresight,B,"UB,BR,WB,BG",0.5360388235677296,0.5229888712241654,0.5437737756377856
Downwind Ambusher,B,"UB,BR,WB,BG",0.5689168134892322,0.5809561196894356,0.5960801702731465
Early Winter,B,"UB,BR,WB,BG",0.5273648285721368,0.5058974908856959,0.5352497721812609
Feed the Cycle,B,"UB,BR,WB,BG",0.5584516000299304,0.5618435260626289,0.5844635021938572
Fell,B,"UB,BR,WB,BG",0.5623655730429142,0.5773490180636905,0.5961761888261552
Glidedive Duo,B,"UB,BR,WB,BG",0.5559089528566126,0.5390434358223524,0.5664851553460922
Hazel's Nocturne,B,"UB,BR,WB,BG",0.5495485132570311,0.5275710162539875,0.5644014621650404
Huskburster Swarm,B,"UB,BR,WB,BG",0.5314915163898019,0.5075810127836686,0.5398112651135358
Iridescent Vinelasher,B,"UB,BR,WB,BG",0.5544773492885514,0.5827338129496403,0.5836181640625
"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5779923909862452,0.6132515337423313,0.633339874411303
Moonstone Harbinger,B,"UB,BR,WB,BG",0.5471046946625218,0.552933141079153,0.5626422230056729
Nocturnal Hunger,B,"UB,BR,WB,BG",0.5529842710789354,0.5459984127953117,0.5701634422948633
Osteomancer Adept,B,"UB,BR,WB,BG",0.5636936245810958,0.5868949098741639,0.59048762911362
Persistent Marshstalker,B,"UB,BR,WB,BG",0.5466814023454288,0.5513717421124829,0.5573900293255132
Psychic Whorl,B,"UB,BR,WB,BG",0.5121959162405966,0.5046673286991062,0.5269781343400975
Ravine Raider,B,"UB,BR,WB,BG",0.5536782462517813,0.5772489290813898,0.5542895734390658
Rottenmouth Viper,B,"UB,BR,WB,BG",0.5528455284552846,0.5654791771199197,0.5897082018927445
Ruthless Negotiation,B,"UB,BR,WB,BG",0.5625345158041777,0.5789023927079378,0.5776317333646286
Savor,B,"UB,BR,WB,BG",0.5645166177789629,0.5810629052283074,0.5916716748607963
Scales of Shale,B,"UB,BR,WB,BG",0.559299559521506,0.5589192708333334,0.5770912826533607
Scavenger's Talent,B,"UB,BR,WB,BG",0.5436877913569359,0.5314774381368268,0.5651169721353002
Season of Loss,B,"UB,BR,WB,BG",0.5804817211006313,0.6234413965087282,0.6570845697329377
Sinister Monolith,B,"UB,BR,WB,BG",0.5199282356414507,0.48480643818509783,0.5130484657298537
Stargaze,B,"UB,BR,WB,BG",0.5369972158717943,0.5188473293552612,0.5469219006626267
Starlit Soothsayer,B,"UB,BR,WB,BG",0.5238309834974999,0.49837418709354675,0.5168288617667617
Starscape Cleric,B,"UB,BR,WB,BG",0.5531214609286523,0.5630750766768903,0.5682454503033131
Thornplate Intimidator,B,"UB,BR,WB,BG",0.5347421294299703,0.5230939576083518,0.545605411309974
Thought-Stalker Warlock,B,"UB,BR,WB,BG",0.5731240978773181,0.6142823306489815,0.6095231790271595
Valley Rotcaller,B,"UB,BR,WB,BG",0.5580475222418957,0.5885548714233974,0.5848256361922715
Wick's Patrol,B,"UB,BR,WB,BG",0.5671361630997726,0.5782814971006853,0.6035926935109497
"Wick, the Whorled Mind",B,"UB,BR,WB,BG",0.5258585634542161,0.5178571428571429,0.547938144329897
