name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate Assault,R,"BR,RG,UR,WR",0.5382392246764959,0.5296324081020255,0.5416877972559931
Alania's Pathmaker,R,"BR,RG,UR,WR",0.5387471131224324,0.5281900412751384,0.5374392161164125
Artist's Talent,R,"BR,RG,UR,WR",0.4662267754818545,0.43316582914572865,0.45569620253164556
Blacksmith's Talent,R,"BR,RG,UR,WR",0.5454545454545454,0.5588879655511068,0.5475637258251896
Blooming Blast,R,"BR,RG,UR,WR",0.5369905956112853,0.520948489946327,0.541043627031651
Brambleguard Captain,R,"BR,RG,UR,WR",0.5395908510901033,0.5341750841750842,0.5400595601162499
Brazen Collector,R,"BR,RG,UR,WR",0.5472797298609388,0.5816145092460882,0.5485927580851702
Byway Barterer,R,"BR,RG,UR,WR",0.5490610268167649,0.5664407778432528,0.567098179953858
Conduct Electricity,R,"BR,RG,UR,WR",0.5150809845682949,0.5051601234173848,0.5244396658671739
Coruscation Mage,R,"BR,RG,UR,WR",0.5294480187601467,0.5365360303413401,0.5389834158948955
"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR",0.5650932716444357,0.596875,0.6233625766133878
Emberheart Challenger,R,"BR,RG,UR,WR",0.5540437402952865,0.5915492957746479,0.5789783119937287
Festival of Embers,R,"BR,RG,UR,WR",0.4777526395173454,0.43734643734643736,0.4770063119927863
Flamecache Gecko,R,"BR,RG,UR,WR",0.5583861517382732,0.5701363150951693,0.5645589873996399
Frilled Sparkshooter,R,"BR,RG,UR,WR",0.5337942695666273,0.5168678202704667,0.5216010747107135
Harnesser of Storms,R,"BR,RG,UR,WR",0.5042815785463964,0.4891343070894193,0.4976929083552211
Heartfire Hero,R,"BR,RG,UR,WR",0.553189359625635,0.6067648889811165,0.5648714616286811
Hearthborn Battler,R,"BR,RG,UR,WR",0.5352747768905589,0.5192479856759177,0.5335835483618735
Hired Claw,R,"BR,RG,UR,WR",0.566935064935065,0.6631919988730807,0.6012027935851009
Hoarder's Overflow,R,"BR,RG,UR,WR",0.4924707194645845,0.4279546681057744,0.4500354358610914
Kindlespark Duo,R,"BR,RG,UR,WR",0.5054272295969713,0.4886058032554848,0.4933192376589434
Manifold Mouse,R,"BR,RG,UR,WR",0.5713561131873999,0.6368796390627274,0.6301641949152542
Might of the Meek,R,"BR,RG,UR,WR",0.5330810178193899,0.5219618464437117,0.5246146317592366
Playful Shove,R,"BR,RG,UR,WR",0.5352165786798702,0.5293389216993714,0.5369936120320207
Quaketusk Boar,R,"BR,RG,UR,WR",0.5446656999021445,0.5480354303883715,0.5587419056429233
Rabid Gnaw,R,"BR,RG,UR,WR",0.5576821807110098,0.5781916733940722,0.5848516015280635
Raccoon Rallier,R,"BR,RG,UR,WR",0.5353668779657853,0.5329075821672633,0.5146449759337338
Reptilian Recruiter,R,"BR,RG,UR,WR",0.5364388178169966,0.5169324221716022,0.5322395108070472
Roughshod Duo,R,"BR,RG,UR,WR",0.5414162248345502,0.5352143968007109,0.5313269716988827
Sazacap's Brew,R,"BR,RG,UR,WR",0.5208157405843608,0.49953543373595743,0.5025688930406352
Season of the Bold,R,"BR,RG,UR,WR",0.5328529315427448,0.5220352564102564,0.5384995877988459
Steampath Charger,R,"BR,RG,UR,WR",0.5385875753283901,0.5155626808477359,0.5218253968253969
Stormsplitter,R,"BR,RG,UR,WR",0.46825396825396826,0.4058252427184466,0.4274425287356322
Sunspine Lynx,R,"BR,RG,UR,WR",0.5268195929630907,0.5085458848277675,0.512749751628215
Take Out the Trash,R,"BR,RG,UR,WR",0.5520619364797343,0.5684188713131174,0.5679044534250559
Teapot Slinger,R,"BR,RG,UR,WR",0.5375033766545607,0.5423372348207754,0.538327593545641
Valley Flamecaller,R,"BR,RG,UR,WR",0.5530002090738031,0.5763680096211665,0.568929503916449
Valley Rally,R,"BR,RG,UR,WR",0.5276508948835071,0.5061153174140943,0.5159060560835755
War Squeak,R,"BR,RG,UR,WR",0.5090540309376603,0.47610445064871076,0.4889382018694103
Whiskerquill Scribe,R,"BR,RG,UR,WR",0.5387865572741234,0.534356269479741,0.518612818261633
Wildfire Howl,R,"BR,RG,UR,WR",0.5132181749906121,0.51441647597254,0.5294224317707861
