name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.5066616626008632,0.5212089077412513,0.5251845419018671
Azure Beastbinder,U,"WU,UB,UG,UR",0.555805176132279,0.6233894945490585,0.6120975609756097
Bandit's Talent,B,"UB,BR,WB,BG",0.5153216945427909,0.47783251231527096,0.5393648251934882
Bellowing Crier,U,"WU,UB,UG,UR",0.5224763931373853,0.5244897959183673,0.538513160838118
Bonebind Orator,B,"UB,BR,WB,BG",0.5372525830947342,0.5374956400418556,0.5515393956711193
Bonecache Overseer,B,"UB,BR,WB,BG",0.47453703703703703,0.5067567567567568,0.5165745856353591
Calamitous Tide,U,"WU,UB,UG,UR",0.5305026432827054,0.5270935960591133,0.5676510326191855
Coiling Rebirth,B,"UB,BR,WB,BG",0.5014289425824889,0.45516074450084604,0.5168340224453633
Consumed by Greed,B,"UB,BR,WB,BG",0.5558978643412876,0.5597876990321573,0.5971198156682027
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.5066900636104409,0.4895833333333333,0.5290354330708661
Daggerfang Duo,B,"UB,BR,WB,BG",0.5411574229470649,0.546370739440607,0.5667380754601495
Daring Waverider,U,"WU,UB,UG,UR",0.5546081572801825,0.532033426183844,0.5857810814051073
Darkstar Augur,B,"UB,BR,WB,BG",0.5309753954305799,0.5449101796407185,0.5609302325581396
Dazzling Denial,U,"WU,UB,UG,UR",0.5436567034946144,0.5614481409001957,0.5731509390215627
Dire Downdraft,U,"WU,UB,UG,UR",0.5432353492858866,0.5297252289758535,0.5696919627050632
Diresight,B,"UB,BR,WB,BG",0.5256661045531197,0.5099681020733652,0.5486592347092498
Dour Port-Mage,U,"WU,UB,UG,UR",0.5278470490440565,0.5555555555555556,0.5408782577650839
Downwind Ambusher,B,"UB,BR,WB,BG",0.5606294189569933,0.5776455854727615,0.5999306839186691
Early Winter,B,"UB,BR,WB,BG",0.5126187961985217,0.5163736642537056,0.5422778771615981
Eddymurk Crab,U,"WU,UB,UG,UR",0.5444547285893178,0.5195434105845728,0.5737646216280735
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.5081967213114754,0.516260162601626,0.536376604850214
Feed the Cycle,B,"UB,BR,WB,BG",0.5484752188214306,0.546284224250326,0.5904784746372467
Fell,B,"UB,BR,WB,BG",0.558992685242057,0.5732484076433121,0.6065225097483162
Finch Formation,U,"WU,UB,UG,UR",0.49839181286549705,0.4821576763485477,0.5139257294429708
Glidedive Duo,B,"UB,BR,WB,BG",0.5458248472505092,0.5318874257681384,0.57144128113879
Gossip's Talent,U,"WU,UB,UG,UR",0.471004016064257,0.41234347048300535,0.4565836298932384
Hazel's Nocturne,B,"UB,BR,WB,BG",0.5338043283849043,0.5144542772861357,0.5673115679161629
Huskburster Swarm,B,"UB,BR,WB,BG",0.5152411469887437,0.4786036036036036,0.5346459674365771
Into the Flood Maw,U,"WU,UB,UG,UR",0.5281549520766773,0.5171358629130967,0.5525672371638142
Iridescent Vinelasher,B,"UB,BR,WB,BG",0.5244531826001475,0.5371120107962213,0.5595301655098772
Kitnap,U,"WU,UB,UG,UR",0.5439805002119542,0.558433354390398,0.5759351059035601
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5459800315291645,0.6023054755043228,0.5914598961338718
Knightfisher,U,"WU,UB,UG,UR",0.5205304769191533,0.5032520325203252,0.5459553493766309
Lightshell Duo,U,"WU,UB,UG,UR",0.5437313472965343,0.5498292960494229,0.5679763663220089
Long River Lurker,U,"WU,UB,UG,UR",0.5181174510620574,0.5006165228113441,0.5334106728538283
Long River's Pull,U,"WU,UB,UG,UR",0.5298907220912792,0.548469387755102,0.5700821652972451
"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5568603213844252,0.5978260869565217,0.6211015262110152
Mind Spiral,U,"WU,UB,UG,UR",0.5308831908831909,0.5186661833997825,0.5532297418774881
Mindwhisker,U,"WU,UB,UG,UR",0.5509119185635515,0.542590246991767,0.5841447289337661
Mockingbird,U,"WU,UB,UG,UR",0.5271886895051658,0.510655090765588,0.5644405389572349
Moonstone Harbinger,B,"UB,BR,WB,BG",0.5253164556962026,0.5358898721730581,0.5475735575085976
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.4993373869660119,0.47034577513166936,0.5132135306553911
Nocturnal Hunger,B,"UB,BR,WB,BG",0.5424998881581891,0.546286610878661,0.5783085924278323
Osteomancer Adept,B,"UB,BR,WB,BG",0.5551054852320675,0.597678916827853,0.5925233644859813
Otterball Antics,U,"WU,UB,UG,UR",0.5209698558322412,0.49240986717267554,0.5201478743068392
Pearl of Wisdom,U,"WU,UB,UG,UR",0.544935262757045,0.5549490538573508,0.5773995915588835
Persistent Marshstalker,B,"UB,BR,WB,BG",0.5534943227250919,0.5607773851590107,0.5771050141911069
Plumecreed Escort,U,"WU,UB,UG,UR",0.5398044335227563,0.5496296296296296,0.5768138980356534
Portent of Calamity,U,"WU,UB,UG,UR",0.5134139926354551,0.4940119760479042,0.5318396226415094
Psychic Whorl,B,"UB,BR,WB,BG",0.5174745417515275,0.5199416342412452,0.5490808823529412
