name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Azure Beastbinder,U,"WU,UB,UG,UR",0.5546768279531239,0.6008550330353672,0.5932773109243697
Bakersbane Duo,G,"RG,WG,BG,UG",0.5521073716469437,0.5649450662285656,0.5676263338031005
Bark-Knuckle Boxer,G,"RG,WG,BG,UG",0.5529296197850456,0.5730129390018485,0.5734283532705523
Bellowing Crier,U,"WU,UB,UG,UR",0.53466407856998,0.529496059230953,0.5403585317272124
Brambleguard Veteran,G,"RG,WG,BG,UG",0.5623266824484274,0.5944189602446484,0.5865905431122822
Bushy Bodyguard,G,"RG,WG,BG,UG",0.5330901069064993,0.5097137014314929,0.546077684691546
Cache Grab,G,"RG,WG,BG,UG",0.5499098224195339,0.5564325177584846,0.5696088037988996
Calamitous Tide,U,"WU,UB,UG,UR",0.5417497334136956,0.5235585864848109,0.5649676206392312
Clifftop Lookout,G,"RG,WG,BG,UG",0.5390194371917609,0.5520814722172592,0.549629937054714
Curious Forager,G,"RG,WG,BG,UG",0.5492620439988861,0.5252631578947369,0.5673571876961707
Daring Waverider,U,"WU,UB,UG,UR",0.5545538982680435,0.5375144286263948,0.582653185528079
Dazzling Denial,U,"WU,UB,UG,UR",0.530392455126255,0.5361309420163678,0.5469827874891166
Dire Downdraft,U,"WU,UB,UG,UR",0.5506810382621052,0.5498774278710165,0.5703822911192853
Dour Port-Mage,U,"WU,UB,UG,UR",0.561258883248731,0.5979043876882777,0.6083766953851403
Druid of the Spade,G,"RG,WG,BG,UG",0.513129102844639,0.487012987012987,0.5147965474722564
Eddymurk Crab,U,"WU,UB,UG,UR",0.5285384751877921,0.5040967616074912,0.5524854744996772
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.5326231691078562,0.5848101265822785,0.5592105263157895
Fecund Greenshell,G,"RG,WG,BG,UG",0.5925230721101205,0.65032080659945,0.6775186264982184
Finch Formation,U,"WU,UB,UG,UR",0.5166431877641376,0.47969100423623223,0.5252696318744986
For the Common Good,G,"RG,WG,BG,UG",0.44559585492227977,0.4,0.4246575342465753
Galewind Moose,G,"RG,WG,BG,UG",0.5599762690496496,0.5477494641581329,0.5880546350925402
Gossip's Talent,U,"WU,UB,UG,UR",0.5185115461847389,0.4549150036954915,0.5106151333696244
Hazardroot Herbalist,G,"RG,WG,BG,UG",0.500177242112726,0.4912663755458515,0.5052208835341365
Heaped Harvest,G,"RG,WG,BG,UG",0.522612568035626,0.5286001724633516,0.5338484980409229
High Stride,G,"RG,WG,BG,UG",0.535609756097561,0.5376635092467298,0.5568919132774173
Hivespine Wolverine,G,"RG,WG,BG,UG",0.5547459707757494,0.5571955719557196,0.5844752818733738
Honored Dreyleader,G,"RG,WG,BG,UG",0.49512459371614304,0.49838187702265374,0.5006090133982948
Hunter's Talent,G,"RG,WG,BG,UG",0.577113090236935,0.5866641045349731,0.6197772575725332
Innkeeper's Talent,G,"RG,WG,BG,UG",0.5818901533894112,0.6504376367614879,0.6466527196652719
Into the Flood Maw,U,"WU,UB,UG,UR",0.5420227204182165,0.5363408521303258,0.5627958172812328
Keen-Eyed Curator,G,"RG,WG,BG,UG",0.5514963880288958,0.566128067025733,0.5909496210432457
Kitnap,U,"WU,UB,UG,UR",0.5549331048573123,0.5533279871692061,0.5832147937411095
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5627862595419847,0.6063618290258449,0.5907643312101911
Knightfisher,U,"WU,UB,UG,UR",0.5348534201954397,0.536108751062022,0.5617132108233251
Lightshell Duo,U,"WU,UB,UG,UR",0.5303991412120621,0.5325856320096999,0.556070826306914
Long River Lurker,U,"WU,UB,UG,UR",0.5569789425647044,0.5546014560388277,0.5854268737621182
Long River's Pull,U,"WU,UB,UG,UR",0.521854204476709,0.5137362637362637,0.5475404423902278
Longstalk Brawl,G,"RG,WG,BG,UG",0.5481908566758977,0.5464052287581699,0.5712917079616783
"Lumra, Bellow of the Woods",G,"RG,WG,BG,UG",0.5673857114585394,0.5802919708029197,0.6111111111111112
Mind Spiral,U,"WU,UB,UG,UR",0.5332890586086668,0.5077045696068013,0.5477151168246223
Mindwhisker,U,"WU,UB,UG,UR",0.552900213658305,0.5530355097365407,0.575497626384609
Mistbreath Elder,G,"RG,WG,BG,UG",0.5604686123062568,0.6203941730934018,0.6069185854357166
Mockingbird,U,"WU,UB,UG,UR",0.5604649483791784,0.5598126862494679,0.5933776883800093
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.4794699514744308,0.43982494529540483,0.48990306946688206
Otterball Antics,U,"WU,UB,UG,UR",0.5026601896830905,0.45465994962216627,0.5047146401985112
Overprotect,G,"RG,WG,BG,UG",0.5582223541195237,0.5630213160333642,0.5886287625418061
Pawpatch Formation,G,"RG,WG,BG,UG",0.5463132666008741,0.5407954079540795,0.5614276960784313
Pawpatch Recruit,G,"RG,WG,BG,UG",0.5631526876992415,0.6087219866747425,0.6065186584789797
Pearl of Wisdom,U,"WU,UB,UG,UR",0.5244935293719086,0.5206543967280164,0.5398230088495575
Peerless Recycling,G,"RG,WG,BG,UG",0.52491961414791,0.47947761194029853,0.5306553911205074
Plumecreed Escort,U,"WU,UB,UG,UR",0.5476793248945148,0.5388925510876731,0.5664133643157696
Polliwallop,G,"RG,WG,BG,UG",0.5596660267998583,0.5541659429100805,0.5848493520297616
Portent of Calamity,U,"WU,UB,UG,UR",0.5198675496688742,0.5103244837758112,0.5365853658536586
Run Away Together,U,"WU,UB,UG,UR",0.5409537249367907,0.5175057736720554,0.5530901259544475
Rust-Shield Rampager,G,"RG,WG,BG,UG",0.5350565973982092,0.528,0.5570285142571285
Scrapshooter,G,"RG,WG,BG,UG",0.5553700031311971,0.5744199207696661,0.5905965846085607
Season of Gathering,G,"RG,WG,BG,UG",0.5558906691800188,0.5682613768961493,0.6184157619622035
Season of Weaving,U,"WU,UB,UG,UR",0.5725998098859315,0.5886792452830188,0.6288391462779802
Shoreline Looter,U,"WU,UB,UG,UR",0.5647043329382326,0.6034556011896332,0.5979013295242281
Shore Up,U,"WU,UB,UG,UR",0.5335558252427185,0.5195747990666321,0.5490098786593892
Skyskipper Duo,U,"WU,UB,UG,UR",0.5397512700970564,0.5226242544731611,0.5532023957265418
Spellgyre,U,"WU,UB,UG,UR",0.5343582576286979,0.5311673592746505,0.5565418757236589
Splash Lasher,U,"WU,UB,UG,UR",0.5546687199519231,0.5418441349142397,0.5840859165242861
Splash Portal,U,"WU,UB,UG,UR",0.5497484418412555,0.5394262423577363,0.5669045005488474
Stickytongue Sentinel,G,"RG,WG,BG,UG",0.5538362527281885,0.540427382959056,0.5720513490166141
Stocking the Pantry,G,"RG,WG,BG,UG",0.5207478340173278,0.5056497175141242,0.5114179500796601
Stormchaser's Talent,U,"WU,UB,UG,UR",0.5555401662049861,0.5673151750972762,0.5802898550724638
Sugar Coat,U,"WU,UB,UG,UR",0.5468892063904404,0.5206480932622012,0.555108948593188
Sunshower Druid,G,"RG,WG,BG,UG",0.5517868595640882,0.5783153805403496,0.581302011292261
Tender Wildguide,G,"RG,WG,BG,UG",0.5766224322850391,0.6529382219989954,0.6336009174311926
Thornvault Forager,G,"RG,WG,BG,UG",0.5717711955870008,0.5951760104302477,0.6028594122319301
Thought Shucker,U,"WU,UB,UG,UR",0.5156159294090329,0.4894179894179894,0.5300380228136882
Three Tree Rootweaver,G,"RG,WG,BG,UG",0.5464848521255081,0.5730471728946508,0.5615539417271852
Three Tree Scribe,G,"RG,WG,BG,UG",0.5557459891158386,0.592444747346899,0.5868925445215817
Thundertrap Trainer,U,"WU,UB,UG,UR",0.5582543443917851,0.5634964266080263,0.590170762182424
Treeguard Duo,G,"RG,WG,BG,UG",0.5535174822500669,0.5501560062402496,0.5842358271632224
