name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate Assault,R,"BR,RG,UR,WR",0.5155961609449982,0.5237143376340178,0.5487311015118791
Alania's Pathmaker,R,"BR,RG,UR,WR",0.504621165955718,0.4996907854050711,0.5216953701632744
Artist's Talent,R,"BR,RG,UR,WR",0.4709851551956815,0.44822485207100593,0.4612756264236902
Azure Beastbinder,U,"WU,UB,UG,UR",0.523495300939812,0.5811277330264673,0.564373897707231
Bellowing Crier,U,"WU,UB,UG,UR",0.4739062846990895,0.4536760310818888,0.47690447400241837
Blacksmith's Talent,R,"BR,RG,UR,WR",0.4841949778434269,0.41638795986622074,0.47733333333333333
Blooming Blast,R,"BR,RG,UR,WR",0.5147047874320602,0.4984959174903309,0.5453361549731401
Brambleguard Captain,R,"BR,RG,UR,WR",0.4765166340508806,0.4090909090909091,0.488558352402746
Brazen Collector,R,"BR,RG,UR,WR",0.5243187305967575,0.5564720812182741,0.5474149129644064
Byway Barterer,R,"BR,RG,UR,WR",0.514511201629328,0.5146198830409356,0.5460122699386503
Calamitous Tide,U,"WU,UB,UG,UR",0.5206664825554636,0.5085365853658537,0.5557387183185658
Conduct Electricity,R,"BR,RG,UR,WR",0.5006524277178765,0.49069450748978666,0.5245748166640661
Coruscation Mage,R,"BR,RG,UR,WR",0.5110607675906184,0.5394014962593516,0.5502992855763661
Daring Waverider,U,"WU,UB,UG,UR",0.5161650636053366,0.5049464138499588,0.5525796447702284
Dazzling Denial,U,"WU,UB,UG,UR",0.511339425216609,0.5297889393534598,0.5339451454791949
Dire Downdraft,U,"WU,UB,UG,UR",0.5227272727272727,0.51995841995842,0.5530597014925374
Dour Port-Mage,U,"WU,UB,UG,UR",0.4981450252951096,0.49714285714285716,0.5183520599250936
"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR",0.545774647887324,0.532258064516129,0.5834101382488479
Eddymurk Crab,U,"WU,UB,UG,UR",0.5248944690983872,0.5047720042417816,0.5647699041760321
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.5010050251256282,0.5205479452054794,0.5443722943722944
Emberheart Challenger,R,"BR,RG,UR,WR",0.5322096513507273,0.5726708074534161,0.5677673730901922
Festival of Embers,R,"BR,RG,UR,WR",0.49221183800623053,0.4567901234567901,0.4885386819484241
Finch Formation,U,"WU,UB,UG,UR",0.46215556330659224,0.43240556660039764,0.46902999610440205
Flamecache Gecko,R,"BR,RG,UR,WR",0.5155268022181146,0.5102481121898598,0.5338093238135238
Frilled Sparkshooter,R,"BR,RG,UR,WR",0.45659574468085107,0.43360433604336046,0.47155255544840885
Gossip's Talent,U,"WU,UB,UG,UR",0.4092664092664093,0.33031674208144796,0.3764705882352941
Harnesser of Storms,R,"BR,RG,UR,WR",0.49949058930773765,0.5016681831968456,0.5065657163137348
Heartfire Hero,R,"BR,RG,UR,WR",0.47967714038627846,0.5205254515599343,0.505700871898055
Hearthborn Battler,R,"BR,RG,UR,WR",0.516287790016405,0.5121293800539084,0.5425641025641026
Hired Claw,R,"BR,RG,UR,WR",0.5285622593068036,0.6641929499072357,0.5835156819839533
Hoarder's Overflow,R,"BR,RG,UR,WR",0.4418848167539267,0.3395061728395062,0.425531914893617
Into the Flood Maw,U,"WU,UB,UG,UR",0.529292765819712,0.538860103626943,0.5723637650389243
Kindlespark Duo,R,"BR,RG,UR,WR",0.48590473093805886,0.46915708812260537,0.48499854354791727
Kitnap,U,"WU,UB,UG,UR",0.5172306252923748,0.5161596958174905,0.5522689075630252
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5148334094020995,0.57125,0.5579674395658609
Knightfisher,U,"WU,UB,UG,UR",0.47390143238650156,0.487012987012987,0.4950711938663746
Lightshell Duo,U,"WU,UB,UG,UR",0.5048732943469786,0.5030707610146863,0.5307375083916754
Long River Lurker,U,"WU,UB,UG,UR",0.48077487525682416,0.4585537918871252,0.49444807315480077
Long River's Pull,U,"WU,UB,UG,UR",0.49097048891499045,0.485947416137806,0.5119442601194426
Manifold Mouse,R,"BR,RG,UR,WR",0.5089628681177977,0.5684931506849316,0.5578800557880056
Might of the Meek,R,"BR,RG,UR,WR",0.5139705067080608,0.5016846361185984,0.5346153846153846
Mind Spiral,U,"WU,UB,UG,UR",0.5031146454605699,0.49234042553191487,0.5259690516316837
Mindwhisker,U,"WU,UB,UG,UR",0.5225840896956754,0.5152284263959391,0.5353860294117647
Mockingbird,U,"WU,UB,UG,UR",0.5025581395348837,0.5146666666666667,0.5323529411764706
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.46742209631728043,0.4161735700197239,0.46284501061571126
Otterball Antics,U,"WU,UB,UG,UR",0.5158027264044456,0.5100048804294778,0.5396492565764391
Pearl of Wisdom,U,"WU,UB,UG,UR",0.525812892184826,0.5335990105812835,0.5589323467230444
Playful Shove,R,"BR,RG,UR,WR",0.5185057073676929,0.5291357059053579,0.5449455205811138
Plumecreed Escort,U,"WU,UB,UG,UR",0.5168265039232781,0.5268076733890802,0.5362373977553738
Portent of Calamity,U,"WU,UB,UG,UR",0.5062128579146408,0.4659498207885305,0.5244498777506112
Quaketusk Boar,R,"BR,RG,UR,WR",0.5067155067155067,0.49909255898366606,0.5328019619865113
Rabid Gnaw,R,"BR,RG,UR,WR",0.5351772084939167,0.5584939489018378,0.5896367877374209
Raccoon Rallier,R,"BR,RG,UR,WR",0.4644456886898096,0.4869281045751634,0.47104749512036437
Reptilian Recruiter,R,"BR,RG,UR,WR",0.42115027829313545,0.3719512195121951,0.39914163090128757
Roughshod Duo,R,"BR,RG,UR,WR",0.4700517623859995,0.4837799717912553,0.48376259798432253
Run Away Together,U,"WU,UB,UG,UR",0.47273192796790986,0.42127215849843586,0.4883320581484315
Sazacap's Brew,R,"BR,RG,UR,WR",0.5106198236708522,0.5102344622255304,0.524179104477612
Season of the Bold,R,"BR,RG,UR,WR",0.5195861049519586,0.5107758620689655,0.551779935275081
Season of Weaving,U,"WU,UB,UG,UR",0.5271398747390397,0.5806451612903226,0.59472049689441
Shoreline Looter,U,"WU,UB,UG,UR",0.5396260639040045,0.6047994000749907,0.5802395209580838
Shore Up,U,"WU,UB,UG,UR",0.5059296324021906,0.48487084870848707,0.5254327563249002
Skyskipper Duo,U,"WU,UB,UG,UR",0.453015427769986,0.4166666666666667,0.4534731323722149
Spellgyre,U,"WU,UB,UG,UR",0.509366391184573,0.4939689833429064,0.5290791599353797
Splash Lasher,U,"WU,UB,UG,UR",0.5084610107477704,0.49676491732566497,0.5336379791825336
Splash Portal,U,"WU,UB,UG,UR",0.47505070993914805,0.46264744429882043,0.4889807162534435
Steampath Charger,R,"BR,RG,UR,WR",0.4562312061476779,0.4259597806215722,0.4579226686884003
Stormchaser's Talent,U,"WU,UB,UG,UR",0.5368101166552299,0.5818379554105492,0.5866805411030177
Stormsplitter,R,"BR,RG,UR,WR",0.4636363636363636,0.41916167664670656,0.43783783783783786
Sugar Coat,U,"WU,UB,UG,UR",0.5041810579894564,0.511924570160843,0.5285016286644951
Sunspine Lynx,R,"BR,RG,UR,WR",0.4829827915869981,0.4820627802690583,0.5052539404553416
Take Out the Trash,R,"BR,RG,UR,WR",0.5304858515750134,0.5550195960205004,0.5700755374782104
Teapot Slinger,R,"BR,RG,UR,WR",0.4876296887470072,0.4969400244798042,0.49863636363636366
Thought Shucker,U,"WU,UB,UG,UR",0.4797721916732129,0.4612868047982552,0.4811482433590403
Thundertrap Trainer,U,"WU,UB,UG,UR",0.5293592034720449,0.5514018691588785,0.5696030451332246
Valley Flamecaller,R,"BR,RG,UR,WR",0.5111980865405523,0.5135483870967742,0.5457594633445136
Valley Floodcaller,U,"WU,UB,UG,UR",0.5153827519379846,0.520265780730897,0.5326913329954385
Valley Rally,R,"BR,RG,UR,WR",0.4514285714285714,0.4103448275862069,0.452319587628866
War Squeak,R,"BR,RG,UR,WR",0.45290787442099845,0.4423791821561338,0.4602346805736636
Waterspout Warden,U,"WU,UB,UG,UR",0.44692737430167595,0.3924731182795699,0.4482051282051282
Whiskerquill Scribe,R,"BR,RG,UR,WR",0.4942322481415022,0.484375,0.492831541218638
Wildfire Howl,R,"BR,RG,UR,WR",0.5134971796937954,0.537901758641601,0.5540801028057399
Wishing Well,U,"WU,UB,UG,UR",0.5466732869910625,0.4752186588921283,0.570362473347548
