name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Azure Beastbinder,U,"WU,UB,UG,UR",0.5471063257065949,0.6005427020851185,0.5923965080259082
Bellowing Crier,U,"WU,UB,UG,UR",0.5233356048240123,0.5203237803544082,0.5317576248218089
Calamitous Tide,U,"WU,UB,UG,UR",0.5300334423442898,0.5164563226924028,0.5566858011143002
Daring Waverider,U,"WU,UB,UG,UR",0.5398642987399169,0.5203118137900746,0.5719986697705354
Dazzling Denial,U,"WU,UB,UG,UR",0.5281162544108189,0.5441648954574663,0.5508026624902115
Dire Downdraft,U,"WU,UB,UG,UR",0.5397879286222724,0.5351067473455874,0.5627021883920076
Dour Port-Mage,U,"WU,UB,UG,UR",0.5424873108774316,0.5754879830035852,0.5797101449275363
Eddymurk Crab,U,"WU,UB,UG,UR",0.5287130905122649,0.5071938722699514,0.5588741094303864
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.5077486615948155,0.5398373983739837,0.5414398064125832
Finch Formation,U,"WU,UB,UG,UR",0.5059060218560912,0.4754488823744962,0.5115350953964642
Gossip's Talent,U,"WU,UB,UG,UR",0.4974072740367303,0.43507447031676105,0.4847019657577679
Into the Flood Maw,U,"WU,UB,UG,UR",0.5306478486719592,0.526879134095009,0.5567781498717
Kitnap,U,"WU,UB,UG,UR",0.5391628885604789,0.5386590154032015,0.5707034874201823
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5425701624815362,0.5933121019108281,0.5804803270311701
Knightfisher,U,"WU,UB,UG,UR",0.5195698017714044,0.5236867110085517,0.5466194243556763
Lightshell Duo,U,"WU,UB,UG,UR",0.5276964849816695,0.5310763664556144,0.5517666775289791
Long River Lurker,U,"WU,UB,UG,UR",0.542328773432822,0.5344620717237701,0.5678097234701008
Long River's Pull,U,"WU,UB,UG,UR",0.5138194186412096,0.5140832901330569,0.5408299866131191
Mind Spiral,U,"WU,UB,UG,UR",0.5223518249804666,0.5005353319057816,0.5393524443306885
Mindwhisker,U,"WU,UB,UG,UR",0.5435385919483505,0.5398967844382692,0.5697769821734915
Mockingbird,U,"WU,UB,UG,UR",0.5353465070971333,0.5296900489396411,0.5645427332152239
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.49166834982831753,0.4582962303354111,0.501076365284387
Otterball Antics,U,"WU,UB,UG,UR",0.5136991567778147,0.5022311789261552,0.5312304631997726
Pearl of Wisdom,U,"WU,UB,UG,UR",0.5259663915444451,0.5314222712238148,0.5547741058355993
Plumecreed Escort,U,"WU,UB,UG,UR",0.5354508643334824,0.537403883748208,0.5591501445159982
Portent of Calamity,U,"WU,UB,UG,UR",0.511801730920535,0.4877250409165303,0.5258493353028065
Run Away Together,U,"WU,UB,UG,UR",0.5223087818696884,0.49228181872785154,0.5332087468316363
Season of Weaving,U,"WU,UB,UG,UR",0.5537174184861018,0.566340160284951,0.6071049840933191
Shoreline Looter,U,"WU,UB,UG,UR",0.5579889782597064,0.6183584170793864,0.6019767597168425
Shore Up,U,"WU,UB,UG,UR",0.5195543314972458,0.5010773030637448,0.5376057811162879
Skyskipper Duo,U,"WU,UB,UG,UR",0.5265182930478723,0.5051546391752577,0.5394620387116635
Spellgyre,U,"WU,UB,UG,UR",0.5276118259803921,0.5215792054928887,0.5526315789473685
Splash Lasher,U,"WU,UB,UG,UR",0.5424621325541296,0.5297427144572981,0.5717097671893029
Splash Portal,U,"WU,UB,UG,UR",0.5299879704416567,0.515361315447858,0.5461970003434721
Stormchaser's Talent,U,"WU,UB,UG,UR",0.5463338429834474,0.5749953419042295,0.5867692742163231
Sugar Coat,U,"WU,UB,UG,UR",0.5292407684185989,0.5168678683644783,0.5463758470474347
Thought Shucker,U,"WU,UB,UG,UR",0.5107007608657889,0.48098612635991617,0.5194307608100711
Thundertrap Trainer,U,"WU,UB,UG,UR",0.5437707335053447,0.5578767123287671,0.5789198036006546
Valley Floodcaller,U,"WU,UB,UG,UR",0.5232361988555552,0.5207287599925636,0.5411939875212706
Waterspout Warden,U,"WU,UB,UG,UR",0.5163898326412483,0.5040162496537716,0.5201062887511072
Wishing Well,U,"WU,UB,UG,UR",0.5337915234822451,0.4914383561643836,0.5635018495684341
