name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.5478224917309813,0.5684058463630184,0.5548733395118938
Bandit's Talent,B,"UB,BR,WB,BG",0.5265794392523364,0.5031446540880503,0.5240931239848403
Banishing Light,W,"WU,WG,WB,WR",0.5567317796872102,0.5424068506878018,0.5618981320338786
"Beza, the Bounding Spring",W,"WU,WG,WB,WR",0.5834588983760255,0.6155378486055777,0.6354985519238726
Bonebind Orator,B,"UB,BR,WB,BG",0.5540889892222546,0.5496681874740772,0.5512707745011804
Bonecache Overseer,B,"UB,BR,WB,BG",0.5245136186770428,0.5211480362537765,0.5261394101876675
Brave-Kin Duo,W,"WU,WG,WB,WR",0.5226671078755791,0.5267815556590592,0.5183290707587382
Brightblade Stoat,W,"WU,WG,WB,WR",0.5633325879308693,0.6146408839779005,0.5963944362421323
Builder's Talent,W,"WU,WG,WB,WR",0.5530852036867656,0.568495854717726,0.5775050437121722
Caretaker's Talent,W,"WU,WG,WB,WR",0.5654290931223371,0.5577142857142857,0.5964147286821705
Carrot Cake,W,"WU,WG,WB,WR",0.5663131063969742,0.5691909975669099,0.5846709470304976
Coiling Rebirth,B,"UB,BR,WB,BG",0.5387126865671642,0.5268935236004391,0.5445134575569358
Consumed by Greed,B,"UB,BR,WB,BG",0.5572567114093959,0.5393494228751312,0.567364089993872
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.5230174731182796,0.5255255255255256,0.5305359368508517
Crumb and Get It,W,"WU,WG,WB,WR",0.5536567263592593,0.5508937437934459,0.5632098027495517
Daggerfang Duo,B,"UB,BR,WB,BG",0.5371916389429414,0.5198982373250954,0.5358199657374241
Darkstar Augur,B,"UB,BR,WB,BG",0.5708921325177154,0.6047700170357752,0.6102865540044086
Dawn's Truce,W,"WU,WG,WB,WR",0.5307377049180327,0.5149253731343284,0.514324693042292
Dewdrop Cure,W,"WU,WG,WB,WR",0.5242960378769,0.46785714285714286,0.49011588275391954
Diresight,B,"UB,BR,WB,BG",0.5425883389446524,0.5279103929489534,0.5479638371069686
Downwind Ambusher,B,"UB,BR,WB,BG",0.5630654274863371,0.5820174623815716,0.5866739316571963
Driftgloom Coyote,W,"WU,WG,WB,WR",0.5661024136834293,0.5704529933985887,0.5861541231544832
Early Winter,B,"UB,BR,WB,BG",0.5319170806921364,0.48990459285555804,0.5195735913284959
Essence Channeler,W,"WU,WG,WB,WR",0.5599242537499377,0.6079530290899386,0.6023208026109029
Feather of Flight,W,"WU,WG,WB,WR",0.5545298890791335,0.543834974214721,0.5700344431687715
Feed the Cycle,B,"UB,BR,WB,BG",0.5596063359793111,0.5602956705385428,0.5735425209484757
Fell,B,"UB,BR,WB,BG",0.5604750036651517,0.5727748691099477,0.5893405600722674
Flowerfoot Swordmaster,W,"WU,WG,WB,WR",0.5316137868066652,0.5182849936948297,0.5101214574898786
Glidedive Duo,B,"UB,BR,WB,BG",0.5579588980990667,0.5442818346409173,0.5688851208139042
Harvestrite Host,W,"WU,WG,WB,WR",0.5732105732105732,0.5983175604626709,0.5986245244366404
Hazel's Nocturne,B,"UB,BR,WB,BG",0.5489815712900097,0.5251364550416547,0.5524554837246229
Hop to It,W,"WU,WG,WB,WR",0.5621445063918454,0.5688859591298616,0.5834740990990991
Huskburster Swarm,B,"UB,BR,WB,BG",0.5205547794851327,0.4860828241683639,0.5027595269382391
Intrepid Rabbit,W,"WU,WG,WB,WR",0.5630115084453309,0.5587881034003521,0.5752201996476806
Iridescent Vinelasher,B,"UB,BR,WB,BG",0.5616152748820367,0.5932304038004751,0.5835824952432727
Jackdaw Savior,W,"WU,WG,WB,WR",0.5603169469598965,0.5548947849954254,0.5804195804195804
Jolly Gerbils,W,"WU,WG,WB,WR",0.5565127336063644,0.5597073425659785,0.5603317369466184
Lifecreed Duo,W,"WU,WG,WB,WR",0.5590543644716692,0.5823936170212766,0.5778861172906707
Mabel's Mettle,W,"WU,WG,WB,WR",0.5330155979202773,0.5115884680610514,0.5200091470386462
"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5794063390910615,0.6167487684729064,0.6306563391765185
Moonstone Harbinger,B,"UB,BR,WB,BG",0.5575075724794462,0.5628712871287128,0.5757914338919925
Mouse Trapper,W,"WU,WG,WB,WR",0.5221301357785223,0.4916839916839917,0.5088731144631766
Nettle Guard,W,"WU,WG,WB,WR",0.5539010899246155,0.5595541828924399,0.5555359246171967
Nocturnal Hunger,B,"UB,BR,WB,BG",0.5563878604205681,0.5459166666666667,0.5643677749543682
Osteomancer Adept,B,"UB,BR,WB,BG",0.5749182338511856,0.5915407854984894,0.6015228426395939
Parting Gust,W,"WU,WG,WB,WR",0.5433427136787508,0.5276828434723172,0.5559168669588577
Persistent Marshstalker,B,"UB,BR,WB,BG",0.5440852034994295,0.5559322033898305,0.5511245511245512
Pileated Provisioner,W,"WU,WG,WB,WR",0.5286726804123711,0.5072278911564626,0.522887612797375
Psychic Whorl,B,"UB,BR,WB,BG",0.5107334525939177,0.49162011173184356,0.5152922957801006
Rabbit Response,W,"WU,WG,WB,WR",0.5408346213292118,0.5025359256128487,0.528554875020692
Ravine Raider,B,"UB,BR,WB,BG",0.5347743822028553,0.5520833333333334,0.5380091163064256
