name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Bakersbane Duo,G,"RG,WG,BG,UG",0.5607396286458534,0.5742004264392324,0.5680334458916224
Banishing Light,W,"WU,WG,WB,WR",0.5624687537197952,0.5530878349333715,0.5666656627413186
Bark-Knuckle Boxer,G,"RG,WG,BG,UG",0.5587803855825649,0.5777864532500488,0.5611829289888436
"Beza, the Bounding Spring",W,"WU,WG,WB,WR",0.5856853477380148,0.6347438752783965,0.6406097956535842
Brambleguard Veteran,G,"RG,WG,BG,UG",0.5390791152700979,0.5527216174183515,0.5456753474564836
Brave-Kin Duo,W,"WU,WG,WB,WR",0.5409906648139813,0.5425626246951896,0.5208075175547294
Brightblade Stoat,W,"WU,WG,WB,WR",0.5644509948415622,0.5937802126973897,0.5736270148056305
Builder's Talent,W,"WU,WG,WB,WR",0.5568942436412316,0.563060538116592,0.5731562722314442
Bushy Bodyguard,G,"RG,WG,BG,UG",0.5474801679888007,0.5217391304347826,0.5469959815740468
Cache Grab,G,"RG,WG,BG,UG",0.5374887383629751,0.5216089803554724,0.5318708609271523
Caretaker's Talent,W,"WU,WG,WB,WR",0.5644533305272019,0.5791256157635468,0.5856578779773277
Carrot Cake,W,"WU,WG,WB,WR",0.5751281911411739,0.5882769414219705,0.5943938426377172
Clifftop Lookout,G,"RG,WG,BG,UG",0.5285313376987839,0.5163538873994639,0.5194774900863074
Crumb and Get It,W,"WU,WG,WB,WR",0.5600830145878832,0.5594500679861006,0.5616085893078365
Curious Forager,G,"RG,WG,BG,UG",0.5563321829539994,0.5334928229665071,0.5580246913580247
Dawn's Truce,W,"WU,WG,WB,WR",0.5083299471759447,0.4735376044568245,0.48337028824833705
Dewdrop Cure,W,"WU,WG,WB,WR",0.5350556874201206,0.5006127450980392,0.5218710493046776
Driftgloom Coyote,W,"WU,WG,WB,WR",0.5621353724157463,0.5652173913043478,0.578372513562387
Druid of the Spade,G,"RG,WG,BG,UG",0.5567890163579579,0.5532914404246233,0.5511765172970541
Essence Channeler,W,"WU,WG,WB,WR",0.5338983050847458,0.5474452554744526,0.5352112676056338
Feather of Flight,W,"WU,WG,WB,WR",0.564978729243859,0.5631851085832471,0.5727510917030567
Fecund Greenshell,G,"RG,WG,BG,UG",0.5723759432883604,0.5911832946635731,0.6110799176492607
Flowerfoot Swordmaster,W,"WU,WG,WB,WR",0.5485744456177403,0.5438654353562006,0.545826036193812
For the Common Good,G,"RG,WG,BG,UG",0.5018764926646195,0.47198275862068967,0.46264626462646263
Galewind Moose,G,"RG,WG,BG,UG",0.5535497309494879,0.5404705882352941,0.5635647554497161
Harvestrite Host,W,"WU,WG,WB,WR",0.5767806133659792,0.6110515979289413,0.5965178780088806
Hazardroot Herbalist,G,"RG,WG,BG,UG",0.5418652544866137,0.5256297340144442,0.5259655831739962
Heaped Harvest,G,"RG,WG,BG,UG",0.5069102955639526,0.482809721398933,0.49773872593358315
High Stride,G,"RG,WG,BG,UG",0.5437818358224471,0.5364963503649635,0.5353013067594247
Hivespine Wolverine,G,"RG,WG,BG,UG",0.551316559391457,0.5442846328538986,0.5485638891708109
Honored Dreyleader,G,"RG,WG,BG,UG",0.48381452318460194,0.4404283801874163,0.46880086814975586
Hop to It,W,"WU,WG,WB,WR",0.5785246777532893,0.6004293447825275,0.6036577830868723
Hunter's Talent,G,"RG,WG,BG,UG",0.5700667044748711,0.5957244655581948,0.6069522284494262
Innkeeper's Talent,G,"RG,WG,BG,UG",0.5845896147403685,0.6676535899333826,0.6352023888520238
Intrepid Rabbit,W,"WU,WG,WB,WR",0.5730349849049903,0.5826051112943116,0.5903213691721659
Jackdaw Savior,W,"WU,WG,WB,WR",0.5647577902380734,0.5644637053087758,0.5817067635043123
Jolly Gerbils,W,"WU,WG,WB,WR",0.5612377627165058,0.5730273141122914,0.5653654702646057
Keen-Eyed Curator,G,"RG,WG,BG,UG",0.5603311313654988,0.5751756440281031,0.5790907186256024
Lifecreed Duo,W,"WU,WG,WB,WR",0.5468659278519677,0.5475585661868473,0.5416720010241967
Longstalk Brawl,G,"RG,WG,BG,UG",0.5517922702089313,0.5401144943167676,0.5475766703176341
"Lumra, Bellow of the Woods",G,"RG,WG,BG,UG",0.5479374646826144,0.5596221959858324,0.5644317641464575
Mabel's Mettle,W,"WU,WG,WB,WR",0.5479821679962459,0.5228658536585366,0.5381170589460529
Mistbreath Elder,G,"RG,WG,BG,UG",0.541093089818727,0.5659640905542545,0.5488515598217346
Mouse Trapper,W,"WU,WG,WB,WR",0.537985188968335,0.5248254460822342,0.5234229663453408
Nettle Guard,W,"WU,WG,WB,WR",0.5518023394604917,0.5579132768598507,0.5432703256661353
Overprotect,G,"RG,WG,BG,UG",0.5625070741369553,0.5528753714385597,0.575286475439749
Parting Gust,W,"WU,WG,WB,WR",0.5351430361244519,0.5225201770372299,0.5339065018807093
Pawpatch Formation,G,"RG,WG,BG,UG",0.5423961189622443,0.5428843710292249,0.5475968579416856
Pawpatch Recruit,G,"RG,WG,BG,UG",0.5697384806973848,0.6185196284087504,0.6106663047903379
Peerless Recycling,G,"RG,WG,BG,UG",0.529547359597653,0.5006906077348067,0.5202910719283516
Pileated Provisioner,W,"WU,WG,WB,WR",0.5457426760322083,0.5402450518378887,0.5487519794887263
Polliwallop,G,"RG,WG,BG,UG",0.547565723736347,0.5313426281699418,0.5448331684504002
Rabbit Response,W,"WU,WG,WB,WR",0.5571885545943213,0.5351307189542484,0.5551231018723278
Repel Calamity,W,"WU,WG,WB,WR",0.5636025358324146,0.5699810006333123,0.5800441501103752
Rust-Shield Rampager,G,"RG,WG,BG,UG",0.5451171154555514,0.5209790209790209,0.5402455661664393
Salvation Swan,W,"WU,WG,WB,WR",0.5582453164752139,0.555401019935095,0.5853891757506215
Scrapshooter,G,"RG,WG,BG,UG",0.5545447026714085,0.5770925110132159,0.5666052793124616
Seasoned Warrenguard,W,"WU,WG,WB,WR",0.5702966922962237,0.6089797894227278,0.5783072585549229
Season of Gathering,G,"RG,WG,BG,UG",0.5530624620982414,0.5772432932469935,0.5916149068322981
Season of the Burrow,W,"WU,WG,WB,WR",0.5890330878054484,0.6370106761565836,0.6390911739003787
Shrike Force,W,"WU,WG,WB,WR",0.5643921701838563,0.5739385065885798,0.5632891246684351
Sonar Strike,W,"WU,WG,WB,WR",0.5518863302302792,0.5385979430192694,0.5476601360267993
Star Charter,W,"WU,WG,WB,WR",0.5292204019983734,0.5157142857142857,0.5250150693188668
Starfall Invocation,W,"WU,WG,WB,WR",0.5490196078431373,0.5475888324873096,0.5650259067357513
Stickytongue Sentinel,G,"RG,WG,BG,UG",0.5472733264835314,0.5283018867924528,0.5393978219090326
Stocking the Pantry,G,"RG,WG,BG,UG",0.5084309133489462,0.4578146611341632,0.47000582411182296
Sunshower Druid,G,"RG,WG,BG,UG",0.5289636846767051,0.5280362081971335,0.5257352941176471
Tender Wildguide,G,"RG,WG,BG,UG",0.5641544806899138,0.6114649681528662,0.5977429923552967
Thistledown Players,W,"WU,WG,WB,WR",0.5316393543239428,0.5286647314949202,0.517160623435355
Thornvault Forager,G,"RG,WG,BG,UG",0.5590224111282844,0.5789200415368639,0.5687215159510673
Three Tree Rootweaver,G,"RG,WG,BG,UG",0.5450767553819602,0.5675641828428303,0.5467423721036935
Three Tree Scribe,G,"RG,WG,BG,UG",0.533004041311181,0.54125,0.5253754039156054
Treeguard Duo,G,"RG,WG,BG,UG",0.5612459334397543,0.5588161524956108,0.5715728678355909
Treetop Sentries,G,"RG,WG,BG,UG",0.5358443013161579,0.5158594084869267,0.5275382720394158
Valley Mightcaller,G,"RG,WG,BG,UG",0.5792738670497584,0.6734987414599065,0.6199582195082758
Valley Questcaller,W,"WU,WG,WB,WR",0.5858236461582081,0.6681074405680766,0.6451433342610632
Warren Elder,W,"WU,WG,WB,WR",0.5634400583867487,0.554416961130742,0.5616497943688706
Warren Warleader,W,"WU,WG,WB,WR",0.581634775374376,0.6143445032333921,0.6445676833879506
Wax-Wane Witness,W,"WU,WG,WB,WR",0.5291398150742505,0.5091070635273212,0.5256924198250729
Wear Down,G,"RG,WG,BG,UG",0.46813933729821583,0.41566265060240964,0.4354066985645933
Whiskervale Forerunner,W,"WU,WG,WB,WR",0.555463781283555,0.5699132111861138,0.563125
