name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Azure Beastbinder,U,"WU,UB,UG,UR",0.5383645154509145,0.5968289920724802,0.5767397521448999
Banishing Light,W,"WU,WG,WB,WR",0.5321825887338867,0.5208813733025878,0.5490973599081708
Bellowing Crier,U,"WU,UB,UG,UR",0.507856638418079,0.5114914425427873,0.5089437819420783
"Beza, the Bounding Spring",W,"WU,WG,WB,WR",0.545360290305858,0.6416184971098265,0.6332945285215367
Brave-Kin Duo,W,"WU,WG,WB,WR",0.49575785370327907,0.5,0.5014164305949008
Brightblade Stoat,W,"WU,WG,WB,WR",0.5432986371928319,0.6047835990888383,0.577517447657029
Builder's Talent,W,"WU,WG,WB,WR",0.5439469320066335,0.5609756097560976,0.5633737185461324
Calamitous Tide,U,"WU,UB,UG,UR",0.5175410363694882,0.5,0.5162311955661124
Caretaker's Talent,W,"WU,WG,WB,WR",0.5438144329896907,0.5398550724637681,0.5591240875912409
Carrot Cake,W,"WU,WG,WB,WR",0.548921679909194,0.5541481950601647,0.574230060542248
Crumb and Get It,W,"WU,WG,WB,WR",0.5299111021990509,0.5323529411764706,0.5513055047397306
Daring Waverider,U,"WU,UB,UG,UR",0.5184903748733536,0.48450244698205547,0.5345679012345679
Dawn's Truce,W,"WU,WG,WB,WR",0.5372945638432364,0.5663716814159292,0.5533333333333333
Dazzling Denial,U,"WU,UB,UG,UR",0.5288871192514434,0.5493926197570479,0.5483562691131498
Dewdrop Cure,W,"WU,WG,WB,WR",0.49899799599198397,0.37857142857142856,0.4329896907216495
Dire Downdraft,U,"WU,UB,UG,UR",0.530785670669652,0.5223270440251573,0.5434173669467787
Dour Port-Mage,U,"WU,UB,UG,UR",0.521224371931851,0.5642276422764227,0.5319573901464714
Driftgloom Coyote,W,"WU,WG,WB,WR",0.5303456817925909,0.5196211096075778,0.5553485896753593
Eddymurk Crab,U,"WU,UB,UG,UR",0.5151191746709356,0.4969400244798042,0.5273942093541203
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.45553822152886114,0.5454545454545454,0.5071942446043165
Essence Channeler,W,"WU,WG,WB,WR",0.524641577060932,0.5707547169811321,0.5420081967213115
Feather of Flight,W,"WU,WG,WB,WR",0.5325057858194824,0.5289367429340511,0.5518843572534847
Finch Formation,U,"WU,UB,UG,UR",0.512270731077241,0.4816326530612245,0.5088101160862355
Flowerfoot Swordmaster,W,"WU,WG,WB,WR",0.5212609970674487,0.5241090146750524,0.5238095238095238
Gossip's Talent,U,"WU,UB,UG,UR",0.49128440366972476,0.44155844155844154,0.46912242686890576
Harvestrite Host,W,"WU,WG,WB,WR",0.5536801809639812,0.5965848452508005,0.5756578947368421
Hop to It,W,"WU,WG,WB,WR",0.5442685684466864,0.5237603305785123,0.5611362700699877
Into the Flood Maw,U,"WU,UB,UG,UR",0.5149205319493999,0.48923076923076925,0.5256459699190127
Intrepid Rabbit,W,"WU,WG,WB,WR",0.5387911704619064,0.5348017621145374,0.5569289279771809
Jackdaw Savior,W,"WU,WG,WB,WR",0.5205727750589089,0.5542427497314716,0.5477386934673367
Jolly Gerbils,W,"WU,WG,WB,WR",0.527315296566077,0.5591397849462365,0.5355828220858896
Kitnap,U,"WU,UB,UG,UR",0.52920452438346,0.5153172866520788,0.5606387570133794
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5644110275689223,0.598404255319149,0.6034090909090909
Knightfisher,U,"WU,UB,UG,UR",0.5243384316581695,0.5426594926979247,0.5514415337333528
Lifecreed Duo,W,"WU,WG,WB,WR",0.5167608087420155,0.5217770034843205,0.5201648145835934
Lightshell Duo,U,"WU,UB,UG,UR",0.5258281507805559,0.5356303837118246,0.5408408408408408
Long River Lurker,U,"WU,UB,UG,UR",0.5079281183932347,0.46865037194473963,0.50375
Long River's Pull,U,"WU,UB,UG,UR",0.5025393600812595,0.48923076923076925,0.5117785630153121
Mabel's Mettle,W,"WU,WG,WB,WR",0.498671571632945,0.48488664987405544,0.5063419583967529
Mind Spiral,U,"WU,UB,UG,UR",0.5184114616061329,0.47098402018502944,0.5112480739599383
Mindwhisker,U,"WU,UB,UG,UR",0.5292975858304015,0.5433911882510013,0.5406380027739252
Mockingbird,U,"WU,UB,UG,UR",0.535672285378283,0.5330347144456887,0.5405651777575206
Mouse Trapper,W,"WU,WG,WB,WR",0.5242451967063129,0.5148648648648648,0.5213189312109153
Nettle Guard,W,"WU,WG,WB,WR",0.5289637952559301,0.562544420753376,0.5379785604900459
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.4838478104809763,0.4543610547667343,0.4699675324675325
Otterball Antics,U,"WU,UB,UG,UR",0.5119805884137094,0.5113438045375218,0.5237399561723886
Parting Gust,W,"WU,WG,WB,WR",0.5231955504993048,0.5247836349331235,0.5354620816702487
Pearl of Wisdom,U,"WU,UB,UG,UR",0.5142126635584299,0.5109612141652614,0.5322635711847047
Pileated Provisioner,W,"WU,WG,WB,WR",0.5171172551122003,0.4975222993062438,0.5240782543265613
Plumecreed Escort,U,"WU,UB,UG,UR",0.5247978608263831,0.5287437899219305,0.5438778535428402
Portent of Calamity,U,"WU,UB,UG,UR",0.5060827250608273,0.47692307692307695,0.5233918128654971
