,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Season of Loss,B,"UB,BR,WB,BG",0.5804817211006313,0.6234413965087282,0.6570845697329377,,0.6595517609391676,0.6262437810945274,,,0.6427438540840603,0.6904884318766067,,,
1,"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5779923909862452,0.6132515337423313,0.633339874411303,,0.6211015262110152,0.6528436018957346,,,0.6306563391765185,0.6554765291607397,,,
2,Thought-Stalker Warlock,B,"UB,BR,WB,BG",0.5731240978773181,0.6142823306489815,0.6095231790271595,,0.6158389849048348,0.6142117971714385,,,0.6176514923123304,0.6042353942747686,,,
3,Wick's Patrol,B,"UB,BR,WB,BG",0.5671361630997726,0.5782814971006853,0.6035926935109497,,0.6101293650122601,0.5893689381534198,,,0.5894319027536591,0.6153618906942393,,,
4,Darkstar Augur,B,"UB,BR,WB,BG",0.5668039521136979,0.6003603603603603,0.6006415805285401,,0.5609302325581396,0.6132270445822262,,,0.6102865540044086,0.6082402234636871,,,
5,Fell,B,"UB,BR,WB,BG",0.5623655730429142,0.5773490180636905,0.5961761888261552,,0.6065225097483162,0.5931662870159453,,,0.5893405600722674,0.6087724642095644,,,
6,Downwind Ambusher,B,"UB,BR,WB,BG",0.5689168134892322,0.5809561196894356,0.5960801702731465,,0.5999306839186691,0.5966171698298751,,,0.5866739316571963,0.6048250084947333,,,
7,Savor,B,"UB,BR,WB,BG",0.5645166177789629,0.5810629052283074,0.5916716748607963,,0.6081907359345445,0.5750845229151015,,,0.5839537076167874,0.5993754557863834,,,
8,Osteomancer Adept,B,"UB,BR,WB,BG",0.5636936245810958,0.5868949098741639,0.59048762911362,,0.5925233644859813,0.5884047533309327,,,0.6015228426395939,0.592338835253815,,,
9,Rottenmouth Viper,B,"UB,BR,WB,BG",0.5528455284552846,0.5654791771199197,0.5897082018927445,,0.5746031746031746,0.5881962864721485,,,0.5881763527054108,0.6046936909478817,,,
