,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Season of Loss,B,"UB,BR,WB,BG",0.5804817211006313,0.6234413965087282,0.6570845697329377,,0.6595517609391676,0.6262437810945274,,,0.6427438540840603,0.6904884318766067,,,
1,Valley Questcaller,W,"WU,WG,WB,WR",0.5820395609951339,0.6631176947112603,0.6434952253824828,0.6664769493454752,,,,0.6451433342610632,0.6445668290616395,,,,0.6325459317585301
2,Fecund Greenshell,G,"RG,WG,BG,UG",0.5752876978767086,0.6194948186528497,0.6428392379679144,,,,0.6187371310912835,0.6110799176492607,,0.6537250786988458,0.6775186264982184,,
3,"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5779923909862452,0.6132515337423313,0.633339874411303,,0.6211015262110152,0.6528436018957346,,,0.6306563391765185,0.6554765291607397,,,
4,Warren Warleader,W,"WU,WG,WB,WR",0.572096446041297,0.6090076713684731,0.6309104493542534,0.6047819971870605,,,,0.6445676833879506,0.6340710241893979,,,,0.6189655172413793
5,Manifold Mouse,R,"BR,RG,UR,WR",0.5713561131873999,0.6368796390627274,0.6301641949152542,,,0.5959637561779242,0.5718701700154559,,,,,0.5578800557880056,0.6641634456101602
6,Innkeeper's Talent,G,"RG,WG,BG,UG",0.5709973208558168,0.6561363400187051,0.6290011400508638,,,,0.6284644194756555,0.6352023888520238,,0.6346709470304976,0.6466527196652719,,
7,"Beza, the Bounding Spring",W,"WU,WG,WB,WR",0.5704310025897151,0.6165913320925286,0.6243249324932493,0.6332945285215367,,,,0.6406097956535842,0.6354985519238726,,,,0.5986560781918143
8,"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR",0.5650932716444357,0.596875,0.6233625766133878,,,0.6334117647058823,0.6429840142095915,,,,,0.5834101382488479,0.6369107321965898
9,Season of the Burrow,W,"WU,WG,WB,WR",0.5682377609627131,0.6020770702377699,0.6169776968593537,0.6052998605299861,,,,0.6390911739003787,0.6091954022988506,,,,0.5931603773584906
10,Hunter's Talent,G,"RG,WG,BG,UG",0.5714547466191218,0.5953459889773424,0.6151490947816827,,,,0.6033057851239669,0.6069522284494262,,0.6338328562608745,0.6197772575725332,,
11,Thought-Stalker Warlock,B,"UB,BR,WB,BG",0.5731240978773181,0.6142823306489815,0.6095231790271595,,0.6158389849048348,0.6142117971714385,,,0.6176514923123304,0.6042353942747686,,,
12,Tender Wildguide,G,"RG,WG,BG,UG",0.5622963689892051,0.6202083109631698,0.6088231252004215,,,,0.5881453154875717,0.5977429923552967,,0.6131433095803642,0.6336009174311926,,
13,Season of Gathering,G,"RG,WG,BG,UG",0.5550830295666261,0.5666833166833167,0.6075838599902771,,,,0.6011281224818694,0.5916149068322981,,0.6137012369172217,0.6184157619622035,,
