,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Season of Weaving,U,"WU,UB,UG,UR",0.5537174184861018,0.566340160284951,0.6071049840933191,0.5808031341821743,0.6010252029047416,,,,,,0.6288391462779802,0.59472049689441,
1,Shoreline Looter,U,"WU,UB,UG,UR",0.5579889782597064,0.6183584170793864,0.6019767597168425,0.5843900696552956,0.6267049113153428,,,,,,0.5979013295242281,0.5802395209580838,
2,Azure Beastbinder,U,"WU,UB,UG,UR",0.5471063257065949,0.6005427020851185,0.5923965080259082,0.5767397521448999,0.6120975609756097,,,,,,0.5932773109243697,0.564373897707231,
3,Stormchaser's Talent,U,"WU,UB,UG,UR",0.5463338429834474,0.5749953419042295,0.5867692742163231,0.5525629887054735,0.6105409153952843,,,,,,0.5802898550724638,0.5866805411030177,
4,"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5425701624815362,0.5933121019108281,0.5804803270311701,0.6034090909090909,0.5914598961338718,,,,,,0.5907643312101911,0.5579674395658609,
5,Dour Port-Mage,U,"WU,UB,UG,UR",0.5424873108774316,0.5754879830035852,0.5797101449275363,0.5319573901464714,0.5408782577650839,,,,,,0.6083766953851403,0.5183520599250936,
6,Thundertrap Trainer,U,"WU,UB,UG,UR",0.5437707335053447,0.5578767123287671,0.5789198036006546,0.5622489959839357,0.5838211814795103,,,,,,0.590170762182424,0.5696030451332246,
7,Daring Waverider,U,"WU,UB,UG,UR",0.5398642987399169,0.5203118137900746,0.5719986697705354,0.5345679012345679,0.5857810814051073,,,,,,0.582653185528079,0.5525796447702284,
8,Splash Lasher,U,"WU,UB,UG,UR",0.5424621325541296,0.5297427144572981,0.5717097671893029,0.5511337343822305,0.5737539432176656,,,,,,0.5840859165242861,0.5336379791825336,
9,Kitnap,U,"WU,UB,UG,UR",0.5391628885604789,0.5386590154032015,0.5707034874201823,0.5606387570133794,0.5759351059035601,,,,,,0.5832147937411095,0.5522689075630252,
10,Mindwhisker,U,"WU,UB,UG,UR",0.5435385919483505,0.5398967844382692,0.5697769821734915,0.5406380027739252,0.5841447289337661,,,,,,0.575497626384609,0.5353860294117647,
11,Long River Lurker,U,"WU,UB,UG,UR",0.542328773432822,0.5344620717237701,0.5678097234701008,0.50375,0.5334106728538283,,,,,,0.5854268737621182,0.4944480731548007,
12,Mockingbird,U,"WU,UB,UG,UR",0.5353465070971333,0.5296900489396411,0.5645427332152239,0.5405651777575206,0.5644405389572349,,,,,,0.5933776883800093,0.5323529411764706,
13,Wishing Well,U,"WU,UB,UG,UR",0.5337915234822451,0.4914383561643836,0.5635018495684341,0.4833333333333333,0.6206896551724138,,,,,,0.5338345864661654,0.570362473347548,
14,Dire Downdraft,U,"WU,UB,UG,UR",0.5397879286222724,0.5351067473455874,0.5627021883920076,0.5434173669467787,0.5696919627050632,,,,,,0.5703822911192853,0.5530597014925374,
15,Plumecreed Escort,U,"WU,UB,UG,UR",0.5354508643334824,0.537403883748208,0.5591501445159982,0.5438778535428402,0.5768138980356534,,,,,,0.5664133643157696,0.5362373977553738,
16,Eddymurk Crab,U,"WU,UB,UG,UR",0.5287130905122649,0.5071938722699514,0.5588741094303864,0.5273942093541203,0.5737646216280735,,,,,,0.5524854744996772,0.5647699041760321,
17,Into the Flood Maw,U,"WU,UB,UG,UR",0.5306478486719592,0.526879134095009,0.5567781498717,0.5256459699190127,0.5525672371638142,,,,,,0.5627958172812328,0.5723637650389243,
18,Calamitous Tide,U,"WU,UB,UG,UR",0.5300334423442898,0.5164563226924028,0.5566858011143002,0.5162311955661124,0.5676510326191855,,,,,,0.5649676206392312,0.5557387183185658,
19,Pearl of Wisdom,U,"WU,UB,UG,UR",0.5259663915444451,0.5314222712238148,0.5547741058355993,0.5322635711847047,0.5773995915588835,,,,,,0.5398230088495575,0.5589323467230444,
20,Spellgyre,U,"WU,UB,UG,UR",0.5276118259803921,0.5215792054928887,0.5526315789473685,0.5307262569832403,0.5777075553002011,,,,,,0.5565418757236589,0.5290791599353797,
21,Lightshell Duo,U,"WU,UB,UG,UR",0.5276964849816695,0.5310763664556144,0.5517666775289791,0.5408408408408408,0.5679763663220089,,,,,,0.556070826306914,0.5307375083916754,
22,Dazzling Denial,U,"WU,UB,UG,UR",0.5281162544108189,0.5441648954574663,0.5508026624902115,0.5483562691131498,0.5731509390215627,,,,,,0.5469827874891166,0.5339451454791949,
23,Knightfisher,U,"WU,UB,UG,UR",0.5195698017714044,0.5236867110085517,0.5466194243556763,0.5514415337333528,0.5459553493766309,,,,,,0.5617132108233251,0.4950711938663746,
24,Sugar Coat,U,"WU,UB,UG,UR",0.5292407684185989,0.5168678683644783,0.5463758470474347,0.5202055594487269,0.5649137808180134,,,,,,0.555108948593188,0.5285016286644951,
