,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Fecund Greenshell,G,"RG,WG,BG,UG",0.5752876978767086,0.6194948186528497,0.6428392379679144,,,,0.6187371310912835,0.6110799176492607,,0.6537250786988458,0.6775186264982184,,
1,Innkeeper's Talent,G,"RG,WG,BG,UG",0.5709973208558168,0.6561363400187051,0.6290011400508638,,,,0.6284644194756555,0.6352023888520238,,0.6346709470304976,0.6466527196652719,,
2,Hunter's Talent,G,"RG,WG,BG,UG",0.5714547466191218,0.5953459889773424,0.6151490947816827,,,,0.6033057851239669,0.6069522284494262,,0.6338328562608745,0.6197772575725332,,
3,Tender Wildguide,G,"RG,WG,BG,UG",0.5622963689892051,0.6202083109631698,0.6088231252004215,,,,0.5881453154875717,0.5977429923552967,,0.6131433095803642,0.6336009174311926,,
4,Season of Gathering,G,"RG,WG,BG,UG",0.5550830295666261,0.5666833166833167,0.6075838599902771,,,,0.6011281224818694,0.5916149068322981,,0.6137012369172217,0.6184157619622035,,
5,Valley Mightcaller,G,"RG,WG,BG,UG",0.5641764928118351,0.6601717305151915,0.603324974458995,,,,0.5498154981549815,0.6199582195082758,,0.5977403156384505,0.6271576524741082,,
6,Pawpatch Recruit,G,"RG,WG,BG,UG",0.5592846147614032,0.6024069780280447,0.597896940571918,,,,0.5648637657584384,0.6106663047903379,,0.5949793930310978,0.6065186584789797,,
7,"Lumra, Bellow of the Woods",G,"RG,WG,BG,UG",0.5521055778594004,0.5700495695277851,0.5950827897641746,,,,0.5687352710133543,0.5644317641464575,,0.6119402985074627,0.6111111111111112,,
8,Thornvault Forager,G,"RG,WG,BG,UG",0.5590350124606773,0.597817527280909,0.5889287793518339,,,,0.548695652173913,0.5687215159510673,,0.606685878962536,0.6028594122319301,,
9,Keen-Eyed Curator,G,"RG,WG,BG,UG",0.556304732146528,0.5793688177107866,0.5889214250854076,,,,0.579185520361991,0.5790907186256024,,0.6061680801850424,0.5909496210432457,,
