name,colors,color_pairs
Agate Assault,R,"BR,RG,UR,WR"
Agate-Blade Assassin,B,"UB,BR,WB,BG"
Alania's Pathmaker,R,"BR,RG,UR,WR"
Artist's Talent,R,"BR,RG,UR,WR"
Azure Beastbinder,U,"WU,UB,UG,UR"
Bakersbane Duo,G,"RG,WG,BG,UG"
Bandit's Talent,B,"UB,BR,WB,BG"
Banishing Light,W,"WU,WG,WB,WR"
Bark-Knuckle Boxer,G,"RG,WG,BG,UG"
Bellowing Crier,U,"WU,UB,UG,UR"
"Beza, the Bounding Spring",W,"WU,WG,WB,WR"
Blacksmith's Talent,R,"BR,RG,UR,WR"
Blooming Blast,R,"BR,RG,UR,WR"
Bonebind Orator,B,"UB,BR,WB,BG"
Bonecache Overseer,B,"UB,BR,WB,BG"
Brambleguard Captain,R,"BR,RG,UR,WR"
Brambleguard Veteran,G,"RG,WG,BG,UG"
Brave-Kin Duo,W,"WU,WG,WB,WR"
Brazen Collector,R,"BR,RG,UR,WR"
Brightblade Stoat,W,"WU,WG,WB,WR"
Builder's Talent,W,"WU,WG,WB,WR"
Bushy Bodyguard,G,"RG,WG,BG,UG"
Byway Barterer,R,"BR,RG,UR,WR"
Cache Grab,G,"RG,WG,BG,UG"
Calamitous Tide,U,"WU,UB,UG,UR"
Caretaker's Talent,W,"WU,WG,WB,WR"
Carrot Cake,W,"WU,WG,WB,WR"
Clifftop Lookout,G,"RG,WG,BG,UG"
Coiling Rebirth,B,"UB,BR,WB,BG"
Conduct Electricity,R,"BR,RG,UR,WR"
Consumed by Greed,B,"UB,BR,WB,BG"
Coruscation Mage,R,"BR,RG,UR,WR"
Cruelclaw's Heist,B,"UB,BR,WB,BG"
Crumb and Get It,W,"WU,WG,WB,WR"
Curious Forager,G,"RG,WG,BG,UG"
Daggerfang Duo,B,"UB,BR,WB,BG"
Daring Waverider,U,"WU,UB,UG,UR"
Darkstar Augur,B,"UB,BR,WB,BG"
Dawn's Truce,W,"WU,WG,WB,WR"
Dazzling Denial,U,"WU,UB,UG,UR"
Dewdrop Cure,W,"WU,WG,WB,WR"
Dire Downdraft,U,"WU,UB,UG,UR"
Diresight,B,"UB,BR,WB,BG"
Dour Port-Mage,U,"WU,UB,UG,UR"
Downwind Ambusher,B,"UB,BR,WB,BG"
"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR"
Driftgloom Coyote,W,"WU,WG,WB,WR"
Druid of the Spade,G,"RG,WG,BG,UG"
Early Winter,B,"UB,BR,WB,BG"
Eddymurk Crab,U,"WU,UB,UG,UR"
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR"
Emberheart Challenger,R,"BR,RG,UR,WR"
Essence Channeler,W,"WU,WG,WB,WR"
Feather of Flight,W,"WU,WG,WB,WR"
Fecund Greenshell,G,"RG,WG,BG,UG"
Feed the Cycle,B,"UB,BR,WB,BG"
Fell,B,"UB,BR,WB,BG"
Festival of Embers,R,"BR,RG,UR,WR"
Finch Formation,U,"WU,UB,UG,UR"
Flamecache Gecko,R,"BR,RG,UR,WR"
Flowerfoot Swordmaster,W,"WU,WG,WB,WR"
For the Common Good,G,"RG,WG,BG,UG"
Frilled Sparkshooter,R,"BR,RG,UR,WR"
Galewind Moose,G,"RG,WG,BG,UG"
Glidedive Duo,B,"UB,BR,WB,BG"
Gossip's Talent,U,"WU,UB,UG,UR"
Harnesser of Storms,R,"BR,RG,UR,WR"
Harvestrite Host,W,"WU,WG,WB,WR"
Hazardroot Herbalist,G,"RG,WG,BG,UG"
Hazel's Nocturne,B,"UB,BR,WB,BG"
Heaped Harvest,G,"RG,WG,BG,UG"
Heartfire Hero,R,"BR,RG,UR,WR"
Hearthborn Battler,R,"BR,RG,UR,WR"
High Stride,G,"RG,WG,BG,UG"
Hired Claw,R,"BR,RG,UR,WR"
Hivespine Wolverine,G,"RG,WG,BG,UG"
Hoarder's Overflow,R,"BR,RG,UR,WR"
Honored Dreyleader,G,"RG,WG,BG,UG"
Hop to It,W,"WU,WG,WB,WR"
Hunter's Talent,G,"RG,WG,BG,UG"
Huskburster Swarm,B,"UB,BR,WB,BG"
Innkeeper's Talent,G,"RG,WG,BG,UG"
Into the Flood Maw,U,"WU,UB,UG,UR"
Intrepid Rabbit,W,"WU,WG,WB,WR"
Iridescent Vinelasher,B,"UB,BR,WB,BG"
Jackdaw Savior,W,"WU,WG,WB,WR"
Jolly Gerbils,W,"WU,WG,WB,WR"
Keen-Eyed Curator,G,"RG,WG,BG,UG"
Kindlespark Duo,R,"BR,RG,UR,WR"
Kitnap,U,"WU,UB,UG,UR"
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR"
Knightfisher,U,"WU,UB,UG,UR"
Lifecreed Duo,W,"WU,WG,WB,WR"
Lightshell Duo,U,"WU,UB,UG,UR"
Long River Lurker,U,"WU,UB,UG,UR"
Long River's Pull,U,"WU,UB,UG,UR"
Longstalk Brawl,G,"RG,WG,BG,UG"
"Lumra, Bellow of the Woods",G,"RG,WG,BG,UG"
Mabel's Mettle,W,"WU,WG,WB,WR"
"Maha, Its Feathers Night",B,"UB,BR,WB,BG"
Manifold Mouse,R,"BR,RG,UR,WR"
Might of the Meek,R,"BR,RG,UR,WR"
Mind Spiral,U,"WU,UB,UG,UR"
Mindwhisker,U,"WU,UB,UG,UR"
Mistbreath Elder,G,"RG,WG,BG,UG"
Mockingbird,U,"WU,UB,UG,UR"
Moonstone Harbinger,B,"UB,BR,WB,BG"
Mouse Trapper,W,"WU,WG,WB,WR"
Nettle Guard,W,"WU,WG,WB,WR"
Nightwhorl Hermit,U,"WU,UB,UG,UR"
Nocturnal Hunger,B,"UB,BR,WB,BG"
Osteomancer Adept,B,"UB,BR,WB,BG"
Otterball Antics,U,"WU,UB,UG,UR"
Overprotect,G,"RG,WG,BG,UG"
Parting Gust,W,"WU,WG,WB,WR"
Pawpatch Formation,G,"RG,WG,BG,UG"
Pawpatch Recruit,G,"RG,WG,BG,UG"
Pearl of Wisdom,U,"WU,UB,UG,UR"
Peerless Recycling,G,"RG,WG,BG,UG"
Persistent Marshstalker,B,"UB,BR,WB,BG"
Pileated Provisioner,W,"WU,WG,WB,WR"
Playful Shove,R,"BR,RG,UR,WR"
Plumecreed Escort,U,"WU,UB,UG,UR"
Polliwallop,G,"RG,WG,BG,UG"
Portent of Calamity,U,"WU,UB,UG,UR"
Psychic Whorl,B,"UB,BR,WB,BG"
Quaketusk Boar,R,"BR,RG,UR,WR"
Rabbit Response,W,"WU,WG,WB,WR"
Rabid Gnaw,R,"BR,RG,UR,WR"
Raccoon Rallier,R,"BR,RG,UR,WR"
Ravine Raider,B,"UB,BR,WB,BG"
Repel Calamity,W,"WU,WG,WB,WR"
Reptilian Recruiter,R,"BR,RG,UR,WR"
Rottenmouth Viper,B,"UB,BR,WB,BG"
Roughshod Duo,R,"BR,RG,UR,WR"
Run Away Together,U,"WU,UB,UG,UR"
Rust-Shield Rampager,G,"RG,WG,BG,UG"
Ruthless Negotiation,B,"UB,BR,WB,BG"
Salvation Swan,W,"WU,WG,WB,WR"
Savor,B,"UB,BR,WB,BG"
Sazacap's Brew,R,"BR,RG,UR,WR"
Scales of Shale,B,"UB,BR,WB,BG"
Scavenger's Talent,B,"UB,BR,WB,BG"
Scrapshooter,G,"RG,WG,BG,UG"
Seasoned Warrenguard,W,"WU,WG,WB,WR"
Season of Gathering,G,"RG,WG,BG,UG"
Season of Loss,B,"UB,BR,WB,BG"
Season of the Bold,R,"BR,RG,UR,WR"
Season of the Burrow,W,"WU,WG,WB,WR"
Season of Weaving,U,"WU,UB,UG,UR"
Shoreline Looter,U,"WU,UB,UG,UR"
Shore Up,U,"WU,UB,UG,UR"
Shrike Force,W,"WU,WG,WB,WR"
Sinister Monolith,B,"UB,BR,WB,BG"
Skyskipper Duo,U,"WU,UB,UG,UR"
Sonar Strike,W,"WU,WG,WB,WR"
Spellgyre,U,"WU,UB,UG,UR"
Splash Lasher,U,"WU,UB,UG,UR"
Splash Portal,U,"WU,UB,UG,UR"
Star Charter,W,"WU,WG,WB,WR"
Starfall Invocation,W,"WU,WG,WB,WR"
Stargaze,B,"UB,BR,WB,BG"
Starlit Soothsayer,B,"UB,BR,WB,BG"
Starscape Cleric,B,"UB,BR,WB,BG"
Steampath Charger,R,"BR,RG,UR,WR"
Stickytongue Sentinel,G,"RG,WG,BG,UG"
Stocking the Pantry,G,"RG,WG,BG,UG"
Stormchaser's Talent,U,"WU,UB,UG,UR"
Stormsplitter,R,"BR,RG,UR,WR"
Sugar Coat,U,"WU,UB,UG,UR"
Sunshower Druid,G,"RG,WG,BG,UG"
Sunspine Lynx,R,"BR,RG,UR,WR"
Take Out the Trash,R,"BR,RG,UR,WR"
Teapot Slinger,R,"BR,RG,UR,WR"
Tender Wildguide,G,"RG,WG,BG,UG"
Thistledown Players,W,"WU,WG,WB,WR"
Thornplate Intimidator,B,"UB,BR,WB,BG"
Thornvault Forager,G,"RG,WG,BG,UG"
Thought Shucker,U,"WU,UB,UG,UR"
Thought-Stalker Warlock,B,"UB,BR,WB,BG"
Three Tree Rootweaver,G,"RG,WG,BG,UG"
Three Tree Scribe,G,"RG,WG,BG,UG"
Thundertrap Trainer,U,"WU,UB,UG,UR"
Treeguard Duo,G,"RG,WG,BG,UG"
Treetop Sentries,G,"RG,WG,BG,UG"
Valley Flamecaller,R,"BR,RG,UR,WR"
Valley Floodcaller,U,"WU,UB,UG,UR"
Valley Mightcaller,G,"RG,WG,BG,UG"
Valley Questcaller,W,"WU,WG,WB,WR"
Valley Rally,R,"BR,RG,UR,WR"
Valley Rotcaller,B,"UB,BR,WB,BG"
Warren Elder,W,"WU,WG,WB,WR"
Warren Warleader,W,"WU,WG,WB,WR"
War Squeak,R,"BR,RG,UR,WR"
Waterspout Warden,U,"WU,UB,UG,UR"
Wax-Wane Witness,W,"WU,WG,WB,WR"
Wear Down,G,"RG,WG,BG,UG"
Whiskerquill Scribe,R,"BR,RG,UR,WR"
Whiskervale Forerunner,W,"WU,WG,WB,WR"
Wick's Patrol,B,"UB,BR,WB,BG"
"Wick, the Whorled Mind",B,"UB,BR,WB,BG"
Wildfire Howl,R,"BR,RG,UR,WR"
Wishing Well,U,"WU,UB,UG,UR"
