name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Agate Assault,R,"BR,RG,UR,WR",0.5382392246764959,0.5296324081020255,0.5416877972559931
Agate-Blade Assassin,B,"UB,BR,WB,BG",0.5466231594593339,0.5608862021286858,0.5489388337360622
Alania's Pathmaker,R,"BR,RG,UR,WR",0.5387471131224324,0.5281900412751384,0.5374392161164125
Artist's Talent,R,"BR,RG,UR,WR",0.4662267754818545,0.43316582914572865,0.45569620253164556
Azure Beastbinder,U,"WU,UB,UG,UR",0.5471063257065949,0.6005427020851185,0.5923965080259082
Bakersbane Duo,G,"RG,WG,BG,UG",0.5575088172542417,0.5797278212864296,0.5743144842508218
Bandit's Talent,B,"UB,BR,WB,BG",0.5252217420968842,0.4918954248366013,0.5244933347783678
Banishing Light,W,"WU,WG,WB,WR",0.5517368257190106,0.540363196125908,0.5571160666965632
Bark-Knuckle Boxer,G,"RG,WG,BG,UG",0.5535301456827273,0.5746355243908591,0.5631173800836522
Bellowing Crier,U,"WU,UB,UG,UR",0.5233356048240123,0.5203237803544082,0.5317576248218089
"Beza, the Bounding Spring",W,"WU,WG,WB,WR",0.5704310025897151,0.6165913320925286,0.6243249324932493
Blacksmith's Talent,R,"BR,RG,UR,WR",0.5454545454545454,0.5588879655511068,0.5475637258251896
Blooming Blast,R,"BR,RG,UR,WR",0.5369905956112853,0.520948489946327,0.541043627031651
Bonebind Orator,B,"UB,BR,WB,BG",0.5521863765595996,0.5487193146002575,0.5525235358145397
Bonecache Overseer,B,"UB,BR,WB,BG",0.5522092914501022,0.5756601607347877,0.5653185917951702
Brambleguard Captain,R,"BR,RG,UR,WR",0.5395908510901033,0.5341750841750842,0.5400595601162499
Brambleguard Veteran,G,"RG,WG,BG,UG",0.5485641138636197,0.5656651320571844,0.560029637957025
Brave-Kin Duo,W,"WU,WG,WB,WR",0.5374786619692732,0.5397189561227416,0.5200839214190349
Brazen Collector,R,"BR,RG,UR,WR",0.5472797298609388,0.5816145092460882,0.5485927580851702
Brightblade Stoat,W,"WU,WG,WB,WR",0.5583676727178231,0.5995391243362389,0.5783627198284711
Builder's Talent,W,"WU,WG,WB,WR",0.5490868024455781,0.5605017761989343,0.5694868238557559
Bushy Bodyguard,G,"RG,WG,BG,UG",0.5515773571492046,0.5379035183170112,0.5605256343863283
Byway Barterer,R,"BR,RG,UR,WR",0.5490610268167649,0.5664407778432528,0.567098179953858
Cache Grab,G,"RG,WG,BG,UG",0.55806795534944,0.5640537798072045,0.577996920530096
Calamitous Tide,U,"WU,UB,UG,UR",0.5300334423442898,0.5164563226924028,0.5566858011143002
Caretaker's Talent,W,"WU,WG,WB,WR",0.5579687597236915,0.5674941112520384,0.5830002262614074
Carrot Cake,W,"WU,WG,WB,WR",0.5666328600405679,0.5740364733714584,0.5839514777385042
Clifftop Lookout,G,"RG,WG,BG,UG",0.5324573286372257,0.5317147192716237,0.5331477891050097
Coiling Rebirth,B,"UB,BR,WB,BG",0.5286169855656261,0.5004245683555052,0.5357447716602646
Conduct Electricity,R,"BR,RG,UR,WR",0.5150809845682949,0.5051601234173848,0.5244396658671739
Consumed by Greed,B,"UB,BR,WB,BG",0.5627193054036852,0.5584691358024692,0.5875770224607434
Coruscation Mage,R,"BR,RG,UR,WR",0.5294480187601467,0.5365360303413401,0.5389834158948955
Cruelclaw's Heist,B,"UB,BR,WB,BG",0.519197827449342,0.5067365269461078,0.5296558704453441
Crumb and Get It,W,"WU,WG,WB,WR",0.5518522594704056,0.5520200315102408,0.5568094740508533
Curious Forager,G,"RG,WG,BG,UG",0.5514855966726734,0.5207547169811321,0.5558376682354884
Daggerfang Duo,B,"UB,BR,WB,BG",0.5455566498334137,0.539750575130161,0.5561191819746268
Daring Waverider,U,"WU,UB,UG,UR",0.5398642987399169,0.5203118137900746,0.5719986697705354
Darkstar Augur,B,"UB,BR,WB,BG",0.5668039521136979,0.6003603603603603,0.6006415805285401
Dawn's Truce,W,"WU,WG,WB,WR",0.5031624276678778,0.4807511737089202,0.4881343556042351
Dazzling Denial,U,"WU,UB,UG,UR",0.5281162544108189,0.5441648954574663,0.5508026624902115
Dewdrop Cure,W,"WU,WG,WB,WR",0.5276434558349452,0.48537196990805237,0.5036740146960588
Dire Downdraft,U,"WU,UB,UG,UR",0.5397879286222724,0.5351067473455874,0.5627021883920076
Diresight,B,"UB,BR,WB,BG",0.5360388235677296,0.5229888712241654,0.5437737756377856
Dour Port-Mage,U,"WU,UB,UG,UR",0.5424873108774316,0.5754879830035852,0.5797101449275363
Downwind Ambusher,B,"UB,BR,WB,BG",0.5689168134892322,0.5809561196894356,0.5960801702731465
"Dragonhawk, Fate's Tempest",R,"BR,RG,UR,WR",0.5650932716444357,0.596875,0.6233625766133878
Driftgloom Coyote,W,"WU,WG,WB,WR",0.5552676772188967,0.5552240700774407,0.5717904549599757
Druid of the Spade,G,"RG,WG,BG,UG",0.5459874330535993,0.536694187307147,0.5408583812975201
Early Winter,B,"UB,BR,WB,BG",0.5273648285721368,0.5058974908856959,0.5352497721812609
Eddymurk Crab,U,"WU,UB,UG,UR",0.5287130905122649,0.5071938722699514,0.5588741094303864
"Eluge, the Shoreless Sea",U,"WU,UB,UG,UR",0.5077486615948155,0.5398373983739837,0.5414398064125832
Emberheart Challenger,R,"BR,RG,UR,WR",0.5540437402952865,0.5915492957746479,0.5789783119937287
Essence Channeler,W,"WU,WG,WB,WR",0.5457361077700265,0.5814977973568282,0.5722944355192054
Feather of Flight,W,"WU,WG,WB,WR",0.5582783537543198,0.5571992874293238,0.5699899621150795
Fecund Greenshell,G,"RG,WG,BG,UG",0.5752876978767086,0.6194948186528497,0.6428392379679144
Feed the Cycle,B,"UB,BR,WB,BG",0.5584516000299304,0.5618435260626289,0.5844635021938572
Fell,B,"UB,BR,WB,BG",0.5623655730429142,0.5773490180636905,0.5961761888261552
Festival of Embers,R,"BR,RG,UR,WR",0.4777526395173454,0.43734643734643736,0.4770063119927863
Finch Formation,U,"WU,UB,UG,UR",0.5059060218560912,0.4754488823744962,0.5115350953964642
Flamecache Gecko,R,"BR,RG,UR,WR",0.5583861517382732,0.5701363150951693,0.5645589873996399
Flowerfoot Swordmaster,W,"WU,WG,WB,WR",0.5462602314422805,0.5513774540848638,0.5424759027478061
For the Common Good,G,"RG,WG,BG,UG",0.485340550293189,0.46607669616519176,0.4548088064889919
Frilled Sparkshooter,R,"BR,RG,UR,WR",0.5337942695666273,0.5168678202704667,0.5216010747107135
Galewind Moose,G,"RG,WG,BG,UG",0.5529569406310113,0.5492701705608726,0.5756267940662826
Glidedive Duo,B,"UB,BR,WB,BG",0.5559089528566126,0.5390434358223524,0.5664851553460922
Gossip's Talent,U,"WU,UB,UG,UR",0.4974072740367303,0.43507447031676105,0.4847019657577679
Harnesser of Storms,R,"BR,RG,UR,WR",0.5042815785463964,0.4891343070894193,0.4976929083552211
Harvestrite Host,W,"WU,WG,WB,WR",0.5707095042246735,0.6004460966542751,0.5886539982472265
Hazardroot Herbalist,G,"RG,WG,BG,UG",0.5305059970765503,0.5113786875376279,0.5169865544493483
Hazel's Nocturne,B,"UB,BR,WB,BG",0.5495485132570311,0.5275710162539875,0.5644014621650404
Heaped Harvest,G,"RG,WG,BG,UG",0.5227272727272727,0.5227844123192961,0.5274231370505471
Heartfire Hero,R,"BR,RG,UR,WR",0.553189359625635,0.6067648889811165,0.5648714616286811
Hearthborn Battler,R,"BR,RG,UR,WR",0.5352747768905589,0.5192479856759177,0.5335835483618735
High Stride,G,"RG,WG,BG,UG",0.5388278345316146,0.5389157273215244,0.5445932898865556
Hired Claw,R,"BR,RG,UR,WR",0.566935064935065,0.6631919988730807,0.6012027935851009
Hivespine Wolverine,G,"RG,WG,BG,UG",0.555119938557165,0.5550443081117927,0.5738317757009346
Hoarder's Overflow,R,"BR,RG,UR,WR",0.4924707194645845,0.4279546681057744,0.4500354358610914
Honored Dreyleader,G,"RG,WG,BG,UG",0.5446025731996305,0.5360050093926112,0.5547925516624612
Hop to It,W,"WU,WG,WB,WR",0.5678451894450711,0.5817406412888959,0.5894552896001471
Hunter's Talent,G,"RG,WG,BG,UG",0.5714547466191218,0.5953459889773424,0.6151490947816827
Huskburster Swarm,B,"UB,BR,WB,BG",0.5314915163898019,0.5075810127836686,0.5398112651135358
Innkeeper's Talent,G,"RG,WG,BG,UG",0.5709973208558168,0.6561363400187051,0.6290011400508638
Into the Flood Maw,U,"WU,UB,UG,UR",0.5306478486719592,0.526879134095009,0.5567781498717
Intrepid Rabbit,W,"WU,WG,WB,WR",0.5639200862244022,0.5690278081891833,0.5786570272287925
Iridescent Vinelasher,B,"UB,BR,WB,BG",0.5544773492885514,0.5827338129496403,0.5836181640625
Jackdaw Savior,W,"WU,WG,WB,WR",0.5499200079992,0.5515531573574449,0.5662569559102305
Jolly Gerbils,W,"WU,WG,WB,WR",0.5487830609028063,0.559726726933959,0.5490470852017937
Keen-Eyed Curator,G,"RG,WG,BG,UG",0.556304732146528,0.5793688177107866,0.5889214250854076
Kindlespark Duo,R,"BR,RG,UR,WR",0.5054272295969713,0.4886058032554848,0.4933192376589434
Kitnap,U,"WU,UB,UG,UR",0.5391628885604789,0.5386590154032015,0.5707034874201823
"Kitsa, Otterball Elite",U,"WU,UB,UG,UR",0.5425701624815362,0.5933121019108281,0.5804803270311701
Knightfisher,U,"WU,UB,UG,UR",0.5195698017714044,0.5236867110085517,0.5466194243556763
Lifecreed Duo,W,"WU,WG,WB,WR",0.546339340678002,0.5581731762760901,0.5543512574976324
Lightshell Duo,U,"WU,UB,UG,UR",0.5276964849816695,0.5310763664556144,0.5517666775289791
Long River Lurker,U,"WU,UB,UG,UR",0.542328773432822,0.5344620717237701,0.5678097234701008
Long River's Pull,U,"WU,UB,UG,UR",0.5138194186412096,0.5140832901330569,0.5408299866131191
Longstalk Brawl,G,"RG,WG,BG,UG",0.5484581967621065,0.5438178973579251,0.5584674461750874
"Lumra, Bellow of the Woods",G,"RG,WG,BG,UG",0.5521055778594004,0.5700495695277851,0.5950827897641746
Mabel's Mettle,W,"WU,WG,WB,WR",0.5383572207301832,0.5224632729757431,0.5320653326734074
"Maha, Its Feathers Night",B,"UB,BR,WB,BG",0.5779923909862452,0.6132515337423313,0.633339874411303
Manifold Mouse,R,"BR,RG,UR,WR",0.5713561131873999,0.6368796390627274,0.6301641949152542
Might of the Meek,R,"BR,RG,UR,WR",0.5330810178193899,0.5219618464437117,0.5246146317592366
Mind Spiral,U,"WU,UB,UG,UR",0.5223518249804666,0.5005353319057816,0.5393524443306885
Mindwhisker,U,"WU,UB,UG,UR",0.5435385919483505,0.5398967844382692,0.5697769821734915
Mistbreath Elder,G,"RG,WG,BG,UG",0.5490079952620669,0.5933250927070457,0.5802434821279671
Mockingbird,U,"WU,UB,UG,UR",0.5353465070971333,0.5296900489396411,0.5645427332152239
Moonstone Harbinger,B,"UB,BR,WB,BG",0.5471046946625218,0.552933141079153,0.5626422230056729
Mouse Trapper,W,"WU,WG,WB,WR",0.5338361483517361,0.5187175860443187,0.5170215425642735
Nettle Guard,W,"WU,WG,WB,WR",0.5501450153275694,0.5598392953720157,0.5443893908481492
Nightwhorl Hermit,U,"WU,UB,UG,UR",0.49166834982831753,0.4582962303354111,0.501076365284387
Nocturnal Hunger,B,"UB,BR,WB,BG",0.5529842710789354,0.5459984127953117,0.5701634422948633
Osteomancer Adept,B,"UB,BR,WB,BG",0.5636936245810958,0.5868949098741639,0.59048762911362
Otterball Antics,U,"WU,UB,UG,UR",0.5136991567778147,0.5022311789261552,0.5312304631997726
Overprotect,G,"RG,WG,BG,UG",0.557130125492778,0.5585036753599839,0.5816546407037659
Parting Gust,W,"WU,WG,WB,WR",0.533642858169587,0.5192721405521692,0.5350250046304871
Pawpatch Formation,G,"RG,WG,BG,UG",0.5437600765490032,0.5373364126250962,0.5553746947974707
Pawpatch Recruit,G,"RG,WG,BG,UG",0.5592846147614032,0.6024069780280447,0.597896940571918
Pearl of Wisdom,U,"WU,UB,UG,UR",0.5259663915444451,0.5314222712238148,0.5547741058355993
Peerless Recycling,G,"RG,WG,BG,UG",0.5201447130406183,0.47982914095870904,0.5124888226527571
Persistent Marshstalker,B,"UB,BR,WB,BG",0.5466814023454288,0.5513717421124829,0.5573900293255132
Pileated Provisioner,W,"WU,WG,WB,WR",0.5339791372031942,0.5237525511999437,0.5366837245522305
Playful Shove,R,"BR,RG,UR,WR",0.5352165786798702,0.5293389216993714,0.5369936120320207
Plumecreed Escort,U,"WU,UB,UG,UR",0.5354508643334824,0.537403883748208,0.5591501445159982
Polliwallop,G,"RG,WG,BG,UG",0.5496317768724538,0.5388285656953022,0.5657682973559841
Portent of Calamity,U,"WU,UB,UG,UR",0.511801730920535,0.4877250409165303,0.5258493353028065
Psychic Whorl,B,"UB,BR,WB,BG",0.5121959162405966,0.5046673286991062,0.5269781343400975
Quaketusk Boar,R,"BR,RG,UR,WR",0.5446656999021445,0.5480354303883715,0.5587419056429233
Rabbit Response,W,"WU,WG,WB,WR",0.5505924812855506,0.5268077191350848,0.5465294302104661
Rabid Gnaw,R,"BR,RG,UR,WR",0.5576821807110098,0.5781916733940722,0.5848516015280635
Raccoon Rallier,R,"BR,RG,UR,WR",0.5353668779657853,0.5329075821672633,0.5146449759337338
Ravine Raider,B,"UB,BR,WB,BG",0.5536782462517813,0.5772489290813898,0.5542895734390658
Repel Calamity,W,"WU,WG,WB,WR",0.5534025430940167,0.5605294467578822,0.569741857510304
Reptilian Recruiter,R,"BR,RG,UR,WR",0.5364388178169966,0.5169324221716022,0.5322395108070472
Rottenmouth Viper,B,"UB,BR,WB,BG",0.5528455284552846,0.5654791771199197,0.5897082018927445
Roughshod Duo,R,"BR,RG,UR,WR",0.5414162248345502,0.5352143968007109,0.5313269716988827
Run Away Together,U,"WU,UB,UG,UR",0.5223087818696884,0.49228181872785154,0.5332087468316363
Rust-Shield Rampager,G,"RG,WG,BG,UG",0.5403864132128389,0.5274502937628887,0.5444757794362818
Ruthless Negotiation,B,"UB,BR,WB,BG",0.5625345158041777,0.5789023927079378,0.5776317333646286
Salvation Swan,W,"WU,WG,WB,WR",0.5494703628577868,0.5447053976102184,0.5697064404509432
Savor,B,"UB,BR,WB,BG",0.5645166177789629,0.5810629052283074,0.5916716748607963
Sazacap's Brew,R,"BR,RG,UR,WR",0.5208157405843608,0.49953543373595743,0.5025688930406352
Scales of Shale,B,"UB,BR,WB,BG",0.559299559521506,0.5589192708333334,0.5770912826533607
Scavenger's Talent,B,"UB,BR,WB,BG",0.5436877913569359,0.5314774381368268,0.5651169721353002
Scrapshooter,G,"RG,WG,BG,UG",0.5524830942843606,0.573865743602423,0.5744325091203891
Seasoned Warrenguard,W,"WU,WG,WB,WR",0.5628555620185283,0.601757072620295,0.5697640441230185
Season of Gathering,G,"RG,WG,BG,UG",0.5550830295666261,0.5666833166833167,0.6075838599902771
Season of Loss,B,"UB,BR,WB,BG",0.5804817211006313,0.6234413965087282,0.6570845697329377
Season of the Bold,R,"BR,RG,UR,WR",0.5328529315427448,0.5220352564102564,0.5384995877988459
Season of the Burrow,W,"WU,WG,WB,WR",0.5682377609627131,0.6020770702377699,0.6169776968593537
Season of Weaving,U,"WU,UB,UG,UR",0.5537174184861018,0.566340160284951,0.6071049840933191
Shoreline Looter,U,"WU,UB,UG,UR",0.5579889782597064,0.6183584170793864,0.6019767597168425
