name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
"Altanak, the Thrice-Called",G,"RG,WG,BG,UG",0.5462755891966282,0.523361902128836,0.5500547645125958
Anthropede,G,"RG,WG,BG,UG",0.5173594521420608,0.47397397397397395,0.5059760956175299
Appendage Amalgam,B,"UB,BR,WB,BG",0.5254689488158273,0.515606385513462,0.5264819718883683
Balemurk Leech,B,"UB,BR,WB,BG",0.4927939568631349,0.4821016166281755,0.48767258382643
Balustrade Wurm,G,"RG,WG,BG,UG",0.5606223700949212,0.5666860803727432,0.5913226032190343
Bashful Beastie,G,"RG,WG,BG,UG",0.5438387212215198,0.5404715422736146,0.55718303257558
Break Down the Door,G,"RG,WG,BG,UG",0.5471167369901547,0.5434669442998439,0.5630866623008077
Cackling Slasher,B,"UB,BR,WB,BG",0.4922097871406627,0.45491803278688525,0.4809989142236699
Cathartic Parting,G,"RG,WG,BG,UG",0.5328138644454894,0.5124398073836276,0.5384362680683311
Cautious Survivor,G,"RG,WG,BG,UG",0.5200969946359028,0.5034262220191869,0.5170506912442396
Come Back Wrong,B,"UB,BR,WB,BG",0.5485205876267328,0.5565217391304348,0.5826713008937437
Commune with Evil,B,"UB,BR,WB,BG",0.54294415195623,0.5499250374812593,0.5676149893470359
Coordinated Clobbering,G,"RG,WG,BG,UG",0.5414279553994948,0.5541937954806587,0.5616229408175717
Cracked Skull,B,"UB,BR,WB,BG",0.5186483454851374,0.5074496056091148,0.5275482093663911
Cryptid Inspector,G,"RG,WG,BG,UG",0.5156620163200842,0.5001590836780146,0.5085342019543974
Cynical Loner,B,"UB,BR,WB,BG",0.5335327712809356,0.5515981735159817,0.5380602006688964
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.49625668449197863,0.5116279069767442,0.49513274336283186
Defiant Survivor,G,"RG,WG,BG,UG",0.544977055343617,0.5561160151324086,0.5460614152202937
Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.5362565630764865,0.5145142180094787,0.5473511486169714
Demonic Counsel,B,"UB,BR,WB,BG",0.5231404958677686,0.45180722891566266,0.5183585313174947
Derelict Attic // Widow's Walk,B,"UB,BR,WB,BG",0.5262281432139884,0.5018670649738611,0.5248082642041008
Doomsday Excruciator,B,"UB,BR,WB,BG",0.4727120067170445,0.38823529411764707,0.42953020134228187
Enduring Tenacity,B,"UB,BR,WB,BG",0.5170157068062827,0.4774193548387097,0.5130249867091973
Enduring Vitality,G,"RG,WG,BG,UG",0.5423235508125152,0.5868512110726644,0.5708067324434126
Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5346094020048393,0.5287656903765691,0.5419161676646707
Fear of Exposure,G,"RG,WG,BG,UG",0.5340652446675032,0.5060617911615174,0.525065963060686
Fear of Lost Teeth,B,"UB,BR,WB,BG",0.528118140091798,0.5386000450146298,0.532581578684762
Fear of the Dark,B,"UB,BR,WB,BG",0.5155572558020913,0.5012458471760798,0.5179536066094693
Final Vengeance,B,"UB,BR,WB,BG",0.5396812311074471,0.5375586854460094,0.5653691275167785
Flesh Burrower,G,"RG,WG,BG,UG",0.5343703534255976,0.5300426411681096,0.5382372729311505
Frantic Strength,G,"RG,WG,BG,UG",0.5076310550763106,0.49503858875413453,0.52
Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.5398451730418944,0.5242047026279392,0.5720524017467249
Give In to Violence,B,"UB,BR,WB,BG",0.5174854288093256,0.5065160729800173,0.5245726495726496
Grasping Longneck,G,"RG,WG,BG,UG",0.5380262714718761,0.5289354137862927,0.5406734455742623
Greenhouse // Rickety Gazebo,G,"RG,WG,BG,UG",0.49111501659832063,0.4884004884004884,0.5012260912211869
Grievous Wound,B,"UB,BR,WB,BG",0.45087719298245615,0.4787234042553192,0.4474885844748858
Hauntwoods Shrieker,G,"RG,WG,BG,UG",0.5631460674157304,0.5895522388059702,0.5883272537780094
Hedge Shredder,G,"RG,WG,BG,UG",0.5310773480662984,0.5478384124734231,0.5385694249649369
Horrid Vigor,G,"RG,WG,BG,UG",0.5266609880749574,0.5062807209175314,0.5304958315050461
House Cartographer,G,"RG,WG,BG,UG",0.5402217504128333,0.5678606638186001,0.5516124282138124
Innocuous Rat,B,"UB,BR,WB,BG",0.538397026157124,0.5393446852425181,0.5453931065555305
Insidious Fungus,G,"RG,WG,BG,UG",0.5487692565304756,0.5625768379641013,0.5639252915075843
Killer's Mask,B,"UB,BR,WB,BG",0.5222597482345717,0.5097919216646267,0.5220417633410673
"Kona, Rescue Beastie",G,"RG,WG,BG,UG",0.5105179423722821,0.5068493150684932,0.5133129637712789
Let's Play a Game,B,"UB,BR,WB,BG",0.5452747112500798,0.561014263074485,0.583610188261351
Leyline of Mutation,G,"RG,WG,BG,UG",0.3333333333333333,NaN,0.0
Leyline of the Void,B,"UB,BR,WB,BG",0.45535714285714285,NaN,0.4444444444444444
Live or Die,B,"UB,BR,WB,BG",0.5422816265060241,0.5406294034758102,0.5693193425573405
Manifest Dread,G,"RG,WG,BG,UG",0.5470889595672958,0.5556911471045041,0.5593449659419614
Meathook Massacre II,B,"UB,BR,WB,BG",0.507563566140972,0.4716599190283401,0.5140625
Miasma Demon,B,"UB,BR,WB,BG",0.5421142510879744,0.5497713682729511,0.5606081548030408
Moldering Gym // Weight Room,G,"RG,WG,BG,UG",0.5388045901995976,0.5366234577541777,0.5509938090583252
Monstrous Emergence,G,"RG,WG,BG,UG",0.5502536730729334,0.5495160927301372,0.5686889175732989
Murder,B,"UB,BR,WB,BG",0.5413839156800462,0.5367871136264694,0.5652670916684985
Nowhere to Run,B,"UB,BR,WB,BG",0.5451074549319058,0.5610729328308579,0.5744483589838679
Omnivorous Flytrap,G,"RG,WG,BG,UG",0.5516458569807038,0.5582551076753175,0.5897210630353613
Osseous Sticktwister,B,"UB,BR,WB,BG",0.558899860741866,0.5776243582935032,0.5796373988612527
Overgrown Zealot,G,"RG,WG,BG,UG",0.5360849861117879,0.5703338806787083,0.5436507936507936
Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5731534090909091,0.6365482233502539,0.6218697829716193
Overlord of the Hauntwoods,G,"RG,WG,BG,UG",0.5438095238095239,0.5879888268156425,0.5732122587968218
Patchwork Beastie,G,"RG,WG,BG,UG",0.55955495319444,0.6084646715069949,0.5826180257510729
Popular Egotist,B,"UB,BR,WB,BG",0.5250109217999126,0.4932649134060295,0.5221861471861472
Resurrected Cultist,B,"UB,BR,WB,BG",0.5301518283555492,0.5043130654323585,0.5272988505747126
Rootwise Survivor,G,"RG,WG,BG,UG",0.5349591896941686,0.5353227771010962,0.5500857212833701
Say Its Name,G,"RG,WG,BG,UG",0.5533533252116328,0.5532776066871975,0.5667730429885489
Slavering Branchsnapper,G,"RG,WG,BG,UG",0.5453277545327755,0.52311939268461,0.5463845209563337
Spectral Snatcher,B,"UB,BR,WB,BG",0.5316117792514331,0.5085301837270341,0.5298031605212088
Spineseeker Centipede,G,"RG,WG,BG,UG",0.5578727677870885,0.5626301179736294,0.5753736920777279
Sporogenic Infection,B,"UB,BR,WB,BG",0.543563387175722,0.5508159175493845,0.5594372242756647
Threats Around Every Corner,G,"RG,WG,BG,UG",0.5522798552472858,0.5734926368435677,0.5806375996249414
Twitching Doll,G,"RG,WG,BG,UG",0.548842404549147,0.6114285714285714,0.5769885672585745
"Tyvar, the Pummeler",G,"RG,WG,BG,UG",0.5704329461457234,0.6353522867737948,0.6410510659395141
Under the Skin,G,"RG,WG,BG,UG",0.5619047619047619,0.5633001422475107,0.5995704964070373
Unholy Annex // Ritual Chamber,B,"UB,BR,WB,BG",0.5793463611859838,0.6460807600950119,0.6554996127033308
Unstoppable Slasher,B,"UB,BR,WB,BG",0.5690204543118512,0.6528089887640449,0.6316037735849057
Valgavoth's Faithful,B,"UB,BR,WB,BG",0.5425042504250425,0.5274629468177855,0.5504810619900133
Valgavoth's Onslaught,G,"RG,WG,BG,UG",0.5900439238653001,0.6564748201438849,0.6817733990147783
"Valgavoth, Terror Eater",B,"UB,BR,WB,BG",0.5371263259402121,0.5213946117274167,0.5470446320868516
Vile Mutilator,B,"UB,BR,WB,BG",0.5452574275696623,0.5383217206906998,0.5642359059212859
Walk-In Closet // Forgotten Cellar,G,"RG,WG,BG,UG",0.5179153094462541,0.46766169154228854,0.5343511450381679
Wary Watchdog,G,"RG,WG,BG,UG",0.5480703551912568,0.5646219135802469,0.5569964442585233
Wickerfolk Thresher,G,"RG,WG,BG,UG",0.5442198110998361,0.5434015525758645,0.554500141070253
Winter's Intervention,B,"UB,BR,WB,BG",0.5482859579961731,0.5570076010134685,0.5601306821382301
Withering Torment,B,"UB,BR,WB,BG",0.5403600810778586,0.5307159353348729,0.5599115979629096
