name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Appendage Amalgam,B,"UB,BR,WB,BG",0.5224688684353005,0.5125291375291375,0.5213839500240269
Balemurk Leech,B,"UB,BR,WB,BG",0.5270100794277486,0.5204219637543954,0.5253384047432599
Bedhead Beastie,R,"BR,RG,UR,WR",0.5197606283505797,0.4934593023255814,0.5147902869757175
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5617274713434891,0.557101554029635,0.5895516965777811
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.5451517648674633,0.5345405767940979,0.5520523497917906
Cackling Slasher,B,"UB,BR,WB,BG",0.4836879432624113,0.47086247086247085,0.4686660698299015
Chainsaw,R,"BR,RG,UR,WR",0.5628264792477918,0.6300639658848614,0.6158129175946548
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.5251684502576298,0.5201900237529691,0.520109689213894
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5653858453666577,0.5891793066088841,0.5823387635392165
Come Back Wrong,B,"UB,BR,WB,BG",0.5559667900370111,0.5385074626865671,0.5808325266214908
Commune with Evil,B,"UB,BR,WB,BG",0.541739434159972,0.528178243774574,0.5562859490550535
Cracked Skull,B,"UB,BR,WB,BG",0.5392519523222359,0.5240912933220625,0.5373800860072775
Cursed Recording,R,"BR,RG,UR,WR",0.5202275600505689,0.5079051383399209,0.5102189781021897
Cynical Loner,B,"UB,BR,WB,BG",0.5412838417248561,0.5671491080444295,0.5596117630015935
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.5186054701256015,0.5217065868263473,0.5268446741314958
Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.5438273670123788,0.5290257445734478,0.5540976988292289
Demonic Counsel,B,"UB,BR,WB,BG",0.488272921108742,0.41333333333333333,0.4945652173913043
Derelict Attic // Widow's Walk,B,"UB,BR,WB,BG",0.5345250613389415,0.5264672036823935,0.5475460122699386
Diversion Specialist,R,"BR,RG,UR,WR",0.5479333333333334,0.5311913206759858,0.5503437120905782
Doomsday Excruciator,B,"UB,BR,WB,BG",0.474835886214442,0.5151515151515151,0.463855421686747
Enduring Courage,R,"BR,RG,UR,WR",0.5521144809910294,0.554140127388535,0.5698952210580117
Enduring Tenacity,B,"UB,BR,WB,BG",0.5234153263954588,0.49719887955182074,0.5274166195590729
Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5343303874915024,0.5317655317655318,0.5375472717450027
Fear of Being Hunted,R,"BR,RG,UR,WR",0.55168683388092,0.5619777158774373,0.5663906478324403
Fear of Burning Alive,R,"BR,RG,UR,WR",0.5579203405290362,0.5511435033928123,0.586684121937535
Fear of Lost Teeth,B,"UB,BR,WB,BG",0.5534334904425242,0.5673211128687076,0.5641135972461274
Fear of Missing Out,R,"BR,RG,UR,WR",0.5632130166448476,0.5985221674876847,0.5969598262757871
Fear of the Dark,B,"UB,BR,WB,BG",0.505374401589739,0.5020820939916716,0.5197368421052632
Final Vengeance,B,"UB,BR,WB,BG",0.5646647563107142,0.5662572721396251,0.5920342292671721
Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.5439952437574316,0.5196078431372549,0.5708274894810659
Give In to Violence,B,"UB,BR,WB,BG",0.5084440072142974,0.48494288681204567,0.5027437737441959
Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.559664073988767,0.5723263960436843,0.5929937383652056
Grab the Prize,R,"BR,RG,UR,WR",0.5324056568101037,0.514486391571554,0.5355191256830601
Grievous Wound,B,"UB,BR,WB,BG",0.4740518962075848,0.49411764705882355,0.4725
Hand That Feeds,R,"BR,RG,UR,WR",0.5449529703978175,0.5462724935732648,0.551338743379173
Impossible Inferno,R,"BR,RG,UR,WR",0.5331568040524983,0.520431765612953,0.550979262672811
Infernal Phantom,R,"BR,RG,UR,WR",0.5311802455357143,0.5148601398601399,0.5298777337695885
Innocuous Rat,B,"UB,BR,WB,BG",0.5610963908111029,0.5781306128313816,0.5776879002359285
Irreverent Gremlin,R,"BR,RG,UR,WR",0.5606264140271493,0.5890603085553997,0.5731231994577191
Killer's Mask,B,"UB,BR,WB,BG",0.5136612021857924,0.5034071550255537,0.511808367071525
Let's Play a Game,B,"UB,BR,WB,BG",0.5397167776423145,0.5143843498273878,0.5560384263494969
Leyline of Resonance,R,"BR,RG,UR,WR",0.42028985507246375,NaN,0.5882352941176471
Leyline of the Void,B,"UB,BR,WB,BG",0.4845360824742268,NaN,0.52
Live or Die,B,"UB,BR,WB,BG",0.5242306085503412,0.5082824760244115,0.536577067029602
Meathook Massacre II,B,"UB,BR,WB,BG",0.5045300113250283,0.4050179211469534,0.47346938775510206
Miasma Demon,B,"UB,BR,WB,BG",0.5222567842969001,0.4946543121881682,0.5221024258760107
Most Valuable Slayer,R,"BR,RG,UR,WR",0.5456933086611353,0.5384803024759117,0.547202113089415
Murder,B,"UB,BR,WB,BG",0.5392187924323346,0.5302357836338419,0.5531679832072032
"Norin, Swift Survivalist",R,"BR,RG,UR,WR",0.530779054916986,0.5402081362346263,0.5190777392368904
Nowhere to Run,B,"UB,BR,WB,BG",0.5603648853270303,0.5781951817068192,0.5913581307447814
Osseous Sticktwister,B,"UB,BR,WB,BG",0.5627160218530494,0.565306963329213,0.5725137518554091
