name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Appendage Amalgam,B,"UB,BR,WB,BG",0.5095605266060381,0.5000292791473913,0.51440329218107
Balemurk Leech,B,"UB,BR,WB,BG",0.5026195493223715,0.4968741859859338,0.5057261275017724
Cackling Slasher,B,"UB,BR,WB,BG",0.4748275272250413,0.4456997084548105,0.4628790025502975
Come Back Wrong,B,"UB,BR,WB,BG",0.5306670041766864,0.5294910179640718,0.5628418585081445
Commune with Evil,B,"UB,BR,WB,BG",0.533092931873676,0.5427668278170323,0.5639472882388787
Cracked Skull,B,"UB,BR,WB,BG",0.5136547027682549,0.5017813880575744,0.5218066807235601
Cynical Loner,B,"UB,BR,WB,BG",0.5305724623453847,0.558476101071736,0.5484848484848485
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.5048994974874372,0.512525826446281,0.5221322003754569
Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.518181937914049,0.4996337592577521,0.535358644453577
Demonic Counsel,B,"UB,BR,WB,BG",0.5040417209908735,0.4667774086378737,0.5123216601815823
Derelict Attic // Widow's Walk,B,"UB,BR,WB,BG",0.5153835229106684,0.5110530246452577,0.5319399915310629
Doomsday Excruciator,B,"UB,BR,WB,BG",0.467645836220036,0.4059216809933142,0.4344002813928948
Enduring Tenacity,B,"UB,BR,WB,BG",0.500023702299123,0.4762594093804285,0.5170152628603731
Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5272801013941698,0.5335866633978916,0.5473359860248447
Fear of Lost Teeth,B,"UB,BR,WB,BG",0.5299983403407834,0.5387419165196943,0.5420443475820166
Fear of the Dark,B,"UB,BR,WB,BG",0.4979760571871501,0.4861995753715499,0.5082152263890631
Final Vengeance,B,"UB,BR,WB,BG",0.5405073549274331,0.5347025921693631,0.5657800733167024
Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.5270021933724583,0.4987645605365337,0.5574086836664369
Give In to Violence,B,"UB,BR,WB,BG",0.4964679287934445,0.484491156113817,0.506443429731101
Grievous Wound,B,"UB,BR,WB,BG",0.4395172607353353,0.4222614840989399,0.4304589707927677
Innocuous Rat,B,"UB,BR,WB,BG",0.5404194246084517,0.5490062850348225,0.5551392247468097
Killer's Mask,B,"UB,BR,WB,BG",0.5098377281947262,0.4992939277788985,0.5119518628420705
Let's Play a Game,B,"UB,BR,WB,BG",0.5284823189469339,0.5181086519114688,0.5577127510770435
Leyline of the Void,B,"UB,BR,WB,BG",0.4121338912133891,,0.408695652173913
Live or Die,B,"UB,BR,WB,BG",0.5254787030708816,0.5136926438455935,0.552439226978238
Meathook Massacre II,B,"UB,BR,WB,BG",0.492176386913229,0.4426573426573426,0.4957087126137841
Miasma Demon,B,"UB,BR,WB,BG",0.5194337942688932,0.5132837407013815,0.5337828785781271
Murder,B,"UB,BR,WB,BG",0.5282417570763471,0.5203596660244059,0.5508500188893086
Nowhere to Run,B,"UB,BR,WB,BG",0.540997679376639,0.5580460985409177,0.5758857861962724
Osseous Sticktwister,B,"UB,BR,WB,BG",0.5450632383336178,0.5556614765385023,0.5665895316804408
Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5619655445709757,0.6298042914406979,0.6192371154032806
Popular Egotist,B,"UB,BR,WB,BG",0.5349088572096284,0.5215808632345293,0.545406565567714
Resurrected Cultist,B,"UB,BR,WB,BG",0.5209515599932955,0.4973280832513008,0.5164847955768951
Spectral Snatcher,B,"UB,BR,WB,BG",0.519374636701971,0.4991656420165115,0.5240771330077564
Sporogenic Infection,B,"UB,BR,WB,BG",0.533326039653307,0.5375648589096595,0.5557725445146467
Unholy Annex // Ritual Chamber,B,"UB,BR,WB,BG",0.5673964004839686,0.648689138576779,0.6489889190704091
Unstoppable Slasher,B,"UB,BR,WB,BG",0.5581694016919784,0.636634913347871,0.6152906922137691
Valgavoth's Faithful,B,"UB,BR,WB,BG",0.5242862327607065,0.5109635712413733,0.5392237524593096
"Valgavoth, Terror Eater",B,"UB,BR,WB,BG",0.525172160192552,0.5164737310774711,0.5438051650866296
Vile Mutilator,B,"UB,BR,WB,BG",0.5277876245618182,0.5225897008509518,0.5493208856040714
Winter's Intervention,B,"UB,BR,WB,BG",0.5317582236215674,0.5376379210220673,0.5484526531283155
Withering Torment,B,"UB,BR,WB,BG",0.5258575939784574,0.5117288220866613,0.5420237520026447
