name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
"Altanak, the Thrice-Called",G,"RG,WG,BG,UG",0.5399787347155768,0.5181019332161687,0.5350574712643679
Anthropede,G,"RG,WG,BG,UG",0.5196392202502182,0.4697442295695571,0.498564343513443
Balustrade Wurm,G,"RG,WG,BG,UG",0.5736783637195321,0.5874747474747475,0.6022954091816367
Bashful Beastie,G,"RG,WG,BG,UG",0.5446845320694191,0.5362747327723448,0.5440453686200378
Bedhead Beastie,R,"BR,RG,UR,WR",0.5313651608629042,0.5042563845768653,0.5203528536507599
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5628042078819281,0.5634719136781974,0.5822545846817692
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.518975202082477,0.48444070647603027,0.5088097806544408
Break Down the Door,G,"RG,WG,BG,UG",0.5538240146011021,0.5372816361312314,0.5563854310742278
Cathartic Parting,G,"RG,WG,BG,UG",0.5281809474692404,0.5215537659876835,0.5279685966633955
Cautious Survivor,G,"RG,WG,BG,UG",0.5401209442958483,0.5303746817024373,0.5310439981603556
Chainsaw,R,"BR,RG,UR,WR",0.5716695957820738,0.6123188405797102,0.6102517985611511
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.5231974921630094,0.5103969754253308,0.5098502758077226
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5608243194750603,0.5825347647525038,0.5628006589785832
Coordinated Clobbering,G,"RG,WG,BG,UG",0.5431287982748481,0.5506485484867202,0.5493357410034825
Cryptid Inspector,G,"RG,WG,BG,UG",0.5245142195341654,0.5123780945236309,0.5143363223735193
Cursed Recording,R,"BR,RG,UR,WR",0.5227168425883433,0.5313351498637602,0.49295774647887325
Defiant Survivor,G,"RG,WG,BG,UG",0.5527196964059826,0.5656630365150545,0.558435438265787
Diversion Specialist,R,"BR,RG,UR,WR",0.5419926020253472,0.5093423019431988,0.5317473075068317
Enduring Courage,R,"BR,RG,UR,WR",0.5487696412689,0.5526663728514765,0.5597867479055598
Enduring Vitality,G,"RG,WG,BG,UG",0.5442344563133388,0.5661804430037818,0.5631726719700515
Fear of Being Hunted,R,"BR,RG,UR,WR",0.562294995238599,0.5847654435671157,0.5744812422701663
Fear of Burning Alive,R,"BR,RG,UR,WR",0.5676010460155068,0.5567386231038507,0.590371829598621
Fear of Exposure,G,"RG,WG,BG,UG",0.5368999500431445,0.515855039637599,0.5250299401197605
Fear of Missing Out,R,"BR,RG,UR,WR",0.5752447110830439,0.6218922651933702,0.6116953473550032
Flesh Burrower,G,"RG,WG,BG,UG",0.5472073789183486,0.5450070989115002,0.5473199147937226
Frantic Strength,G,"RG,WG,BG,UG",0.5421283174439577,0.5242591989579941,0.5451148629947412
Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.5551432447530126,0.550351466992665,0.5630086814975583
