name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Bedhead Beastie,R,"BR,RG,UR,WR",0.5176349588601245,0.490222421256904,0.5095695261690926
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5584883023395321,0.5559671116900032,0.5785482672431264
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.5300569426193605,0.512849931161083,0.5310005321979776
Chainsaw,R,"BR,RG,UR,WR",0.562853321444494,0.60932944606414,0.6017879616369396
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.5055776892430279,0.4767025089605735,0.498011137629276
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5648821890893337,0.5887958026571888,0.5718801056633736
Cursed Recording,R,"BR,RG,UR,WR",0.5135410303400529,0.503052503052503,0.5017861395570374
Diversion Specialist,R,"BR,RG,UR,WR",0.5374768700413171,0.5152963671128107,0.5334126193307833
Enduring Courage,R,"BR,RG,UR,WR",0.548484910569772,0.553646477132262,0.5618416319819125
Fear of Being Hunted,R,"BR,RG,UR,WR",0.5598080932561366,0.5735586481113321,0.56983571555661
Fear of Burning Alive,R,"BR,RG,UR,WR",0.5563220186711456,0.5418312387791742,0.5758184252160156
Fear of Missing Out,R,"BR,RG,UR,WR",0.5660240793701232,0.598545036852685,0.5988562091503268
Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.5514734792313575,0.5524804364993897,0.570069401205789
Grab the Prize,R,"BR,RG,UR,WR",0.5343601895734598,0.5168681219556197,0.5317098119442915
Hand That Feeds,R,"BR,RG,UR,WR",0.5485683133653899,0.5424216968678747,0.5461948379916963
Impossible Inferno,R,"BR,RG,UR,WR",0.5370029726562197,0.5106361374828654,0.5404101326899879
Infernal Phantom,R,"BR,RG,UR,WR",0.5221162322125676,0.5017636684303352,0.5149123502815895
Irreverent Gremlin,R,"BR,RG,UR,WR",0.5665097076244316,0.588937093275488,0.575059181602976
Leyline of Resonance,R,"BR,RG,UR,WR",0.4337539432176656,,0.375886524822695
Most Valuable Slayer,R,"BR,RG,UR,WR",0.5496978639685216,0.537532741327541,0.5467401052660187
"Norin, Swift Survivalist",R,"BR,RG,UR,WR",0.5535215756262349,0.5659246575342466,0.5436912225705329
Overlord of the Boilerbilges,R,"BR,RG,UR,WR",0.5813525749858517,0.6280312371557748,0.6415468090603738
Painter's Studio // Defaced Gallery,R,"BR,RG,UR,WR",0.5594012233731903,0.5607414024117909,0.5739481512962176
Piggy Bank,R,"BR,RG,UR,WR",0.5608086552465497,0.5972158306488725,0.5760611788967176
Pyroclasm,R,"BR,RG,UR,WR",0.5082991053845721,0.5030556449018977,0.5233222591362127
Ragged Playmate,R,"BR,RG,UR,WR",0.5561867933020419,0.5463368816530996,0.5446105447406391
Rampaging Soulrager,R,"BR,RG,UR,WR",0.4919566357754852,0.4668536990856193,0.4941166756120722
Razorkin Hordecaller,R,"BR,RG,UR,WR",0.5659214782495708,0.57481581844356,0.5875868344153004
Razorkin Needlehead,R,"BR,RG,UR,WR",0.5495241537164197,0.5719122426868906,0.5651521517315887
Ripchain Razorkin,R,"BR,RG,UR,WR",0.5296776030175788,0.5029821073558648,0.5281336797777977
Scorching Dragonfire,R,"BR,RG,UR,WR",0.5570363902145169,0.5717395762671756,0.5740608963393774
Screaming Nemesis,R,"BR,RG,UR,WR",0.5732204000720851,0.6170943624974743,0.617338003502627
The Rollercrusher Ride,R,"BR,RG,UR,WR",0.5564190850959173,0.5596257216802708,0.6029633151097378
Ticket Booth // Tunnel of Hate,R,"BR,RG,UR,WR",0.5417198730344047,0.5376676348804154,0.5507877495840267
Trial of Agony,R,"BR,RG,UR,WR",0.5423152831693003,0.5176278118609406,0.5375613439033597
Turn Inside Out,R,"BR,RG,UR,WR",0.5635761103974013,0.5660932712490048,0.5701483721830162
Untimely Malfunction,R,"BR,RG,UR,WR",0.5280738901869159,0.5106134826218801,0.5296541151671936
Vengeful Possession,R,"BR,RG,UR,WR",0.5535721704449461,0.5419009135628953,0.5706904978007401
Vicious Clown,R,"BR,RG,UR,WR",0.5514286099901475,0.543162872715614,0.5379122627169571
Violent Urge,R,"BR,RG,UR,WR",0.537108928979219,0.521339530952884,0.5298120120382083
Waltz of Rage,R,"BR,RG,UR,WR",0.5402336679282541,0.550367107195301,0.5626525388415977
