name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Abhorrent Oculus,U,"WU,UB,UG,UR",0.5318307631474891,0.5388471177944862,0.5769230769230769
Appendage Amalgam,B,"UB,BR,WB,BG",0.49920009480357885,0.4954321855235418,0.5100516164085847
Balemurk Leech,B,"UB,BR,WB,BG",0.49803816657749245,0.4869264923532314,0.5090725806451613
Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.520005884083554,0.5248041775456919,0.5602859928501788
Cackling Slasher,B,"UB,BR,WB,BG",0.4625199362041467,0.3726937269372694,0.45992115637319314
Central Elevator // Promising Stairs,U,"WU,UB,UG,UR",0.47924253459577565,0.5150214592274678,0.5323308270676692
Clammy Prowler,U,"WU,UB,UG,UR",0.4754045307443366,0.45425867507886436,0.4669899291309213
Come Back Wrong,B,"UB,BR,WB,BG",0.5067274305555556,0.49933949801849403,0.5493707647628268
Commune with Evil,B,"UB,BR,WB,BG",0.513126491646778,0.5148279952550415,0.5408888888888889
Cracked Skull,B,"UB,BR,WB,BG",0.5023077937491758,0.5140625,0.5261272021498955
Creeping Peeper,U,"WU,UB,UG,UR",0.4997156757439818,0.4868804664723032,0.5054130209105739
Cursed Windbreaker,U,"WU,UB,UG,UR",0.52019031352934,0.5262039660056658,0.5446111869031378
Cynical Loner,B,"UB,BR,WB,BG",0.5280704513288252,0.5415973377703827,0.5502121640735502
Daggermaw Megalodon,U,"WU,UB,UG,UR",0.5113456100420719,0.493681206685691,0.5139708165166097
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.5080742690474497,0.5137976346911958,0.5282657297987863
Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.5090212209030569,0.4961921499707089,0.5326482551916077
Demonic Counsel,B,"UB,BR,WB,BG",0.4300341296928328,0.4772727272727273,0.488
Derelict Attic // Widow's Walk,B,"UB,BR,WB,BG",0.5029810298102981,0.4981981981981982,0.5301458955879768
Don't Make a Sound,U,"WU,UB,UG,UR",0.5251107211498287,0.5483711747285291,0.5505359877488515
Doomsday Excruciator,B,"UB,BR,WB,BG",0.4454022988505747,0.3018867924528302,0.3986013986013986
Duskmourn's Domination,U,"WU,UB,UG,UR",0.5200507614213198,0.5182186234817814,0.5551055828753254
Enduring Curiosity,U,"WU,UB,UG,UR",0.5508363397835356,0.6194029850746269,0.6109313196691838
Enduring Tenacity,B,"UB,BR,WB,BG",0.5006598046978095,0.47665056360708535,0.5277108433734939
Enter the Enigma,U,"WU,UB,UG,UR",0.4631890492045875,0.4201312910284464,0.47822374039282667
Entity Tracker,U,"WU,UB,UG,UR",0.5411113034446945,0.625748502994012,0.6151515151515151
Erratic Apparition,U,"WU,UB,UG,UR",0.4836707410236822,0.4657079646017699,0.4895361380798274
Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5008835123012098,0.5020610057708161,0.5147378219050573
Fear of Failed Tests,U,"WU,UB,UG,UR",0.48731884057971014,0.5112903225806451,0.5176119402985074
Fear of Falling,U,"WU,UB,UG,UR",0.5188227241615332,0.4931506849315068,0.5446041919279404
Fear of Impostors,U,"WU,UB,UG,UR",0.5099601593625498,0.492599171107164,0.5186025408348457
Fear of Isolation,U,"WU,UB,UG,UR",0.5438920843604492,0.5386676875957122,0.5819092516205068
Fear of Lost Teeth,B,"UB,BR,WB,BG",0.5105175466000208,0.4977973568281938,0.5221217887725975
Fear of the Dark,B,"UB,BR,WB,BG",0.49192825112107624,0.47862767154105734,0.5079624336463863
Final Vengeance,B,"UB,BR,WB,BG",0.5193115223109225,0.49872773536895676,0.5402756508422665
Floodpits Drowner,U,"WU,UB,UG,UR",0.5333380671731875,0.5367858610768599,0.5632765096792834
Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.5255813953488372,0.4887459807073955,0.5548022598870056
Get Out,U,"WU,UB,UG,UR",0.5213741948077298,0.511543134872418,0.5399869252560471
Ghostly Keybearer,U,"WU,UB,UG,UR",0.50299475917145,0.4910581222056632,0.5175246440306681
Give In to Violence,B,"UB,BR,WB,BG",0.4780793319415449,0.45394736842105265,0.4881632653061225
Glimmerburst,U,"WU,UB,UG,UR",0.5339178587909552,0.5329140461215933,0.5657615112160567
Grievous Wound,B,"UB,BR,WB,BG",0.41596638655462187,0.42990654205607476,0.4334470989761092
Innocuous Rat,B,"UB,BR,WB,BG",0.5133917396745933,0.5068301225919439,0.5294200848656294
Killer's Mask,B,"UB,BR,WB,BG",0.48672566371681414,0.45964125560538116,0.4860710854947166
Let's Play a Game,B,"UB,BR,WB,BG",0.5069461369729467,0.4382716049382716,0.5219101123595505
Leyline of the Void,B,"UB,BR,WB,BG",0.3125,NaN,0.47368421052631576
Leyline of Transformation,U,"WU,UB,UG,UR",0.3023255813953488,NaN,0.14285714285714285
Live or Die,B,"UB,BR,WB,BG",0.5101072607260726,0.47928994082840237,0.5360516010135913
Marina Vendrell's Grimoire,U,"WU,UB,UG,UR",0.453781512605042,0.23809523809523808,0.30158730158730157
Meathook Massacre II,B,"UB,BR,WB,BG",0.4763458401305057,0.4517766497461929,0.4991364421416235
Meat Locker // Drowned Diner,U,"WU,UB,UG,UR",0.5134091159916124,0.49116299367226707,0.5334157395962094
Miasma Demon,B,"UB,BR,WB,BG",0.5140610422497668,0.49422222222222223,0.526985111662531
Mirror Room // Fractured Realm,U,"WU,UB,UG,UR",0.5035427491733585,0.49085365853658536,0.5301204819277109
Murder,B,"UB,BR,WB,BG",0.5198571901799846,0.5073577860751153,0.5407455746798271
Nowhere to Run,B,"UB,BR,WB,BG",0.533555185801442,0.5597362296353763,0.5787413429689853
Osseous Sticktwister,B,"UB,BR,WB,BG",0.5252786446723139,0.5276200309757356,0.5578617583708635
Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5526802218114603,0.6237006237006237,0.6183266932270917
Overlord of the Floodpits,U,"WU,UB,UG,UR",0.5587568792489479,0.6184971098265896,0.639298245614035
Paranormal Analyst,U,"WU,UB,UG,UR",0.5097551644988524,0.5304347826086957,0.5243589743589744
Piranha Fly,U,"WU,UB,UG,UR",0.5091974605241738,0.5097583643122676,0.5159163684309663
Popular Egotist,B,"UB,BR,WB,BG",0.5152945619335347,0.5250291036088475,0.5373973194984868
Resurrected Cultist,B,"UB,BR,WB,BG",0.5050909697880154,0.4687199230028874,0.5057781201848999
Scrabbling Skullcrab,U,"WU,UB,UG,UR",0.4934086629001883,0.5002658160552897,0.5141393442622951
Silent Hallcreeper,U,"WU,UB,UG,UR",0.5270473328324567,0.5927116827438371,0.5755336617405583
Spectral Snatcher,B,"UB,BR,WB,BG",0.5038809831824063,0.47111299915038235,0.5105306122448979
Sporogenic Infection,B,"UB,BR,WB,BG",0.5184126450311082,0.5263929618768328,0.5478522984174831
Stalked Researcher,U,"WU,UB,UG,UR",0.5133728420510177,0.5141122913505312,0.520687237026648
"Stay Hidden, Stay Silent",U,"WU,UB,UG,UR",0.531407739764442,0.5394998015085352,0.5679351979214428
The Mindskinner,U,"WU,UB,UG,UR",0.5151447661469933,0.5116883116883116,0.5501460564751705
The Tale of Tamiyo,U,"WU,UB,UG,UR",0.5253623188405797,0.559322033898305,0.544
Tunnel Surveyor,U,"WU,UB,UG,UR",0.5270143884892087,0.5388622629714523,0.5510646846122941
Twist Reality,U,"WU,UB,UG,UR",0.5165165165165165,0.5201856148491879,0.5387776065742167
Unable to Scream,U,"WU,UB,UG,UR",0.5234443746071653,0.5246595509753404,0.5514975444421387
Underwater Tunnel // Slimy Aquarium,U,"WU,UB,UG,UR",0.5155500813794923,0.5111111111111111,0.533810583341395
Unholy Annex // Ritual Chamber,B,"UB,BR,WB,BG",0.5628768936608325,0.6550580431177446,0.6612802983219391
Unnerving Grasp,U,"WU,UB,UG,UR",0.5430600565400262,0.5666532420459122,0.587256371814093
Unstoppable Slasher,B,"UB,BR,WB,BG",0.5383347073371806,0.6198830409356725,0.587819947043248
Unwilling Vessel,U,"WU,UB,UG,UR",0.4991697110594487,0.4940047961630695,0.5114899925871016
Valgavoth's Faithful,B,"UB,BR,WB,BG",0.5003181336161188,0.49339735894357745,0.5242125058768218
"Valgavoth, Terror Eater",B,"UB,BR,WB,BG",0.49140625,0.46551724137931033,0.50187265917603
Vanish from Sight,U,"WU,UB,UG,UR",0.5229323308270677,0.5044625533566163,0.5420508521933501
Vile Mutilator,B,"UB,BR,WB,BG",0.5080313784086664,0.5130142737195634,0.5365224863935835
Winter's Intervention,B,"UB,BR,WB,BG",0.517975797579758,0.5175395256916996,0.534402332361516
Withering Torment,B,"UB,BR,WB,BG",0.5111431234641132,0.49731576378721326,0.527793374508703
