name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Abhorrent Oculus,U,"WU,UB,UG,UR",0.5947429906542057,0.5987124463519313,0.6415044011736463
"Altanak, the Thrice-Called",G,"RG,WG,BG,UG",0.5492587069041144,0.5245250921462999,0.5505212096191557
Anthropede,G,"RG,WG,BG,UG",0.5329198817336122,0.5068797159343098,0.527478084962913
Balustrade Wurm,G,"RG,WG,BG,UG",0.5811895788956251,0.5784966698382493,0.6007259528130672
Bashful Beastie,G,"RG,WG,BG,UG",0.5560739324410453,0.5468549422336328,0.5607471111505157
Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.5552474332309927,0.5432240751389688,0.5729437068901579
Break Down the Door,G,"RG,WG,BG,UG",0.5559552031390501,0.5446630119316349,0.5679845106489289
Cathartic Parting,G,"RG,WG,BG,UG",0.5485694508537148,0.525323910482921,0.5633877840909091
Cautious Survivor,G,"RG,WG,BG,UG",0.5367046485832409,0.5120463555962184,0.537087748541493
Central Elevator // Promising Stairs,U,"WU,UB,UG,UR",0.4637904468412943,0.4218009478672986,0.47611202635914335
Clammy Prowler,U,"WU,UB,UG,UR",0.49864999289469947,0.4533450704225352,0.5088676671214188
Coordinated Clobbering,G,"RG,WG,BG,UG",0.5507900677200903,0.5544003868471954,0.5687195232075131
Creeping Peeper,U,"WU,UB,UG,UR",0.5239592559787423,0.5046487603305785,0.5178925404277517
Cryptid Inspector,G,"RG,WG,BG,UG",0.5442413797230501,0.525062656641604,0.5375491880507676
Cursed Windbreaker,U,"WU,UB,UG,UR",0.5685652322794201,0.5587179146163054,0.5909375325894254
Daggermaw Megalodon,U,"WU,UB,UG,UR",0.5479638734501924,0.5202734934011767,0.5447024940253692
Defiant Survivor,G,"RG,WG,BG,UG",0.5477519326099768,0.5483181022749368,0.5528953229398663
Don't Make a Sound,U,"WU,UB,UG,UR",0.5509345794392523,0.5554460325283391,0.565273121672254
Duskmourn's Domination,U,"WU,UB,UG,UR",0.5494580365438216,0.5365168539325843,0.5656712090461004
Enduring Curiosity,U,"WU,UB,UG,UR",0.5750299222022741,0.6276169265033408,0.6112889637742207
Enduring Vitality,G,"RG,WG,BG,UG",0.5628896222955629,0.5894901144640999,0.5900673400673401
Enter the Enigma,U,"WU,UB,UG,UR",0.5200438459129345,0.45315487571701724,0.5247120029728726
Entity Tracker,U,"WU,UB,UG,UR",0.554583098061359,0.5899893503727369,0.5790235829540753
Erratic Apparition,U,"WU,UB,UG,UR",0.4951029098651526,0.44511668107173724,0.4848786972416085
Fear of Exposure,G,"RG,WG,BG,UG",0.5519848771266541,0.5288736420811893,0.5450393031654982
Fear of Failed Tests,U,"WU,UB,UG,UR",0.5071474290590996,0.49530201342281877,0.48647269014803474
Fear of Falling,U,"WU,UB,UG,UR",0.554162600405375,0.5254553946753854,0.5571661377476628
Fear of Impostors,U,"WU,UB,UG,UR",0.5368905119361601,0.5237515225334958,0.5459824231010671
Fear of Isolation,U,"WU,UB,UG,UR",0.565758531689131,0.5565187829338772,0.585759473242528
Flesh Burrower,G,"RG,WG,BG,UG",0.5476544843172924,0.5517241379310345,0.5561336717428088
Floodpits Drowner,U,"WU,UB,UG,UR",0.5707231641166598,0.5740027510316369,0.6031480919121368
