name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Abhorrent Oculus,U,"WU,UB,UG,UR",0.531923890063425,0.5324675324675324,0.5640776699029126
Bedhead Beastie,R,"BR,RG,UR,WR",0.4985242030696576,0.47613636363636364,0.5101032779524023
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5286160249739854,0.5257692307692308,0.5622579684241883
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.49603236346662516,0.4733606557377049,0.4966012084592145
Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.5244762719110732,0.5333963453056081,0.5585475813330084
Central Elevator // Promising Stairs,U,"WU,UB,UG,UR",0.5107438016528926,0.4820473644003056,0.5444255800792304
Chainsaw,R,"BR,RG,UR,WR",0.5500781114389863,0.5811623246492986,0.5971082454083626
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.4934069303894511,0.4365942028985507,0.4850798056904927
Clammy Prowler,U,"WU,UB,UG,UR",0.4850067711356162,0.4431554524361949,0.4955555555555556
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5398860398860399,0.5620745542949757,0.561687876758205
Creeping Peeper,U,"WU,UB,UG,UR",0.5017686361849862,0.5049205147615443,0.5144238146386374
Cursed Recording,R,"BR,RG,UR,WR",0.48739495798319327,0.5019455252918288,0.5113314447592068
Cursed Windbreaker,U,"WU,UB,UG,UR",0.518613179242138,0.49506903353057197,0.5279503105590062
Daggermaw Megalodon,U,"WU,UB,UG,UR",0.5016252852894391,0.4817781337605126,0.511023622047244
Diversion Specialist,R,"BR,RG,UR,WR",0.5119560956487652,0.48786610878661085,0.5182504719949654
Don't Make a Sound,U,"WU,UB,UG,UR",0.5135246464369079,0.536978756884343,0.5343915343915344
Duskmourn's Domination,U,"WU,UB,UG,UR",0.5023381040102026,0.48996350364963503,0.5219834710743801
Enduring Courage,R,"BR,RG,UR,WR",0.515203426124197,0.5189048239895697,0.5400098183603338
Enduring Curiosity,U,"WU,UB,UG,UR",0.5423023578363384,0.5772357723577236,0.582234559333796
Enter the Enigma,U,"WU,UB,UG,UR",0.5030373155915534,0.49493243243243246,0.5133614627285513
Entity Tracker,U,"WU,UB,UG,UR",0.5565193446234339,0.6555209953343701,0.6203504457423916
Erratic Apparition,U,"WU,UB,UG,UR",0.4959847036328872,0.47355083940449794,0.5053992968357609
Fear of Being Hunted,R,"BR,RG,UR,WR",0.5250553431273898,0.5249569707401033,0.5410220346929208
Fear of Burning Alive,R,"BR,RG,UR,WR",0.5313840775464802,0.5227854582693292,0.5600746268656717
Fear of Failed Tests,U,"WU,UB,UG,UR",0.4811586051743532,0.4659498207885305,0.49795918367346936
Fear of Falling,U,"WU,UB,UG,UR",0.520363780150257,0.4954728370221328,0.5411895086811969
Fear of Impostors,U,"WU,UB,UG,UR",0.5031776117738879,0.4686446392447741,0.506102311088029
Fear of Isolation,U,"WU,UB,UG,UR",0.5529611547442157,0.5557993730407523,0.591897705544933
Fear of Missing Out,R,"BR,RG,UR,WR",0.5563922642478178,0.5632295719844358,0.6020761245674741
Floodpits Drowner,U,"WU,UB,UG,UR",0.5502036005143592,0.5421068517959553,0.5897670169026953
Get Out,U,"WU,UB,UG,UR",0.5175499498572861,0.5345149253731343,0.5507555555555556
Ghostly Keybearer,U,"WU,UB,UG,UR",0.5065708778692833,0.4902095499828238,0.5257241105673852
Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.5302652847770277,0.5402122770543824,0.5689447926504679
Glimmerburst,U,"WU,UB,UG,UR",0.5323518537192027,0.5199763826018501,0.55537547271745
Grab the Prize,R,"BR,RG,UR,WR",0.5021588135911395,0.4802981895633653,0.5282051282051282
Hand That Feeds,R,"BR,RG,UR,WR",0.5191375129892623,0.5012594458438288,0.5268993839835729
Impossible Inferno,R,"BR,RG,UR,WR",0.5012518409425626,0.4790307548928239,0.5104616980805811
Infernal Phantom,R,"BR,RG,UR,WR",0.4983908718548859,0.46981627296587924,0.5024748250554703
Irreverent Gremlin,R,"BR,RG,UR,WR",0.5394163032539416,0.5534441805225653,0.5589854502556036
Leyline of Resonance,R,"BR,RG,UR,WR",0.36619718309859156,NaN,0.13636363636363635
Leyline of Transformation,U,"WU,UB,UG,UR",0.3333333333333333,NaN,0.0
Marina Vendrell's Grimoire,U,"WU,UB,UG,UR",0.3170731707317073,0.16666666666666666,0.2
Meat Locker // Drowned Diner,U,"WU,UB,UG,UR",0.5162871823881582,0.49100645338459425,0.5416621926339525
Mirror Room // Fractured Realm,U,"WU,UB,UG,UR",0.5254569190600522,0.5112936344969199,0.5590200445434298
Most Valuable Slayer,R,"BR,RG,UR,WR",0.516379704403474,0.49662369551872315,0.51901458981105
"Norin, Swift Survivalist",R,"BR,RG,UR,WR",0.5193591455273698,0.5634328358208955,0.5390127388535032
Overlord of the Boilerbilges,R,"BR,RG,UR,WR",0.5654124956851916,0.6181434599156118,0.646968534151957
Overlord of the Floodpits,U,"WU,UB,UG,UR",0.5469865752642102,0.6063492063492063,0.6138310893512852
Painter's Studio // Defaced Gallery,R,"BR,RG,UR,WR",0.5307022379010032,0.5386581469648563,0.5566721791120722
Paranormal Analyst,U,"WU,UB,UG,UR",0.5164884135472371,0.5437987857762359,0.5401360544217687
Piggy Bank,R,"BR,RG,UR,WR",0.5349411183978563,0.5803782505910166,0.5741525423728814
Piranha Fly,U,"WU,UB,UG,UR",0.5185860259596796,0.5361540890432586,0.5366013071895425
Pyroclasm,R,"BR,RG,UR,WR",0.51303406346298,0.5154826958105647,0.5347753123251912
Ragged Playmate,R,"BR,RG,UR,WR",0.5252941176470588,0.5034562211981567,0.5293159609120521
Rampaging Soulrager,R,"BR,RG,UR,WR",0.49812201534581746,0.47513027001421126,0.5050311747638743
Razorkin Hordecaller,R,"BR,RG,UR,WR",0.5466943137411276,0.5537505972288581,0.5751477104874446
Razorkin Needlehead,R,"BR,RG,UR,WR",0.5105888429752066,0.5263908701854494,0.5226460071513707
Ripchain Razorkin,R,"BR,RG,UR,WR",0.5093606499470152,0.48253275109170307,0.524896265560166
Scorching Dragonfire,R,"BR,RG,UR,WR",0.5336514428538969,0.5472842213907883,0.5630759778824493
Scrabbling Skullcrab,U,"WU,UB,UG,UR",0.4890253725332259,0.4809468822170901,0.4942401417811254
Screaming Nemesis,R,"BR,RG,UR,WR",0.5415643633812697,0.5570093457943925,0.5891238670694864
Silent Hallcreeper,U,"WU,UB,UG,UR",0.538730255164034,0.6304888152444076,0.5968460747343161
Stalked Researcher,U,"WU,UB,UG,UR",0.515236520403945,0.5294727744165947,0.5355727242190125
"Stay Hidden, Stay Silent",U,"WU,UB,UG,UR",0.54141754223022,0.5374261326329612,0.5753999475478626
The Mindskinner,U,"WU,UB,UG,UR",0.501677340652638,0.51252408477842,0.5433403805496829
The Rollercrusher Ride,R,"BR,RG,UR,WR",0.5492376111817027,0.5370741482965932,0.59500693481276
The Tale of Tamiyo,U,"WU,UB,UG,UR",0.4294478527607362,0.6086956521739131,0.463768115942029
Ticket Booth // Tunnel of Hate,R,"BR,RG,UR,WR",0.5181705524654889,0.5250555840602018,0.5492649980135081
Trial of Agony,R,"BR,RG,UR,WR",0.5028453999367689,0.48209099709583736,0.5149112872782182
Tunnel Surveyor,U,"WU,UB,UG,UR",0.5258787711043454,0.5293883243674039,0.5432492818384934
Turn Inside Out,R,"BR,RG,UR,WR",0.5329080190583865,0.5288932419196866,0.5497167415510842
Twist Reality,U,"WU,UB,UG,UR",0.5115498519249754,0.4739647396473965,0.5243013365735115
Unable to Scream,U,"WU,UB,UG,UR",0.5284455888331753,0.5188648822960336,0.5543139769188496
Underwater Tunnel // Slimy Aquarium,U,"WU,UB,UG,UR",0.5182466219810619,0.5272920784552227,0.5384100723800256
Unnerving Grasp,U,"WU,UB,UG,UR",0.5488911026057778,0.5538507821901324,0.5930149679258732
Untimely Malfunction,R,"BR,RG,UR,WR",0.49281903980303654,0.4673913043478261,0.5291666666666667
Unwilling Vessel,U,"WU,UB,UG,UR",0.5049929629381409,0.4986301369863014,0.5198776758409785
Vanish from Sight,U,"WU,UB,UG,UR",0.5275482093663911,0.514161220043573,0.5528954738458759
Vengeful Possession,R,"BR,RG,UR,WR",0.4941860465116279,0.4154929577464789,0.4986301369863014
Vicious Clown,R,"BR,RG,UR,WR",0.5233327035707538,0.5171192443919717,0.530192131747484
Violent Urge,R,"BR,RG,UR,WR",0.47553444180522564,0.4792332268370607,0.49106078665077474
Waltz of Rage,R,"BR,RG,UR,WR",0.5196530725226056,0.5139353400222966,0.5463244889082209
