name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5021602626879429,0.5054347826086957,0.5082259391280505
Appendage Amalgam,B,"UB,BR,WB,BG",0.5084301091863112,0.4975609756097561,0.5149397811896663
Balemurk Leech,B,"UB,BR,WB,BG",0.5051365352533146,0.5057999033349444,0.5063517060367454
Cackling Slasher,B,"UB,BR,WB,BG",0.4596309111880046,0.44308231173380036,0.45071428571428573
Come Back Wrong,B,"UB,BR,WB,BG",0.52112,0.5224299065420561,0.554392523364486
Commune with Evil,B,"UB,BR,WB,BG",0.5375315968787779,0.5576923076923077,0.5809854624983919
Cracked Skull,B,"UB,BR,WB,BG",0.49777893911680166,0.4860335195530726,0.5087010565568676
Cult Healer,W,"WU,WG,WB,WR",0.5049234528857902,0.49422442244224424,0.5036783575705731
Cynical Loner,B,"UB,BR,WB,BG",0.5298825053196411,0.5739473684210527,0.5553385416666666
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.5090078441513662,0.5246753246753246,0.5391996733360556
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.3980815347721823,0.25925925925925924,0.3713450292397661
Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.5075449251768831,0.5007794232268121,0.5303370786516854
Demonic Counsel,B,"UB,BR,WB,BG",0.5173439048562933,0.5025380710659898,0.5091324200913242
Derelict Attic // Widow's Walk,B,"UB,BR,WB,BG",0.5195376633611348,0.5247376311844077,0.5477639184666869
Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5217932752179327,0.565410199556541,0.5825602968460112
Doomsday Excruciator,B,"UB,BR,WB,BG",0.4886246122026887,0.42363636363636364,0.4502583979328165
Emerge from the Cocoon,W,"WU,WG,WB,WR",0.5231172601072173,0.5164705882352941,0.5508278145695364
Enduring Innocence,W,"WU,WG,WB,WR",0.5416225749559083,0.6124876114965312,0.5908353609083536
Enduring Tenacity,B,"UB,BR,WB,BG",0.48380090497737555,0.4629014396456257,0.5102915951972555
Ethereal Armor,W,"WU,WG,WB,WR",0.5077360277865488,0.5102439024390244,0.5309358081979891
Exorcise,W,"WU,WG,WB,WR",0.5301708336388298,0.531924262439454,0.5667422788344093
Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5302867235146397,0.5501815780785738,0.5619198103890973
Fear of Abduction,W,"WU,WG,WB,WR",0.5251648279913832,0.5174854288093256,0.5523748600671677
Fear of Immobility,W,"WU,WG,WB,WR",0.507357815192894,0.5135019288469781,0.5336351875808538
Fear of Lost Teeth,B,"UB,BR,WB,BG",0.514037985136251,0.5168903285515964,0.5303133184595984
Fear of Surveillance,W,"WU,WG,WB,WR",0.5198954400232355,0.5272345240019396,0.5315358361774744
Fear of the Dark,B,"UB,BR,WB,BG",0.4924770011177027,0.4769828064337216,0.502308015107008
Final Vengeance,B,"UB,BR,WB,BG",0.5191429192951925,0.5034230944774076,0.5388013164732375
Friendly Ghost,W,"WU,WG,WB,WR",0.5001069976460518,0.4831237590999338,0.5005202913631633
Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.4956834532374101,0.44583333333333336,0.51681706316653
Ghostly Dancers,W,"WU,WG,WB,WR",0.5498866213151927,0.584,0.6190655614167294
Give In to Violence,B,"UB,BR,WB,BG",0.4859038142620232,0.49399038461538464,0.5135632183908045
Glimmer Seeker,W,"WU,WG,WB,WR",0.5302123026673925,0.5684669939989089,0.5631497456314974
Grand Entryway // Elegant Rotunda,W,"WU,WG,WB,WR",0.5143826972453109,0.4950445986124876,0.5183495749533485
Grievous Wound,B,"UB,BR,WB,BG",0.4534711964549483,0.3826086956521739,0.4064748201438849
Hardened Escort,W,"WU,WG,WB,WR",0.4914519906323185,0.4817618719889883,0.5063073394495413
Innocuous Rat,B,"UB,BR,WB,BG",0.5301434087148373,0.5403921568627451,0.5461438755670771
Jump Scare,W,"WU,WG,WB,WR",0.5011070110701107,0.4916267942583732,0.5030444964871195
Killer's Mask,B,"UB,BR,WB,BG",0.504183339396144,0.5107991360691144,0.5207253886010362
Let's Play a Game,B,"UB,BR,WB,BG",0.4858281665190434,0.46013986013986014,0.5122863247863247
Leyline of Hope,W,"WU,WG,WB,WR",0.3730769230769231,NaN,0.3137254901960784
Leyline of the Void,B,"UB,BR,WB,BG",0.47674418604651164,NaN,0.34615384615384615
Lionheart Glimmer,W,"WU,WG,WB,WR",0.5077125041023958,0.49945945945945946,0.5273972602739726
Live or Die,B,"UB,BR,WB,BG",0.5253314724354501,0.5082256169212691,0.5542457978607291
Living Phone,W,"WU,WG,WB,WR",0.509000900090009,0.4774193548387097,0.5059588299024919
Meathook Massacre II,B,"UB,BR,WB,BG",0.4795539033457249,0.4413793103448276,0.4961038961038961
Miasma Demon,B,"UB,BR,WB,BG",0.5071495914519171,0.5017721518987341,0.5275080906148867
Murder,B,"UB,BR,WB,BG",0.5200618959713323,0.5135922330097087,0.5473080598916853
Nowhere to Run,B,"UB,BR,WB,BG",0.5369048946370832,0.5525990099009901,0.5763502137028882
Optimistic Scavenger,W,"WU,WG,WB,WR",0.5271676300578034,0.6019261637239165,0.5648802736602052
Orphans of the Wheat,W,"WU,WG,WB,WR",0.5037800687285223,0.5332050048123196,0.5175050301810865
Osseous Sticktwister,B,"UB,BR,WB,BG",0.5299915855271066,0.5370860927152318,0.5572297484102847
Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5636269963936116,0.6497093023255814,0.6312351543942993
Overlord of the Mistmoors,W,"WU,WG,WB,WR",0.5824986821296785,0.6811145510835913,0.6802184466019418
Patched Plaything,W,"WU,WG,WB,WR",0.5153165418652145,0.5234223770809137,0.5345962433777492
Popular Egotist,B,"UB,BR,WB,BG",0.5047824007651841,0.5035765379113019,0.5259022118742724
Possessed Goat,W,"WU,WG,WB,WR",0.5159374886160796,0.5284,0.5315628712031224
Reluctant Role Model,W,"WU,WG,WB,WR",0.5335806325654041,0.5787781350482315,0.5601789709172259
Resurrected Cultist,B,"UB,BR,WB,BG",0.504142502071251,0.4834935227747597,0.5067354066189922
Savior of the Small,W,"WU,WG,WB,WR",0.49854093073260636,0.5019193857965452,0.5039370078740157
Seized from Slumber,W,"WU,WG,WB,WR",0.5312992775679343,0.5325760822974711,0.562736660929432
Shardmage's Rescue,W,"WU,WG,WB,WR",0.5081177333193674,0.49667994687915007,0.5353198047778063
Sheltered by Ghosts,W,"WU,WG,WB,WR",0.5253252788104089,0.5461220743460303,0.5752833243389098
Shepherding Spirits,W,"WU,WG,WB,WR",0.5172658114558473,0.5020097313306537,0.5227667709419535
