name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5202371589327848,0.521267860075546,0.5053899809765378
"Altanak, the Thrice-Called",G,"RG,WG,BG,UG",0.5219560878243513,0.4890154597233523,0.5094915254237288
Anthropede,G,"RG,WG,BG,UG",0.5025745257452574,0.4537114261884904,0.4720203488372093
Balustrade Wurm,G,"RG,WG,BG,UG",0.5434902032594763,0.5478359908883826,0.5589498806682578
Bashful Beastie,G,"RG,WG,BG,UG",0.5197319856907615,0.5062408223201175,0.5214144185337601
Break Down the Door,G,"RG,WG,BG,UG",0.5209575172674804,0.49855240301100173,0.519460697023658
Cathartic Parting,G,"RG,WG,BG,UG",0.5158940397350993,0.5040387722132472,0.5053571428571428
Cautious Survivor,G,"RG,WG,BG,UG",0.5245640031916107,0.5048409405255878,0.511860751694393
Coordinated Clobbering,G,"RG,WG,BG,UG",0.5280763918082998,0.5352727272727272,0.5391235059760956
Cryptid Inspector,G,"RG,WG,BG,UG",0.5055463117027177,0.49589490968801314,0.4926132235408089
Cult Healer,W,"WU,WG,WB,WR",0.5068620609444057,0.49834107498341074,0.4924638572746847
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.47406513872135103,0.3726235741444867,0.40098199672667756
Defiant Survivor,G,"RG,WG,BG,UG",0.5362029301368204,0.5746294381247845,0.5512295081967213
Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5377431906614786,0.6050420168067226,0.59375
Emerge from the Cocoon,W,"WU,WG,WB,WR",0.5096018073990398,0.484736355226642,0.5195402298850574
Enduring Innocence,W,"WU,WG,WB,WR",0.5226510067114094,0.5521191294387171,0.5389408099688473
Enduring Vitality,G,"RG,WG,BG,UG",0.5336580274830405,0.5593561368209256,0.5603907637655418
Ethereal Armor,W,"WU,WG,WB,WR",0.5200615126520342,0.5171232876712328,0.532068311195446
Exorcise,W,"WU,WG,WB,WR",0.5388981636060101,0.5381526104417671,0.5584272144908328
Fear of Abduction,W,"WU,WG,WB,WR",0.5287507681502941,0.5236980690462258,0.5495322619333174
Fear of Exposure,G,"RG,WG,BG,UG",0.5267508461338193,0.5043929712460063,0.5082616179001721
Fear of Immobility,W,"WU,WG,WB,WR",0.528763258268457,0.510211027910143,0.5301307561114269
Fear of Surveillance,W,"WU,WG,WB,WR",0.5291858371674335,0.5510293473499781,0.5264478360861384
Flesh Burrower,G,"RG,WG,BG,UG",0.5272581934452438,0.5318413391557496,0.5273242252582473
Frantic Strength,G,"RG,WG,BG,UG",0.5282947922541831,0.5321955003878976,0.5410142954390742
Friendly Ghost,W,"WU,WG,WB,WR",0.5299867315347192,0.5196939642958345,0.5361344537815126
Ghostly Dancers,W,"WU,WG,WB,WR",0.5507013106461256,0.5550906555090656,0.5989430416911333
Glimmer Seeker,W,"WU,WG,WB,WR",0.5356452058579718,0.5690392843251653,0.5542081447963801
Grand Entryway // Elegant Rotunda,W,"WU,WG,WB,WR",0.5165093185931615,0.45972602739726026,0.48847225741069167
Grasping Longneck,G,"RG,WG,BG,UG",0.5133347557072755,0.5113871635610766,0.49934956327820107
Greenhouse // Rickety Gazebo,G,"RG,WG,BG,UG",0.48978328173374613,0.4584837545126354,0.4823717948717949
Hardened Escort,W,"WU,WG,WB,WR",0.5255075925609964,0.5239422346085635,0.5193958118777893
Hauntwoods Shrieker,G,"RG,WG,BG,UG",0.5143094151804231,0.5688073394495413,0.548936170212766
Hedge Shredder,G,"RG,WG,BG,UG",0.5180431547619048,0.5142543859649122,0.5229885057471264
Horrid Vigor,G,"RG,WG,BG,UG",0.5178068577107835,0.5094609068189933,0.5202189115232594
House Cartographer,G,"RG,WG,BG,UG",0.5263125386040766,0.5531475748194015,0.5231937934378535
Insidious Fungus,G,"RG,WG,BG,UG",0.5312120476074812,0.5502413339183853,0.5411861614497528
