name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5597214471726191,0.5595967330270546,0.5460496408764434
Bedhead Beastie,R,"BR,RG,UR,WR",0.529442485964225,0.5017892644135189,0.5086505190311419
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5755292771314133,0.5711591469606847,0.5823443548898902
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.5231941683233929,0.5041952707856598,0.5045899632802937
Chainsaw,R,"BR,RG,UR,WR",0.581483589451717,0.6248231966053748,0.6096893610172219
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.5264663805436338,0.4829787234042553,0.5031616982836495
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5776643147450605,0.6020931133985098,0.5769457367490807
Cult Healer,W,"WU,WG,WB,WR",0.5397121938904317,0.5254588513913558,0.5211960132890365
Cursed Recording,R,"BR,RG,UR,WR",0.5261976047904192,0.47393364928909953,0.48653846153846153
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.4718670076726343,0.4318181818181818,0.41785714285714287
Diversion Specialist,R,"BR,RG,UR,WR",0.5416084502319343,0.5173267326732673,0.5258137774413323
Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5826893353941267,0.6581325301204819,0.6398671096345515
Emerge from the Cocoon,W,"WU,WG,WB,WR",0.5174163783160323,0.46831530139103555,0.5070079219987812
Enduring Courage,R,"BR,RG,UR,WR",0.5713943746259724,0.5856313497822931,0.5797738693467337
Enduring Innocence,W,"WU,WG,WB,WR",0.5816255239869585,0.6270791749833666,0.6087218045112782
Ethereal Armor,W,"WU,WG,WB,WR",0.5590372186316024,0.5533532446375238,0.553472467869355
Exorcise,W,"WU,WG,WB,WR",0.5741387111369659,0.5806706114398422,0.5815432204846194
Fear of Abduction,W,"WU,WG,WB,WR",0.5597814555484829,0.5497247706422018,0.5561559807214839
Fear of Being Hunted,R,"BR,RG,UR,WR",0.5733821382302741,0.5864101022248948,0.577828397873956
Fear of Burning Alive,R,"BR,RG,UR,WR",0.5668157945924918,0.5434734756768655,0.5695091365102114
Fear of Immobility,W,"WU,WG,WB,WR",0.5593102711936793,0.5398969255375866,0.5521723256663016
Fear of Missing Out,R,"BR,RG,UR,WR",0.5813912325210927,0.6033376123234917,0.6035618078419634
Fear of Surveillance,W,"WU,WG,WB,WR",0.5721042065985414,0.5753144556663982,0.561427732079906
Friendly Ghost,W,"WU,WG,WB,WR",0.5675701378982406,0.5641854358145642,0.5719262469198743
Ghostly Dancers,W,"WU,WG,WB,WR",0.589206953212834,0.6471535982814178,0.6381018198571757
Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.5740425768439775,0.5722032147698664,0.5766652154984763
Glimmer Seeker,W,"WU,WG,WB,WR",0.5769711338224458,0.6049815498154981,0.5804387568555759
Grab the Prize,R,"BR,RG,UR,WR",0.5456857573474001,0.5209251101321586,0.533857089412645
Grand Entryway // Elegant Rotunda,W,"WU,WG,WB,WR",0.553465593611579,0.5288470086229887,0.5325782486907806
Hand That Feeds,R,"BR,RG,UR,WR",0.5604222032793461,0.5499202109206965,0.5498593007083482
Hardened Escort,W,"WU,WG,WB,WR",0.5626151906101464,0.5651310188250875,0.5550995981875695
Impossible Inferno,R,"BR,RG,UR,WR",0.5424728916816737,0.5098906819364915,0.5262936916133095
Infernal Phantom,R,"BR,RG,UR,WR",0.5455341055341055,0.5323906609667872,0.5311848867898319
Irreverent Gremlin,R,"BR,RG,UR,WR",0.5841081718177056,0.6112264236079776,0.5916730328495035
Jump Scare,W,"WU,WG,WB,WR",0.5676985859846122,0.5605414890950113,0.5646570089475926
Lionheart Glimmer,W,"WU,WG,WB,WR",0.5567653140346343,0.5478130360205832,0.5535032412751976
Living Phone,W,"WU,WG,WB,WR",0.5436571782178218,0.5236449618042924,0.5245701246842148
Most Valuable Slayer,R,"BR,RG,UR,WR",0.566799383623262,0.5546127067014796,0.5596700014224076
"Norin, Swift Survivalist",R,"BR,RG,UR,WR",0.5699559452245058,0.5796201607012418,0.5562120093165938
Optimistic Scavenger,W,"WU,WG,WB,WR",0.5826903089666468,0.6441098317094774,0.603261760367153
Orphans of the Wheat,W,"WU,WG,WB,WR",0.5642435025735528,0.5712779047284233,0.5520764119601329
Overlord of the Boilerbilges,R,"BR,RG,UR,WR",0.5962663694622458,0.6389351081530782,0.6405156537753223
Overlord of the Mistmoors,W,"WU,WG,WB,WR",0.6029527249882205,0.7053406998158379,0.7016029593094945
Painter's Studio // Defaced Gallery,R,"BR,RG,UR,WR",0.5870626274275593,0.6038566837281276,0.6050035046099099
Patched Plaything,W,"WU,WG,WB,WR",0.5685795685795686,0.5618075801749272,0.5553701355049729
Piggy Bank,R,"BR,RG,UR,WR",0.5759680272554544,0.6092563577196577,0.5815946768918462
Possessed Goat,W,"WU,WG,WB,WR",0.53749401872992,0.5539622641509434,0.5283587380361574
Pyroclasm,R,"BR,RG,UR,WR",0.5084380610412926,0.4703389830508475,0.48316651501364877
Ragged Playmate,R,"BR,RG,UR,WR",0.5720982745502294,0.5615806704477336,0.557453583184527
Rampaging Soulrager,R,"BR,RG,UR,WR",0.5203278161658365,0.47126436781609193,0.4873417721518987
Razorkin Hordecaller,R,"BR,RG,UR,WR",0.5811705782524111,0.5881206134650377,0.5955005624296963
Razorkin Needlehead,R,"BR,RG,UR,WR",0.5688663491867153,0.5902679830747531,0.5795381654906991
Reluctant Role Model,W,"WU,WG,WB,WR",0.575500065368022,0.5969835145562961,0.577175697865353
Ripchain Razorkin,R,"BR,RG,UR,WR",0.5350597952335886,0.49178532311062434,0.5154543341854521
Savior of the Small,W,"WU,WG,WB,WR",0.5296818847331293,0.4971074380165289,0.504275026718917
Scorching Dragonfire,R,"BR,RG,UR,WR",0.5758292540366772,0.5866590054325115,0.582859463850528
Screaming Nemesis,R,"BR,RG,UR,WR",0.5944934186692429,0.6558139534883721,0.6399628827714198
Seized from Slumber,W,"WU,WG,WB,WR",0.5539482595151023,0.5423333333333333,0.5552500180910341
Shardmage's Rescue,W,"WU,WG,WB,WR",0.5644663787785318,0.5745007680491552,0.5597753185781355
Sheltered by Ghosts,W,"WU,WG,WB,WR",0.5933224423116193,0.62522879804759,0.6354223064428803
Shepherding Spirits,W,"WU,WG,WB,WR",0.5355025773195876,0.49524940617577196,0.5191452991452992
Splitskin Doll,W,"WU,WG,WB,WR",0.5838202830801195,0.5999593661113368,0.5998664950174033
Split Up,W,"WU,WG,WB,WR",0.5675259320119134,0.5871613663133097,0.5906291834002677
Surgical Suite // Hospital Room,W,"WU,WG,WB,WR",0.5704677280019745,0.5580048570894826,0.5712656784492588
The Rollercrusher Ride,R,"BR,RG,UR,WR",0.5645161290322581,0.5566905005107252,0.5798357664233577
The Wandering Rescuer,W,"WU,WG,WB,WR",0.5718650187473961,0.6023294509151415,0.606425702811245
Ticket Booth // Tunnel of Hate,R,"BR,RG,UR,WR",0.5635826614512652,0.5550645007166747,0.556203605514316
"Toby, Beastie Befriender",W,"WU,WG,WB,WR",0.5974880028437703,0.645478374836173,0.6317479736962839
Trapped in the Screen,W,"WU,WG,WB,WR",0.5758355394807164,0.5690401114614652,0.5784943431906361
Trial of Agony,R,"BR,RG,UR,WR",0.5644820295983086,0.5369613670133729,0.5565661400989309
