name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Abhorrent Oculus,U,"WU,UB,UG,UR",0.5691394658753709,0.5476190476190477,0.5616760828625236
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5484978343009861,0.5438573993331624,0.5446037986599479
Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.571902347176755,0.5670440251572327,0.5956989247311828
Central Elevator // Promising Stairs,U,"WU,UB,UG,UR",0.5152862701500833,0.4906937394247039,0.5231362467866324
Clammy Prowler,U,"WU,UB,UG,UR",0.5348993967173334,0.5161847216227881,0.5298673477795172
Creeping Peeper,U,"WU,UB,UG,UR",0.5372000482334499,0.5314748201438849,0.522956326987682
Cult Healer,W,"WU,WG,WB,WR",0.5529994335519944,0.5470626072041166,0.5493746173357824
Cursed Windbreaker,U,"WU,UB,UG,UR",0.5670292318150918,0.5718818163791394,0.5744271751321903
Daggermaw Megalodon,U,"WU,UB,UG,UR",0.5399455144450076,0.5170613462614209,0.526323706377858
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.47413268411442483,0.4,0.43636363636363634
Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5973154362416108,0.6690789473684211,0.6675034867503487
Don't Make a Sound,U,"WU,UB,UG,UR",0.5560057328702938,0.5567925137141013,0.557720152691852
Duskmourn's Domination,U,"WU,UB,UG,UR",0.5469903641596796,0.5144968732234224,0.5473127204814277
Emerge from the Cocoon,W,"WU,WG,WB,WR",0.5303198578409596,0.5293265749456916,0.531000275558005
Enduring Curiosity,U,"WU,UB,UG,UR",0.5786724356268468,0.6366223908918406,0.6212417501833293
Enduring Innocence,W,"WU,WG,WB,WR",0.5861350970665686,0.6391053880040665,0.6280016851565792
Enter the Enigma,U,"WU,UB,UG,UR",0.5201471941122355,0.4797619047619048,0.5117700316885468
Entity Tracker,U,"WU,UB,UG,UR",0.5931450333227547,0.6796092796092796,0.6447888179884533
Erratic Apparition,U,"WU,UB,UG,UR",0.5506053712383774,0.5449187354884801,0.5509102185254096
Ethereal Armor,W,"WU,WG,WB,WR",0.5757030059565037,0.5850066934404283,0.6036044536705039
Exorcise,W,"WU,WG,WB,WR",0.5622702205882353,0.5536838523055981,0.5692028742193271
Fear of Abduction,W,"WU,WG,WB,WR",0.5659882150117078,0.5546077939454759,0.581007338643919
