name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5414736529675525,0.5417093366884161,0.5321521163843478
Cult Healer,W,"WU,WG,WB,WR",0.5352593201387628,0.5256224182203862,0.5291202855666713
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.4520215165712302,0.3688172043010753,0.3989314336598397
Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5660810075410091,0.6274509803921569,0.6240636271155091
Emerge from the Cocoon,W,"WU,WG,WB,WR",0.5165736827275289,0.5029445561620224,0.5416065154032631
Enduring Innocence,W,"WU,WG,WB,WR",0.565455706896907,0.613838242169238,0.5990900909909009
Ethereal Armor,W,"WU,WG,WB,WR",0.5572772551189817,0.5615309126594701,0.5772000841131322
Exorcise,W,"WU,WG,WB,WR",0.5525650672377534,0.5532038271962888,0.566793711291091
Fear of Abduction,W,"WU,WG,WB,WR",0.5477083863308743,0.5366228683254124,0.5626946622274729
Fear of Immobility,W,"WU,WG,WB,WR",0.54775714583768,0.5271650167589056,0.5484805941759884
Fear of Surveillance,W,"WU,WG,WB,WR",0.5540751078031779,0.5618621671071355,0.5537565584263383
Friendly Ghost,W,"WU,WG,WB,WR",0.5495306755396718,0.5387453874538746,0.553113812781342
Ghostly Dancers,W,"WU,WG,WB,WR",0.5753381391200951,0.6248613883344423,0.6438127090301003
Glimmer Seeker,W,"WU,WG,WB,WR",0.5574766946882397,0.5866434117249916,0.5696132596685083
Grand Entryway // Elegant Rotunda,W,"WU,WG,WB,WR",0.5479513500210382,0.5266606620130602,0.5442643151449805
Hardened Escort,W,"WU,WG,WB,WR",0.5410228600033372,0.5408690517198956,0.5354426002766252
Jump Scare,W,"WU,WG,WB,WR",0.5544659604987311,0.544576489963057,0.5546641756873089
Leyline of Hope,W,"WU,WG,WB,WR",0.4059233449477352,,0.4166666666666667
Lionheart Glimmer,W,"WU,WG,WB,WR",0.5476132923558594,0.5427347214913929,0.55409447652895
Living Phone,W,"WU,WG,WB,WR",0.5323561633485702,0.5041056369285397,0.5129772473681657
Optimistic Scavenger,W,"WU,WG,WB,WR",0.5713204930176843,0.6484216111061986,0.6067618018837531
Orphans of the Wheat,W,"WU,WG,WB,WR",0.5403518876592477,0.547030080928386,0.5322664993201548
Overlord of the Mistmoors,W,"WU,WG,WB,WR",0.5888835649257307,0.6797371767698177,0.681910122240788
Patched Plaything,W,"WU,WG,WB,WR",0.5462169897365469,0.5380817628996327,0.5383445237096097
Possessed Goat,W,"WU,WG,WB,WR",0.5152985270679721,0.5275077760497667,0.5201432408236347
Reluctant Role Model,W,"WU,WG,WB,WR",0.5550709803747051,0.5951920753805267,0.5678561845988731
Savior of the Small,W,"WU,WG,WB,WR",0.5205324866591435,0.4981697957255874,0.5074458151078783
Seized from Slumber,W,"WU,WG,WB,WR",0.545355823824486,0.5384873273434357,0.5605951686627694
Shardmage's Rescue,W,"WU,WG,WB,WR",0.5539862773613753,0.5636075577983805,0.5650601555298178
Sheltered by Ghosts,W,"WU,WG,WB,WR",0.5710859856585734,0.601801717699776,0.6179582223251863
Shepherding Spirits,W,"WU,WG,WB,WR",0.5233998389897089,0.4948883431378148,0.5194501523418125
Splitskin Doll,W,"WU,WG,WB,WR",0.5698398138110364,0.5858994124755198,0.5876204897145179
Split Up,W,"WU,WG,WB,WR",0.5472332866831736,0.5592598500558302,0.5758196721311475
Surgical Suite // Hospital Room,W,"WU,WG,WB,WR",0.554803244620232,0.5534726669383478,0.5720823798627003
The Wandering Rescuer,W,"WU,WG,WB,WR",0.5528989315116483,0.5869565217391305,0.5876919772312319
"Toby, Beastie Befriender",W,"WU,WG,WB,WR",0.5706602337215511,0.6254602253709696,0.6133653846153846
Trapped in the Screen,W,"WU,WG,WB,WR",0.5567306499841534,0.5529865125240848,0.574551033754213
Unidentified Hovership,W,"WU,WG,WB,WR",0.5658714543367765,0.6043996110841031,0.608061013182484
Unsettling Twins,W,"WU,WG,WB,WR",0.5564341630750286,0.5634793732011513,0.567640939485308
Unwanted Remake,W,"WU,WG,WB,WR",0.50014164305949,0.4629629629629629,0.4784176986894313
Veteran Survivor,W,"WU,WG,WB,WR",0.5572470885365511,0.601215644820296,0.564888000715841
