,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Overlord of the Mistmoors,W,"WU,WG,WB,WR",0.5888835649257307,0.6797371767698177,0.681910122240788,0.7079545454545455,,,,0.691470054446461,0.6802184466019418,,,,0.7016029593094945
1,Valgavoth's Onslaught,G,"RG,WG,BG,UG",0.5784075488370625,0.6345131120484138,0.6592696525495698,,,,0.6870242841609279,0.6351744186046512,,0.6817733990147783,0.6759868421052632,,
2,Unholy Annex // Ritual Chamber,B,"UB,BR,WB,BG",0.5673964004839686,0.648689138576779,0.6489889190704091,,0.6612802983219391,0.6679267807401512,,,0.6607142857142857,0.6554996127033308,,,
3,Ghostly Dancers,W,"WU,WG,WB,WR",0.5753381391200951,0.6248613883344423,0.6438127090301003,0.6770677067706771,,,,0.5989430416911333,0.6190655614167294,,,,0.6381018198571757
4,Overlord of the Boilerbilges,R,"BR,RG,UR,WR",0.5813525749858517,0.6280312371557748,0.6415468090603738,,,0.6343416370106761,0.6672443674176777,,,,,0.646968534151957,0.6405156537753223
5,Overlord of the Floodpits,U,"WU,UB,UG,UR",0.5726190476190476,0.6233123312331234,0.6320151959937834,0.654949381327334,0.639298245614035,,,,,,0.6347649644910383,0.6138310893512852,
6,"Tyvar, the Pummeler",G,"RG,WG,BG,UG",0.5730217737652682,0.6231351351351352,0.6295191612436731,,,,0.6211286992429457,0.6168511685116851,,0.6410510659395141,0.6670106639146887,,
7,Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5660810075410091,0.6274509803921569,0.6240636271155091,0.6675034867503487,,,,0.59375,0.5825602968460112,,,,0.6398671096345515
8,Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5619655445709757,0.6298042914406979,0.6192371154032806,,0.6183266932270917,0.639367816091954,,,0.6312351543942993,0.6218697829716193,,,
9,Sheltered by Ghosts,W,"WU,WG,WB,WR",0.5710859856585734,0.601801717699776,0.6179582223251863,0.636686143572621,,,,0.6071942446043166,0.5752833243389098,,,,0.6354223064428803
10,Screaming Nemesis,R,"BR,RG,UR,WR",0.5732204000720851,0.6170943624974743,0.617338003502627,,,0.6456202756780791,0.6051699716713881,,,,,0.5891238670694864,0.6399628827714198
11,Unstoppable Slasher,B,"UB,BR,WB,BG",0.5581694016919784,0.636634913347871,0.6152906922137691,,0.587819947043248,0.648814078041316,,,0.6010286554004408,0.6316037735849057,,,
12,Entity Tracker,U,"WU,UB,UG,UR",0.5641645608740705,0.6372788285539963,0.614402843410477,0.6447888179884533,0.6151515151515151,,,,,,0.5790235829540753,0.6203504457423916,
13,"Toby, Beastie Befriender",W,"WU,WG,WB,WR",0.5706602337215511,0.6254602253709696,0.6133653846153846,0.6249443867714667,,,,0.5983527131782945,0.6,,,,0.6317479736962839
14,Unidentified Hovership,W,"WU,WG,WB,WR",0.5658714543367765,0.6043996110841031,0.608061013182484,0.6168002374591867,,,,0.6024682124158564,0.5861640430820215,,,,0.6303521243180691
15,Optimistic Scavenger,W,"WU,WG,WB,WR",0.5713204930176843,0.6484216111061986,0.6067618018837531,0.6330050136898624,,,,0.551649707061363,0.5648802736602052,,,,0.603261760367153
16,Enduring Curiosity,U,"WU,UB,UG,UR",0.5631410378617455,0.6154193475561576,0.6058953382677574,0.6212417501833293,0.6109313196691838,,,,,,0.6112889637742207,0.582234559333796,
17,Unnerving Grasp,U,"WU,UB,UG,UR",0.5677320476388135,0.5846085932901707,0.605526331001792,0.6088802146865089,0.587256371814093,,,,,,0.6241234221598878,0.5930149679258732,
18,Silent Hallcreeper,U,"WU,UB,UG,UR",0.5595860646681888,0.6316803569617686,0.6040893725781186,0.6378541289933695,0.5755336617405583,,,,,,0.6014541765302671,0.5968460747343161,
19,The Rollercrusher Ride,R,"BR,RG,UR,WR",0.5564190850959173,0.5596257216802708,0.6029633151097378,,,0.6078976640711902,0.6135724331926864,,,,,0.59500693481276,0.5798357664233577
20,Chainsaw,R,"BR,RG,UR,WR",0.562853321444494,0.60932944606414,0.6017879616369396,,,0.6158129175946548,0.6102517985611511,,,,,0.5971082454083626,0.6096893610172219
21,Under the Skin,G,"RG,WG,BG,UG",0.5620007106852849,0.5748964565117349,0.5993372803366993,,,,0.6034271725826194,0.5648447914682918,,0.5995704964070373,0.6133320007995203,,
22,Enduring Innocence,W,"WU,WG,WB,WR",0.565455706896907,0.613838242169238,0.5990900909909009,0.6280016851565792,,,,0.5389408099688473,0.5908353609083536,,,,0.6087218045112782
23,Fear of Missing Out,R,"BR,RG,UR,WR",0.5660240793701232,0.598545036852685,0.5988562091503268,,,0.5969598262757871,0.6116953473550032,,,,,0.6020761245674741,0.6035618078419634
24,Fear of Isolation,U,"WU,UB,UG,UR",0.5656411775492644,0.5644272674944495,0.5965763149917838,0.6177658142664872,0.5819092516205068,,,,,,0.585759473242528,0.591897705544933,
25,Abhorrent Oculus,U,"WU,UB,UG,UR",0.5618521078092605,0.564042303172738,0.5933374678834057,0.5616760828625236,0.5769230769230769,,,,,,0.6415044011736463,0.5640776699029126,
26,Floodpits Drowner,U,"WU,UB,UG,UR",0.5609634388046274,0.5576961350157227,0.5891286492944076,0.5914469310879681,0.5632765096792834,,,,,,0.6031480919121368,0.5897670169026953,
27,"Stay Hidden, Stay Silent",U,"WU,UB,UG,UR",0.5586231725481614,0.5615910859858261,0.5880821103055828,0.5955583641780265,0.5679351979214428,,,,,,0.6014269969255758,0.5753999475478626,
28,The Wandering Rescuer,W,"WU,WG,WB,WR",0.5528989315116483,0.5869565217391305,0.5876919772312319,0.5961739130434782,,,,0.5563725490196079,0.5935162094763092,,,,0.606425702811245
29,Splitskin Doll,W,"WU,WG,WB,WR",0.5698398138110364,0.5858994124755198,0.5876204897145179,0.5921297372704022,,,,0.5436756102481339,0.5951754385964912,,,,0.5998664950174033
30,Razorkin Hordecaller,R,"BR,RG,UR,WR",0.5659214782495708,0.57481581844356,0.5875868344153004,,,0.5918000653381248,0.5897148138368101,,,,,0.5751477104874446,0.5955005624296963
31,Balustrade Wurm,G,"RG,WG,BG,UG",0.5617862487201701,0.564472284599929,0.5861629279811098,,,,0.6022954091816367,0.5589498806682578,,0.5913226032190343,0.6007259528130672,,
32,Threats Around Every Corner,G,"RG,WG,BG,UG",0.5507159225730957,0.5887123391013249,0.5846094279353402,,,,0.5782654127481713,0.5367151472153245,,0.5806375996249414,0.5983610462623279,,
33,Twitching Doll,G,"RG,WG,BG,UG",0.5477456272066881,0.602914798206278,0.5807262704898216,,,,0.5862349826919161,0.5775047258979206,,0.5769885672585745,0.5983965014577259,,
34,Betrayer's Bargain,R,"BR,RG,UR,WR",0.5584883023395321,0.5559671116900032,0.5785482672431264,,,0.5895516965777811,0.5822545846817692,,,,,0.5622579684241883,0.5823443548898902
35,Patchwork Beastie,G,"RG,WG,BG,UG",0.5605388545813611,0.6034878587196468,0.578316959221733,,,,0.5973892874480824,0.5330188679245284,,0.5826180257510729,0.5757400999615533,,
36,Ethereal Armor,W,"WU,WG,WB,WR",0.5572772551189817,0.5615309126594701,0.5772000841131322,0.6036044536705039,,,,0.532068311195446,0.5309358081979891,,,,0.553472467869355
37,Omnivorous Flytrap,G,"RG,WG,BG,UG",0.5527985365094192,0.5498039215686275,0.576816545102022,,,,0.5963498849062808,0.5220667384284177,,0.5897210630353613,0.5881422924901186,,
38,Piggy Bank,R,"BR,RG,UR,WR",0.5608086552465497,0.5972158306488725,0.5760611788967176,,,0.5781587890021624,0.575006372673974,,,,,0.5741525423728814,0.5815946768918462
39,Nowhere to Run,B,"UB,BR,WB,BG",0.540997679376639,0.5580460985409177,0.5758857861962724,,0.5787413429689853,0.5913581307447814,,,0.5763502137028882,0.5744483589838679,,,
40,Split Up,W,"WU,WG,WB,WR",0.5472332866831736,0.5592598500558302,0.5758196721311475,0.5782728706624606,,,,0.5543595263724435,0.5854819516065054,,,,0.5906291834002677
41,Fear of Burning Alive,R,"BR,RG,UR,WR",0.5563220186711456,0.5418312387791742,0.5758184252160156,,,0.586684121937535,0.590371829598621,,,,,0.5600746268656717,0.5695091365102114
42,Glimmerburst,U,"WU,UB,UG,UR",0.555389534819688,0.5541351079199685,0.5752430286352057,0.5879963460379779,0.5657615112160567,,,,,,0.5763497846969196,0.55537547271745,
43,Irreverent Gremlin,R,"BR,RG,UR,WR",0.5665097076244316,0.588937093275488,0.575059181602976,,,0.5731231994577191,0.5681993681993682,,,,,0.5589854502556036,0.5916730328495035
44,Trapped in the Screen,W,"WU,WG,WB,WR",0.5567306499841534,0.5529865125240848,0.574551033754213,0.5907320438914733,,,,0.5568439626922107,0.5680115471853736,,,,0.5784943431906361
45,Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.5469114562466122,0.5429453506589255,0.574341668312122,0.5956989247311828,0.5602859928501788,,,,,,0.5729437068901579,0.5585475813330084,
46,Scorching Dragonfire,R,"BR,RG,UR,WR",0.5570363902145169,0.5717395762671756,0.5740608963393774,,,0.5685202290781453,0.5856983418367347,,,,,0.5630759778824493,0.582859463850528
47,Painter's Studio // Defaced Gallery,R,"BR,RG,UR,WR",0.5594012233731903,0.5607414024117909,0.5739481512962176,,,0.5825919176760639,0.5448330526107203,,,,,0.5566721791120722,0.6050035046099099
48,Hauntwoods Shrieker,G,"RG,WG,BG,UG",0.5514546612868975,0.5816030902945437,0.5734187512711003,,,,0.5886821116597037,0.548936170212766,,0.5883272537780094,0.57535607817158,,
49,Surgical Suite // Hospital Room,W,"WU,WG,WB,WR",0.554803244620232,0.5534726669383478,0.5720823798627003,0.6062450544768397,,,,0.5300887077439463,0.5263157894736842,,,,0.5712656784492588
