,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Unholy Annex // Ritual Chamber,B,"UB,BR,WB,BG",0.5673964004839686,0.648689138576779,0.6489889190704091,,0.6612802983219391,0.6679267807401512,,,0.6607142857142857,0.6554996127033308,,,
1,Overlord of the Balemurk,B,"UB,BR,WB,BG",0.5619655445709757,0.6298042914406979,0.6192371154032806,,0.6183266932270917,0.639367816091954,,,0.6312351543942993,0.6218697829716193,,,
2,Unstoppable Slasher,B,"UB,BR,WB,BG",0.5581694016919784,0.636634913347871,0.6152906922137691,,0.587819947043248,0.648814078041316,,,0.6010286554004408,0.6316037735849057,,,
3,Nowhere to Run,B,"UB,BR,WB,BG",0.540997679376639,0.5580460985409177,0.5758857861962724,,0.5787413429689853,0.5913581307447814,,,0.5763502137028882,0.5744483589838679,,,
4,Osseous Sticktwister,B,"UB,BR,WB,BG",0.5450632383336178,0.5556614765385023,0.5665895316804408,,0.5578617583708635,0.5725137518554091,,,0.5572297484102847,0.5796373988612527,,,
5,Final Vengeance,B,"UB,BR,WB,BG",0.5405073549274331,0.5347025921693631,0.5657800733167024,,0.5402756508422665,0.5920342292671721,,,0.5388013164732375,0.5653691275167785,,,
6,Commune with Evil,B,"UB,BR,WB,BG",0.533092931873676,0.5427668278170323,0.5639472882388787,,0.5408888888888889,0.5562859490550535,,,0.5809854624983919,0.5676149893470359,,,
7,Come Back Wrong,B,"UB,BR,WB,BG",0.5306670041766864,0.5294910179640718,0.5628418585081445,,0.5493707647628268,0.5808325266214908,,,0.554392523364486,0.5826713008937437,,,
8,Let's Play a Game,B,"UB,BR,WB,BG",0.5284823189469339,0.5181086519114688,0.5577127510770435,,0.5219101123595505,0.5560384263494969,,,0.5122863247863247,0.583610188261351,,,
9,Funeral Room // Awakening Hall,B,"UB,BR,WB,BG",0.5270021933724583,0.4987645605365337,0.5574086836664369,,0.5548022598870056,0.5708274894810659,,,0.51681706316653,0.5720524017467249,,,
10,Sporogenic Infection,B,"UB,BR,WB,BG",0.533326039653307,0.5375648589096595,0.5557725445146467,,0.5478522984174831,0.5703768816613559,,,0.5407739047009914,0.5594372242756647,,,
11,Innocuous Rat,B,"UB,BR,WB,BG",0.5404194246084517,0.5490062850348225,0.5551392247468097,,0.5294200848656294,0.5776879002359285,,,0.5461438755670771,0.5453931065555305,,,
12,Live or Die,B,"UB,BR,WB,BG",0.5254787030708816,0.5136926438455935,0.552439226978238,,0.5360516010135913,0.536577067029602,,,0.5542457978607291,0.5693193425573405,,,
13,Murder,B,"UB,BR,WB,BG",0.5282417570763471,0.5203596660244059,0.5508500188893086,,0.5407455746798271,0.5531679832072032,,,0.5473080598916853,0.5652670916684985,,,
14,Vile Mutilator,B,"UB,BR,WB,BG",0.5277876245618182,0.5225897008509518,0.5493208856040714,,0.5365224863935835,0.5371147182199526,,,0.5537190082644629,0.5642359059212859,,,
15,Cynical Loner,B,"UB,BR,WB,BG",0.5305724623453847,0.558476101071736,0.5484848484848485,,0.5502121640735502,0.5596117630015935,,,0.5553385416666666,0.5380602006688964,,,
16,Winter's Intervention,B,"UB,BR,WB,BG",0.5317582236215674,0.5376379210220673,0.5484526531283155,,0.534402332361516,0.5540692762602084,,,0.547336655203874,0.5601306821382301,,,
17,Fanatic of the Harrowing,B,"UB,BR,WB,BG",0.5272801013941698,0.5335866633978916,0.5473359860248447,,0.5147378219050573,0.5375472717450027,,,0.5619198103890973,0.5419161676646707,,,
18,Popular Egotist,B,"UB,BR,WB,BG",0.5349088572096284,0.5215808632345293,0.545406565567714,,0.5373973194984868,0.5650171179582945,,,0.5259022118742724,0.5221861471861472,,,
19,"Valgavoth, Terror Eater",B,"UB,BR,WB,BG",0.525172160192552,0.5164737310774711,0.5438051650866296,,0.50187265917603,0.5145985401459854,,,0.568762278978389,0.5470446320868516,,,
20,Fear of Lost Teeth,B,"UB,BR,WB,BG",0.5299983403407834,0.5387419165196943,0.5420443475820166,,0.5221217887725975,0.5641135972461274,,,0.5303133184595984,0.532581578684762,,,
21,Withering Torment,B,"UB,BR,WB,BG",0.5258575939784574,0.5117288220866613,0.5420237520026447,,0.527793374508703,0.5537180785240184,,,0.5254896098071461,0.5599115979629096,,,
22,Valgavoth's Faithful,B,"UB,BR,WB,BG",0.5242862327607065,0.5109635712413733,0.5392237524593096,,0.5242125058768218,0.5394800192585459,,,0.5418676019289785,0.5504810619900133,,,
23,Defiled Crypt // Cadaver Lab,B,"UB,BR,WB,BG",0.518181937914049,0.4996337592577521,0.535358644453577,,0.5326482551916077,0.5540976988292289,,,0.5303370786516854,0.5473511486169714,,,
24,Miasma Demon,B,"UB,BR,WB,BG",0.5194337942688932,0.5132837407013815,0.5337828785781271,,0.526985111662531,0.5221024258760107,,,0.5275080906148867,0.5606081548030408,,,
