,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Overlord of the Boilerbilges,R,"BR,RG,UR,WR",0.5813525749858517,0.6280312371557748,0.6415468090603738,,,0.6343416370106761,0.6672443674176777,,,,,0.646968534151957,0.6405156537753223
1,Screaming Nemesis,R,"BR,RG,UR,WR",0.5732204000720851,0.6170943624974743,0.617338003502627,,,0.6456202756780791,0.6051699716713881,,,,,0.5891238670694864,0.6399628827714198
2,The Rollercrusher Ride,R,"BR,RG,UR,WR",0.5564190850959173,0.5596257216802708,0.6029633151097378,,,0.6078976640711902,0.6135724331926864,,,,,0.59500693481276,0.5798357664233577
3,Chainsaw,R,"BR,RG,UR,WR",0.562853321444494,0.60932944606414,0.6017879616369396,,,0.6158129175946548,0.6102517985611511,,,,,0.5971082454083626,0.6096893610172219
4,Fear of Missing Out,R,"BR,RG,UR,WR",0.5660240793701232,0.598545036852685,0.5988562091503268,,,0.5969598262757871,0.6116953473550032,,,,,0.6020761245674741,0.6035618078419634
5,Razorkin Hordecaller,R,"BR,RG,UR,WR",0.5659214782495708,0.57481581844356,0.5875868344153004,,,0.5918000653381248,0.5897148138368101,,,,,0.5751477104874446,0.5955005624296963
6,Betrayer's Bargain,R,"BR,RG,UR,WR",0.5584883023395321,0.5559671116900032,0.5785482672431264,,,0.5895516965777811,0.5822545846817692,,,,,0.5622579684241883,0.5823443548898902
7,Piggy Bank,R,"BR,RG,UR,WR",0.5608086552465497,0.5972158306488725,0.5760611788967176,,,0.5781587890021624,0.575006372673974,,,,,0.5741525423728814,0.5815946768918462
8,Fear of Burning Alive,R,"BR,RG,UR,WR",0.5563220186711456,0.5418312387791742,0.5758184252160156,,,0.586684121937535,0.590371829598621,,,,,0.5600746268656717,0.5695091365102114
9,Irreverent Gremlin,R,"BR,RG,UR,WR",0.5665097076244316,0.588937093275488,0.575059181602976,,,0.5731231994577191,0.5681993681993682,,,,,0.5589854502556036,0.5916730328495035
10,Scorching Dragonfire,R,"BR,RG,UR,WR",0.5570363902145169,0.5717395762671756,0.5740608963393774,,,0.5685202290781453,0.5856983418367347,,,,,0.5630759778824493,0.582859463850528
11,Painter's Studio // Defaced Gallery,R,"BR,RG,UR,WR",0.5594012233731903,0.5607414024117909,0.5739481512962176,,,0.5825919176760639,0.5448330526107203,,,,,0.5566721791120722,0.6050035046099099
12,Clockwork Percussionist,R,"BR,RG,UR,WR",0.5648821890893337,0.5887958026571888,0.5718801056633736,,,0.5823387635392165,0.5628006589785832,,,,,0.561687876758205,0.5769457367490807
13,Vengeful Possession,R,"BR,RG,UR,WR",0.5535721704449461,0.5419009135628953,0.5706904978007401,,,0.5892655030678501,0.5359349593495935,,,,,0.4986301369863014,0.5554180661127807
14,Turn Inside Out,R,"BR,RG,UR,WR",0.5635761103974013,0.5660932712490048,0.5701483721830162,,,0.5655071154280551,0.5723813405461484,,,,,0.5497167415510842,0.5786799608806622
15,Glassworks // Shattered Yard,R,"BR,RG,UR,WR",0.5514734792313575,0.5524804364993897,0.570069401205789,,,0.5929937383652056,0.5630086814975583,,,,,0.5689447926504679,0.5766652154984763
16,Fear of Being Hunted,R,"BR,RG,UR,WR",0.5598080932561366,0.5735586481113321,0.56983571555661,,,0.5663906478324403,0.5744812422701663,,,,,0.5410220346929208,0.577828397873956
17,Razorkin Needlehead,R,"BR,RG,UR,WR",0.5495241537164197,0.5719122426868906,0.5651521517315887,,,0.565591995553085,0.5719630830631081,,,,,0.5226460071513707,0.5795381654906991
18,Waltz of Rage,R,"BR,RG,UR,WR",0.5402336679282541,0.550367107195301,0.5626525388415977,,,0.5582729468599034,0.586535248914133,,,,,0.5463244889082209,0.5482388973966309
19,Enduring Courage,R,"BR,RG,UR,WR",0.548484910569772,0.553646477132262,0.5618416319819125,,,0.5698952210580117,0.5597867479055598,,,,,0.5400098183603338,0.5797738693467337
20,Ticket Booth // Tunnel of Hate,R,"BR,RG,UR,WR",0.5417198730344047,0.5376676348804154,0.5507877495840267,,,0.5596471885336274,0.5558490754124508,,,,,0.5492649980135081,0.556203605514316
21,Most Valuable Slayer,R,"BR,RG,UR,WR",0.5496978639685216,0.537532741327541,0.5467401052660187,,,0.547202113089415,0.547438298991094,,,,,0.51901458981105,0.5596700014224076
22,Hand That Feeds,R,"BR,RG,UR,WR",0.5485683133653899,0.5424216968678747,0.5461948379916963,,,0.551338743379173,0.5463336806460015,,,,,0.5268993839835729,0.5498593007083482
23,Ragged Playmate,R,"BR,RG,UR,WR",0.5561867933020419,0.5463368816530996,0.5446105447406391,,,0.5369236184442098,0.5268979057591623,,,,,0.5293159609120521,0.557453583184527
24,"Norin, Swift Survivalist",R,"BR,RG,UR,WR",0.5535215756262349,0.5659246575342466,0.5436912225705329,,,0.5190777392368904,0.532766761095373,,,,,0.5390127388535032,0.5562120093165938
25,Impossible Inferno,R,"BR,RG,UR,WR",0.5370029726562197,0.5106361374828654,0.5404101326899879,,,0.550979262672811,0.5534998945814885,,,,,0.5104616980805811,0.5262936916133095
26,Vicious Clown,R,"BR,RG,UR,WR",0.5514286099901475,0.543162872715614,0.5379122627169571,,,0.5229742316050916,0.5082821514982319,,,,,0.530192131747484,0.548111352060114
27,Trial of Agony,R,"BR,RG,UR,WR",0.5423152831693003,0.5176278118609406,0.5375613439033597,,,0.5085354896675651,0.5427749820273184,,,,,0.5149112872782182,0.5565661400989309
28,Diversion Specialist,R,"BR,RG,UR,WR",0.5374768700413171,0.5152963671128107,0.5334126193307833,,,0.5503437120905782,0.5317473075068317,,,,,0.5182504719949654,0.5258137774413323
29,Grab the Prize,R,"BR,RG,UR,WR",0.5343601895734598,0.5168681219556197,0.5317098119442915,,,0.5355191256830601,0.534866358070778,,,,,0.5282051282051282,0.533857089412645
