,name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr,game_in_hand_wr_WU,game_in_hand_wr_UB,game_in_hand_wr_BR,game_in_hand_wr_RG,game_in_hand_wr_WG,game_in_hand_wr_WB,game_in_hand_wr_BG,game_in_hand_wr_UG,game_in_hand_wr_UR,game_in_hand_wr_WR
0,Overlord of the Mistmoors,W,"WU,WG,WB,WR",0.5888835649257307,0.6797371767698177,0.681910122240788,0.7079545454545455,,,,0.691470054446461,0.6802184466019418,,,,0.7016029593094945
1,Ghostly Dancers,W,"WU,WG,WB,WR",0.5753381391200951,0.6248613883344423,0.6438127090301003,0.6770677067706771,,,,0.5989430416911333,0.6190655614167294,,,,0.6381018198571757
2,Dollmaker's Shop // Porcelain Gallery,W,"WU,WG,WB,WR",0.5660810075410091,0.6274509803921569,0.6240636271155091,0.6675034867503487,,,,0.59375,0.5825602968460112,,,,0.6398671096345515
3,Sheltered by Ghosts,W,"WU,WG,WB,WR",0.5710859856585734,0.601801717699776,0.6179582223251863,0.636686143572621,,,,0.6071942446043166,0.5752833243389098,,,,0.6354223064428803
4,"Toby, Beastie Befriender",W,"WU,WG,WB,WR",0.5706602337215511,0.6254602253709696,0.6133653846153846,0.6249443867714667,,,,0.5983527131782945,0.6,,,,0.6317479736962839
5,Unidentified Hovership,W,"WU,WG,WB,WR",0.5658714543367765,0.6043996110841031,0.608061013182484,0.6168002374591867,,,,0.6024682124158564,0.5861640430820215,,,,0.6303521243180691
6,Optimistic Scavenger,W,"WU,WG,WB,WR",0.5713204930176843,0.6484216111061986,0.6067618018837531,0.6330050136898624,,,,0.551649707061363,0.5648802736602052,,,,0.603261760367153
7,Enduring Innocence,W,"WU,WG,WB,WR",0.565455706896907,0.613838242169238,0.5990900909909009,0.6280016851565792,,,,0.5389408099688473,0.5908353609083536,,,,0.6087218045112782
8,The Wandering Rescuer,W,"WU,WG,WB,WR",0.5528989315116483,0.5869565217391305,0.5876919772312319,0.5961739130434782,,,,0.5563725490196079,0.5935162094763092,,,,0.606425702811245
9,Splitskin Doll,W,"WU,WG,WB,WR",0.5698398138110364,0.5858994124755198,0.5876204897145179,0.5921297372704022,,,,0.5436756102481339,0.5951754385964912,,,,0.5998664950174033
