name,colors,color_pairs,game_played_wr,opening_hand_wr,game_in_hand_wr
Abhorrent Oculus,U,"WU,UB,UG,UR",0.5618521078092605,0.564042303172738,0.5933374678834057
Acrobatic Cheerleader,W,"WU,WG,WB,WR",0.5414736529675525,0.5417093366884161,0.5321521163843478
"Altanak, the Thrice-Called",G,"RG,WG,BG,UG",0.5386950793378015,0.5139251847980288,0.5391745112237509
Anthropede,G,"RG,WG,BG,UG",0.515444167950389,0.479876160990712,0.5023527663579177
Appendage Amalgam,B,"UB,BR,WB,BG",0.5095605266060381,0.5000292791473913,0.51440329218107
Balemurk Leech,B,"UB,BR,WB,BG",0.5026195493223715,0.4968741859859338,0.5057261275017724
Balustrade Wurm,G,"RG,WG,BG,UG",0.5617862487201701,0.564472284599929,0.5861629279811098
Bashful Beastie,G,"RG,WG,BG,UG",0.5429900135750864,0.5340764421308739,0.5485187956686328
Bedhead Beastie,R,"BR,RG,UR,WR",0.5176349588601245,0.490222421256904,0.5095695261690926
Betrayer's Bargain,R,"BR,RG,UR,WR",0.5584883023395321,0.5559671116900032,0.5785482672431264
Boilerbilges Ripper,R,"BR,RG,UR,WR",0.5300569426193605,0.512849931161083,0.5310005321979776
Bottomless Pool // Locker Room,U,"WU,UB,UG,UR",0.5469114562466122,0.5429453506589255,0.574341668312122
Break Down the Door,G,"RG,WG,BG,UG",0.5454829688558476,0.5353691137158133,0.5573694325357437
Cackling Slasher,B,"UB,BR,WB,BG",0.4748275272250413,0.4456997084548105,0.4628790025502975
Cathartic Parting,G,"RG,WG,BG,UG",0.530835734870317,0.5136292514205715,0.5385953967889155
Cautious Survivor,G,"RG,WG,BG,UG",0.5282404524699045,0.5104299363057325,0.5243008773947619
Central Elevator // Promising Stairs,U,"WU,UB,UG,UR",0.4931900808508329,0.4702986544141779,0.5194914237735396
Chainsaw,R,"BR,RG,UR,WR",0.562853321444494,0.60932944606414,0.6017879616369396
Charred Foyer // Warped Space,R,"BR,RG,UR,WR",0.5055776892430279,0.4767025089605735,0.498011137629276
Clammy Prowler,U,"WU,UB,UG,UR",0.5125765164162494,0.4881538822425522,0.5127293730839294
Clockwork Percussionist,R,"BR,RG,UR,WR",0.5648821890893337,0.5887958026571888,0.5718801056633736
Come Back Wrong,B,"UB,BR,WB,BG",0.5306670041766864,0.5294910179640718,0.5628418585081445
Commune with Evil,B,"UB,BR,WB,BG",0.533092931873676,0.5427668278170323,0.5639472882388787
Coordinated Clobbering,G,"RG,WG,BG,UG",0.5387740273465883,0.5466922077033591,0.5545668601467528
Cracked Skull,B,"UB,BR,WB,BG",0.5136547027682549,0.5017813880575744,0.5218066807235601
Creeping Peeper,U,"WU,UB,UG,UR",0.5180229003390584,0.5125559272844532,0.5155819516621298
Cryptid Inspector,G,"RG,WG,BG,UG",0.5291683507515831,0.513248393279964,0.522950895400582
Cult Healer,W,"WU,WG,WB,WR",0.5352593201387628,0.5256224182203862,0.5291202855666713
Cursed Recording,R,"BR,RG,UR,WR",0.5135410303400529,0.503052503052503,0.5017861395570374
Cursed Windbreaker,U,"WU,UB,UG,UR",0.5536474935148226,0.5491033784923267,0.5708919772862856
Cynical Loner,B,"UB,BR,WB,BG",0.5305724623453847,0.558476101071736,0.5484848484848485
Daggermaw Megalodon,U,"WU,UB,UG,UR",0.527609351997405,0.5028831118060985,0.5260304521685635
Dashing Bloodsucker,B,"UB,BR,WB,BG",0.5048994974874372,0.512525826446281,0.5221322003754569
Dazzling Theater // Prop Room,W,"WU,WG,WB,WR",0.4520215165712302,0.3688172043010753,0.3989314336598397
Defiant Survivor,G,"RG,WG,BG,UG",0.541877183358836,0.556898730699489,0.5488235982675875
